"data_version","target","location","date","type","quantile","value"
2020-05-08,"R_t","AT",2020-03-10,"point",NA,3.12557555462537
2020-05-08,"R_t","AT",2020-03-10,"quantile",0.025,2.78610297195479
2020-05-08,"R_t","AT",2020-03-10,"quantile",0.975,3.48346588530766
2020-05-08,"R_t","AT",2020-03-11,"point",NA,3.07157806613646
2020-05-08,"R_t","AT",2020-03-11,"quantile",0.025,2.77982419422352
2020-05-08,"R_t","AT",2020-03-11,"quantile",0.975,3.37756383424027
2020-05-08,"R_t","AT",2020-03-12,"point",NA,3.26496442025952
2020-05-08,"R_t","AT",2020-03-12,"quantile",0.025,3.00502302218501
2020-05-08,"R_t","AT",2020-03-12,"quantile",0.975,3.53453327752198
2020-05-08,"R_t","AT",2020-03-13,"point",NA,3.2113855169527
2020-05-08,"R_t","AT",2020-03-13,"quantile",0.025,2.99120971117622
2020-05-08,"R_t","AT",2020-03-13,"quantile",0.975,3.43867727082461
2020-05-08,"R_t","AT",2020-03-14,"point",NA,2.89535370447886
2020-05-08,"R_t","AT",2020-03-14,"quantile",0.025,2.71661783172876
2020-05-08,"R_t","AT",2020-03-14,"quantile",0.975,3.07827542904981
2020-05-08,"R_t","AT",2020-03-15,"point",NA,2.60736709920469
2020-05-08,"R_t","AT",2020-03-15,"quantile",0.025,2.46169945583926
2020-05-08,"R_t","AT",2020-03-15,"quantile",0.975,2.75680200920887
2020-05-08,"R_t","AT",2020-03-16,"point",NA,2.51988279614902
2020-05-08,"R_t","AT",2020-03-16,"quantile",0.025,2.39430724152365
2020-05-08,"R_t","AT",2020-03-16,"quantile",0.975,2.64755127668481
2020-05-08,"R_t","AT",2020-03-17,"point",NA,2.42863122645458
2020-05-08,"R_t","AT",2020-03-17,"quantile",0.025,2.3197990791126
2020-05-08,"R_t","AT",2020-03-17,"quantile",0.975,2.53913771452491
2020-05-08,"R_t","AT",2020-03-18,"point",NA,2.34072833821683
2020-05-08,"R_t","AT",2020-03-18,"quantile",0.025,2.24570950188363
2020-05-08,"R_t","AT",2020-03-18,"quantile",0.975,2.43658434491419
2020-05-08,"R_t","AT",2020-03-19,"point",NA,2.25784847216409
2020-05-08,"R_t","AT",2020-03-19,"quantile",0.025,2.17455002092926
2020-05-08,"R_t","AT",2020-03-19,"quantile",0.975,2.34198409376308
2020-05-08,"R_t","AT",2020-03-20,"point",NA,2.1544579321892
2020-05-08,"R_t","AT",2020-03-20,"quantile",0.025,2.0812055253244
2020-05-08,"R_t","AT",2020-03-20,"quantile",0.975,2.227710339054
2020-05-08,"R_t","AT",2020-03-21,"point",NA,2.06864796986187
2020-05-08,"R_t","AT",2020-03-21,"quantile",0.025,2.00418585182085
2020-05-08,"R_t","AT",2020-03-21,"quantile",0.975,2.13394725826706
2020-05-08,"R_t","AT",2020-03-22,"point",NA,1.98200083717036
2020-05-08,"R_t","AT",2020-03-22,"quantile",0.025,1.9242360820427
2020-05-08,"R_t","AT",2020-03-22,"quantile",0.975,2.03976559229803
2020-05-08,"R_t","AT",2020-03-23,"point",NA,1.87609878610297
2020-05-08,"R_t","AT",2020-03-23,"quantile",0.025,1.82461280870657
2020-05-08,"R_t","AT",2020-03-23,"quantile",0.975,1.92716617831729
2020-05-08,"R_t","AT",2020-03-24,"point",NA,1.78735872750105
2020-05-08,"R_t","AT",2020-03-24,"quantile",0.025,1.74089577228966
2020-05-08,"R_t","AT",2020-03-24,"quantile",0.975,1.83298451234826
2020-05-08,"R_t","AT",2020-03-25,"point",NA,1.76391795730431
2020-05-08,"R_t","AT",2020-03-25,"quantile",0.025,1.72164085391377
2020-05-08,"R_t","AT",2020-03-25,"quantile",0.975,1.80619506069485
2020-05-08,"R_t","AT",2020-03-26,"point",NA,1.65550439514441
2020-05-08,"R_t","AT",2020-03-26,"quantile",0.025,1.61699455839263
2020-05-08,"R_t","AT",2020-03-26,"quantile",0.975,1.69317706153202
2020-05-08,"R_t","AT",2020-03-27,"point",NA,1.52867308497279
2020-05-08,"R_t","AT",2020-03-27,"quantile",0.025,1.49393051485977
2020-05-08,"R_t","AT",2020-03-27,"quantile",0.975,1.56299706990373
2020-05-08,"R_t","AT",2020-03-28,"point",NA,1.41649225617413
2020-05-08,"R_t","AT",2020-03-28,"quantile",0.025,1.38509836751779
2020-05-08,"R_t","AT",2020-03-28,"quantile",0.975,1.44746755964839
2020-05-08,"R_t","AT",2020-03-29,"point",NA,1.34616994558393
2020-05-08,"R_t","AT",2020-03-29,"quantile",0.025,1.31686898283801
2020-05-08,"R_t","AT",2020-03-29,"quantile",0.975,1.37463373796568
2020-05-08,"R_t","AT",2020-03-30,"point",NA,1.2683131017162
2020-05-08,"R_t","AT",2020-03-30,"quantile",0.025,1.24068647969862
2020-05-08,"R_t","AT",2020-03-30,"quantile",0.975,1.29468396818753
2020-05-08,"R_t","AT",2020-03-31,"point",NA,1.19882796149016
2020-05-08,"R_t","AT",2020-03-31,"quantile",0.025,1.17329426538301
2020-05-08,"R_t","AT",2020-03-31,"quantile",0.975,1.22394307241524
2020-05-08,"R_t","AT",2020-04-01,"point",NA,1.12431979907911
2020-05-08,"R_t","AT",2020-04-01,"quantile",0.025,1.10004185851821
2020-05-08,"R_t","AT",2020-04-01,"quantile",0.975,1.14776056927585
2020-05-08,"R_t","AT",2020-04-02,"point",NA,1.06153202176643
2020-05-08,"R_t","AT",2020-04-02,"quantile",0.025,1.03850983675178
2020-05-08,"R_t","AT",2020-04-02,"quantile",0.975,1.08371703641691
2020-05-08,"R_t","AT",2020-04-03,"point",NA,0.989953955629971
2020-05-08,"R_t","AT",2020-04-03,"quantile",0.025,0.968187526161574
2020-05-08,"R_t","AT",2020-04-03,"quantile",0.975,1.01172038509837
2020-05-08,"R_t","AT",2020-04-04,"point",NA,0.918375889493512
2020-05-08,"R_t","AT",2020-04-04,"quantile",0.025,0.897865215571369
2020-05-08,"R_t","AT",2020-04-04,"quantile",0.975,0.93930514859774
2020-05-08,"R_t","AT",2020-04-05,"point",NA,0.871075763917957
2020-05-08,"R_t","AT",2020-04-05,"quantile",0.025,0.850983675177899
2020-05-08,"R_t","AT",2020-04-05,"quantile",0.975,0.8915864378401
2020-05-08,"R_t","AT",2020-04-06,"point",NA,0.829217245709502
2020-05-08,"R_t","AT",2020-04-06,"quantile",0.025,0.809125156969443
2020-05-08,"R_t","AT",2020-04-06,"quantile",0.975,0.848890749267476
2020-05-08,"R_t","AT",2020-04-07,"point",NA,0.755127668480536
