data_version,target,date,location,type,quantile,value
2021-02-22,7 day R,2020-01-11,DE,point,NA,NA
2021-02-22,7 day R,2020-01-11,DE,quantile,0.025,NA
2021-02-22,7 day R,2020-01-11,DE,quantile,0.25,NA
2021-02-22,7 day R,2020-01-11,DE,quantile,0.75,NA
2021-02-22,7 day R,2020-01-11,DE,quantile,0.975,NA
2021-02-22,7 day R,2020-01-12,DE,point,NA,NA
2021-02-22,7 day R,2020-01-12,DE,quantile,0.025,NA
2021-02-22,7 day R,2020-01-12,DE,quantile,0.25,NA
2021-02-22,7 day R,2020-01-12,DE,quantile,0.75,NA
2021-02-22,7 day R,2020-01-12,DE,quantile,0.975,NA
2021-02-22,7 day R,2020-01-13,DE,point,NA,NA
2021-02-22,7 day R,2020-01-13,DE,quantile,0.025,NA
2021-02-22,7 day R,2020-01-13,DE,quantile,0.25,NA
2021-02-22,7 day R,2020-01-13,DE,quantile,0.75,NA
2021-02-22,7 day R,2020-01-13,DE,quantile,0.975,NA
2021-02-22,7 day R,2020-01-14,DE,point,NA,NA
2021-02-22,7 day R,2020-01-14,DE,quantile,0.025,NA
2021-02-22,7 day R,2020-01-14,DE,quantile,0.25,NA
2021-02-22,7 day R,2020-01-14,DE,quantile,0.75,NA
2021-02-22,7 day R,2020-01-14,DE,quantile,0.975,NA
2021-02-22,7 day R,2020-01-15,DE,point,NA,NA
2021-02-22,7 day R,2020-01-15,DE,quantile,0.025,NA
2021-02-22,7 day R,2020-01-15,DE,quantile,0.25,NA
2021-02-22,7 day R,2020-01-15,DE,quantile,0.75,NA
2021-02-22,7 day R,2020-01-15,DE,quantile,0.975,NA
2021-02-22,7 day R,2020-01-16,DE,point,NA,NA
2021-02-22,7 day R,2020-01-16,DE,quantile,0.025,NA
2021-02-22,7 day R,2020-01-16,DE,quantile,0.25,NA
2021-02-22,7 day R,2020-01-16,DE,quantile,0.75,NA
2021-02-22,7 day R,2020-01-16,DE,quantile,0.975,NA
2021-02-22,7 day R,2020-01-17,DE,point,NA,1.7691765714285717
2021-02-22,7 day R,2020-01-17,DE,quantile,0.025,1.710070107142857
2021-02-22,7 day R,2020-01-17,DE,quantile,0.25,1.7410945357142857
2021-02-22,7 day R,2020-01-17,DE,quantile,0.75,1.7934122499999998
2021-02-22,7 day R,2020-01-17,DE,quantile,0.975,1.867741875
2021-02-22,7 day R,2020-01-18,DE,point,NA,1.6287930000000002
2021-02-22,7 day R,2020-01-18,DE,quantile,0.025,1.5768793142857143
2021-02-22,7 day R,2020-01-18,DE,quantile,0.25,1.6039081071428571
2021-02-22,7 day R,2020-01-18,DE,quantile,0.75,1.6559408928571426
2021-02-22,7 day R,2020-01-18,DE,quantile,0.975,1.7237650607142858
2021-02-22,7 day R,2020-01-19,DE,point,NA,1.4485937857142859
2021-02-22,7 day R,2020-01-19,DE,quantile,0.025,1.4041940714285714
2021-02-22,7 day R,2020-01-19,DE,quantile,0.25,1.4271310357142857
2021-02-22,7 day R,2020-01-19,DE,quantile,0.75,1.4768932857142858
2021-02-22,7 day R,2020-01-19,DE,quantile,0.975,1.5368123500000002
2021-02-22,7 day R,2020-01-20,DE,point,NA,1.283198642857143
2021-02-22,7 day R,2020-01-20,DE,quantile,0.025,1.2458941357142856
2021-02-22,7 day R,2020-01-20,DE,quantile,0.25,1.2650828928571427
2021-02-22,7 day R,2020-01-20,DE,quantile,0.75,1.3113615714285713
2021-02-22,7 day R,2020-01-20,DE,quantile,0.975,1.3637514821428574
2021-02-22,7 day R,2020-01-21,DE,point,NA,1.072180642857143
2021-02-22,7 day R,2020-01-21,DE,quantile,0.025,1.042601532142857
2021-02-22,7 day R,2020-01-21,DE,quantile,0.25,1.0577998214285713
2021-02-22,7 day R,2020-01-21,DE,quantile,0.75,1.1003333928571426
2021-02-22,7 day R,2020-01-21,DE,quantile,0.975,1.1444410535714287
2021-02-22,7 day R,2020-01-22,DE,point,NA,0.8609600714285717
2021-02-22,7 day R,2020-01-22,DE,quantile,0.025,0.8382549107142856
2021-02-22,7 day R,2020-01-22,DE,quantile,0.25,0.8497069285714284
2021-02-22,7 day R,2020-01-22,DE,quantile,0.75,0.8883127499999999
2021-02-22,7 day R,2020-01-22,DE,quantile,0.975,0.9253884250000002
2021-02-22,7 day R,2020-01-23,DE,point,NA,0.7492524285714287
2021-02-22,7 day R,2020-01-23,DE,quantile,0.025,0.7325028178571428
2021-02-22,7 day R,2020-01-23,DE,quantile,0.25,0.7408769285714285
2021-02-22,7 day R,2020-01-23,DE,quantile,0.75,0.7729010714285713
2021-02-22,7 day R,2020-01-23,DE,quantile,0.975,0.8018197464285716
2021-02-22,7 day R,2020-01-24,DE,point,NA,0.7058952142857144
2021-02-22,7 day R,2020-01-24,DE,quantile,0.025,0.6917776714285713
2021-02-22,7 day R,2020-01-24,DE,quantile,0.25,0.6986200714285713
