"data_version","target","date","location","type","quantile","value"
"2021-02-09","3 day R","2020-01-06","DE","point","NA",0.885403768565411
"2021-02-09","3 day R","2020-01-06","DE","quantile","0.025",0.702172547798562
"2021-02-09","3 day R","2020-01-06","DE","quantile","97.5",1.09094481769249
"2021-02-09","3 day R","2020-01-07","DE","point","NA",0.843179665500118
"2021-02-09","3 day R","2020-01-07","DE","quantile","0.025",0.657468025612901
"2021-02-09","3 day R","2020-01-07","DE","quantile","97.5",1.02608956807253
"2021-02-09","3 day R","2020-01-08","DE","point","NA",0.803072448915149
"2021-02-09","3 day R","2020-01-08","DE","quantile","0.025",0.619200903790913
"2021-02-09","3 day R","2020-01-08","DE","quantile","97.5",0.985197372374814
"2021-02-09","3 day R","2020-01-09","DE","point","NA",0.791445466215223
"2021-02-09","3 day R","2020-01-09","DE","quantile","0.025",0.60415272708396
"2021-02-09","3 day R","2020-01-09","DE","quantile","97.5",0.972681639977696
"2021-02-09","3 day R","2020-01-10","DE","point","NA",0.784156769546122
"2021-02-09","3 day R","2020-01-10","DE","quantile","0.025",0.603026197086299
"2021-02-09","3 day R","2020-01-10","DE","quantile","97.5",0.975834070218836
"2021-02-09","3 day R","2020-01-11","DE","point","NA",0.779535906818143
"2021-02-09","3 day R","2020-01-11","DE","quantile","0.025",0.606984681292489
"2021-02-09","3 day R","2020-01-11","DE","quantile","97.5",0.979489676351892
"2021-02-09","3 day R","2020-01-12","DE","point","NA",0.778974778555487
"2021-02-09","3 day R","2020-01-12","DE","quantile","0.025",0.605318006865941
"2021-02-09","3 day R","2020-01-12","DE","quantile","97.5",0.975307522340671
"2021-02-09","3 day R","2020-01-13","DE","point","NA",0.777717895755855
"2021-02-09","3 day R","2020-01-13","DE","quantile","0.025",0.592291539212655
"2021-02-09","3 day R","2020-01-13","DE","quantile","97.5",0.960396898114938
"2021-02-09","3 day R","2020-01-14","DE","point","NA",0.75233502090041
"2021-02-09","3 day R","2020-01-14","DE","quantile","0.025",0.572163728895557
"2021-02-09","3 day R","2020-01-14","DE","quantile","97.5",0.93128004672356
