data_version,target,date,location,type,quantile,value
2020-10-02,3 day R,2020-02-02,DE,point,NA,0.2940466335702126
2020-10-02,3 day R,2020-02-02,DE,quantile,0.025,0.008733061355282
2020-10-02,3 day R,2020-02-02,DE,quantile,0.975,1.0608401620808183
2020-10-02,3 day R,2020-02-03,DE,point,NA,0.3895721223550274
2020-10-02,3 day R,2020-02-03,DE,quantile,0.025,0.0129058298304956
2020-10-02,3 day R,2020-02-03,DE,quantile,0.975,1.324254260292727
2020-10-02,3 day R,2020-02-04,DE,point,NA,0.3009643722821633
2020-10-02,3 day R,2020-02-04,DE,quantile,0.025,0.0016893048863364
2020-10-02,3 day R,2020-02-04,DE,quantile,0.975,1.2959890267510623
2020-10-02,3 day R,2020-02-05,DE,point,NA,0.2606748147358698
2020-10-02,3 day R,2020-02-05,DE,quantile,0.025,0.0002466926826511
2020-10-02,3 day R,2020-02-05,DE,quantile,0.975,1.3196822480107109
2020-10-02,3 day R,2020-02-06,DE,point,NA,0.218511598706526
2020-10-02,3 day R,2020-02-06,DE,quantile,0.025,1.4785499170028191e-05
2020-10-02,3 day R,2020-02-06,DE,quantile,0.975,1.3148598039534676
2020-10-02,3 day R,2020-02-07,DE,point,NA,0.1966175805169009
2020-10-02,3 day R,2020-02-07,DE,quantile,0.025,2.940495524738144e-07
2020-10-02,3 day R,2020-02-07,DE,quantile,0.975,1.3714234443564703
2020-10-02,3 day R,2020-02-08,DE,point,NA,0.1800446363293052
2020-10-02,3 day R,2020-02-08,DE,quantile,0.025,1.0475564488400024e-09
2020-10-02,3 day R,2020-02-08,DE,quantile,0.975,1.4109437342950517
2020-10-02,3 day R,2020-02-09,DE,point,NA,0.1823418067652048
2020-10-02,3 day R,2020-02-09,DE,quantile,0.025,1.888429321287315e-12
2020-10-02,3 day R,2020-02-09,DE,quantile,0.975,1.5261845077694396
2020-10-02,3 day R,2020-02-10,DE,point,NA,0.2354384245375546
2020-10-02,3 day R,2020-02-10,DE,quantile,0.025,5.882460867664847e-13
2020-10-02,3 day R,2020-02-10,DE,quantile,0.975,2.008842492372526
2020-10-02,3 day R,2020-02-11,DE,point,NA,0.4596410957411422
2020-10-02,3 day R,2020-02-11,DE,quantile,0.025,4.52857095440416e-09
2020-10-02,3 day R,2020-02-11,DE,quantile,0.975,3.5016816933536035
2020-10-02,3 day R,2020-02-12,DE,point,NA,1.1551247352940075
2020-10-02,3 day R,2020-02-12,DE,quantile,0.025,6.226814769965479e-05
2020-10-02,3 day R,2020-02-12,DE,quantile,0.975,6.675862889101457
2020-10-02,3 day R,2020-02-13,DE,point,NA,2.7052571275883746
2020-10-02,3 day R,2020-02-13,DE,quantile,0.025,0.0157835664442852
2020-10-02,3 day R,2020-02-13,DE,quantile,0.975,11.683104597611957
2020-10-02,3 day R,2020-02-14,DE,point,NA,5.42071734919052
2020-10-02,3 day R,2020-02-14,DE,quantile,0.025,0.2639221091642195
2020-10-02,3 day R,2020-02-14,DE,quantile,0.975,17.345404650508616
2020-10-02,3 day R,2020-02-15,DE,point,NA,7.900558532651424
2020-10-02,3 day R,2020-02-15,DE,quantile,0.025,1.2560275027903856
2020-10-02,3 day R,2020-02-15,DE,quantile,0.975,19.863206816399806
2020-10-02,3 day R,2020-02-16,DE,point,NA,9.449513457717693
2020-10-02,3 day R,2020-02-16,DE,quantile,0.025,2.7312472164942405
2020-10-02,3 day R,2020-02-16,DE,quantile,0.975,19.136645237115733
2020-10-02,3 day R,2020-02-17,DE,point,NA,9.143875051001183
2020-10-02,3 day R,2020-02-17,DE,quantile,0.025,3.94263338449262
2020-10-02,3 day R,2020-02-17,DE,quantile,0.975,16.142308943892278
2020-10-02,3 day R,2020-02-18,DE,point,NA,8.438702902642472
2020-10-02,3 day R,2020-02-18,DE,quantile,0.025,4.489447640450274
2020-10-02,3 day R,2020-02-18,DE,quantile,0.975,13.392554602147596
2020-10-02,3 day R,2020-02-19,DE,point,NA,7.719404095936083
2020-10-02,3 day R,2020-02-19,DE,quantile,0.025,4.841731160677717
2020-10-02,3 day R,2020-02-19,DE,quantile,0.975,11.317392164902529
2020-10-02,3 day R,2020-02-20,DE,point,NA,7.05145412044729
2020-10-02,3 day R,2020-02-20,DE,quantile,0.025,4.898812449970682
2020-10-02,3 day R,2020-02-20,DE,quantile,0.975,9.583873624084683
2020-10-02,3 day R,2020-02-21,DE,point,NA,6.286923017969682
2020-10-02,3 day R,2020-02-21,DE,quantile,0.025,4.714180497756669
2020-10-02,3 day R,2020-02-21,DE,quantile,0.975,8.080639098389028
2020-10-02,3 day R,2020-02-22,DE,point,NA,5.463587591787829
2020-10-02,3 day R,2020-02-22,DE,quantile,0.025,4.291442855944594
2020-10-02,3 day R,2020-02-22,DE,quantile,0.975,6.752326689693751
2020-10-02,3 day R,2020-02-23,DE,point,NA,4.6774503935376845
2020-10-02,3 day R,2020-02-23,DE,quantile,0.025,3.816413897603032
2020-10-02,3 day R,2020-02-23,DE,quantile,0.975,5.615707428702468
2020-10-02,3 day R,2020-02-24,DE,point,NA,3.9922569426094014
2020-10-02,3 day R,2020-02-24,DE,quantile,0.025,3.3524143122413457
2020-10-02,3 day R,2020-02-24,DE,quantile,0.975,4.687154373036803
2020-10-02,3 day R,2020-02-25,DE,point,NA,3.474559829623936
2020-10-02,3 day R,2020-02-25,DE,quantile,0.025,2.974971428600564
2020-10-02,3 day R,2020-02-25,DE,quantile,0.975,4.009645030857578
2020-10-02,3 day R,2020-02-26,DE,point,NA,3.122997304594078
2020-10-02,3 day R,2020-02-26,DE,quantile,0.025,2.7230217710678057
2020-10-02,3 day R,2020-02-26,DE,quantile,0.975,3.5547696836573595
2020-10-02,3 day R,2020-02-27,DE,point,NA,2.937313094813947
2020-10-02,3 day R,2020-02-27,DE,quantile,0.025,2.599095379970404
2020-10-02,3 day R,2020-02-27,DE,quantile,0.975,3.294898584505216
2020-10-02,3 day R,2020-02-28,DE,point,NA,2.8345048060146483
2020-10-02,3 day R,2020-02-28,DE,quantile,0.025,2.5483758596884964
2020-10-02,3 day R,2020-02-28,DE,quantile,0.975,3.141632986449741
2020-10-02,3 day R,2020-02-29,DE,point,NA,2.773352641217371
2020-10-02,3 day R,2020-02-29,DE,quantile,0.025,2.5231470518100854
2020-10-02,3 day R,2020-02-29,DE,quantile,0.975,3.035954771886444
2020-10-02,3 day R,2020-03-01,DE,point,NA,2.714208368158828
2020-10-02,3 day R,2020-03-01,DE,quantile,0.025,2.4937985107319136
2020-10-02,3 day R,2020-03-01,DE,quantile,0.975,2.9439458163349284
2020-10-02,3 day R,2020-03-02,DE,point,NA,2.6922838961376505
2020-10-02,3 day R,2020-03-02,DE,quantile,0.025,2.494902855730788
2020-10-02,3 day R,2020-03-02,DE,quantile,0.975,2.897072173486252
2020-10-02,3 day R,2020-03-03,DE,point,NA,2.7428975860601965
2020-10-02,3 day R,2020-03-03,DE,quantile,0.025,2.566905382572493
2020-10-02,3 day R,2020-03-03,DE,quantile,0.975,2.924642357780993
2020-10-02,3 day R,2020-03-04,DE,point,NA,2.84222197515883
