data_version,target,date,location,type,quantile,value
18615,3 day R,2020-02-07,CH,point,NA,0.939318481589128
18615,3 day R,2020-02-07,CH,quantile,0.025,0.23151623672882166
18615,3 day R,2020-02-07,CH,quantile,0.975,2.112284844340618
18615,3 day R,2020-02-08,CH,point,NA,1.1315998026404595
18615,3 day R,2020-02-08,CH,quantile,0.025,0.3078394709355817
18615,3 day R,2020-02-08,CH,quantile,0.975,2.4933595735840686
18615,3 day R,2020-02-09,CH,point,NA,1.3838741519444109
18615,3 day R,2020-02-09,CH,quantile,0.025,0.4110225410655892
18615,3 day R,2020-02-09,CH,quantile,0.975,2.913704284575701
18615,3 day R,2020-02-10,CH,point,NA,1.6007927331579164
18615,3 day R,2020-02-10,CH,quantile,0.025,0.5521917727415997
18615,3 day R,2020-02-10,CH,quantile,0.975,3.1833344680060156
18615,3 day R,2020-02-11,CH,point,NA,1.8165828103240411
18615,3 day R,2020-02-11,CH,quantile,0.025,0.6952344980881255
18615,3 day R,2020-02-11,CH,quantile,0.975,3.472584294058808
18615,3 day R,2020-02-12,CH,point,NA,1.9763741060208582
18615,3 day R,2020-02-12,CH,quantile,0.025,0.8455765061040761
18615,3 day R,2020-02-12,CH,quantile,0.975,3.5839779356218116
18615,3 day R,2020-02-13,CH,point,NA,2.06993072135439
18615,3 day R,2020-02-13,CH,quantile,0.025,0.977060492691194
18615,3 day R,2020-02-13,CH,quantile,0.975,3.585992775129441
18615,3 day R,2020-02-14,CH,point,NA,2.136277426501848
18615,3 day R,2020-02-14,CH,quantile,0.025,1.0736477309846626
18615,3 day R,2020-02-14,CH,quantile,0.975,3.590962379145395
18615,3 day R,2020-02-15,CH,point,NA,2.2005732071942283
18615,3 day R,2020-02-15,CH,quantile,0.025,1.1827994442101744
18615,3 day R,2020-02-15,CH,quantile,0.975,3.527379369132605
18615,3 day R,2020-02-16,CH,point,NA,2.2231483475241447
18615,3 day R,2020-02-16,CH,quantile,0.025,1.2746075973487636
18615,3 day R,2020-02-16,CH,quantile,0.975,3.4400861343371094
18615,3 day R,2020-02-17,CH,point,NA,2.2528933441072647
18615,3 day R,2020-02-17,CH,quantile,0.025,1.367778896999332
18615,3 day R,2020-02-17,CH,quantile,0.975,3.358103704706262
18615,3 day R,2020-02-18,CH,point,NA,2.2792514816242258
18615,3 day R,2020-02-18,CH,quantile,0.025,1.4598455710976632
18615,3 day R,2020-02-18,CH,quantile,0.975,3.277439969076822
18615,3 day R,2020-02-19,CH,point,NA,2.3099826287837586
18615,3 day R,2020-02-19,CH,quantile,0.025,1.5525462843250963
18615,3 day R,2020-02-19,CH,quantile,0.975,3.2398926622596296
18615,3 day R,2020-02-20,CH,point,NA,2.34298413777651
18615,3 day R,2020-02-20,CH,quantile,0.025,1.6337385645394726
18615,3 day R,2020-02-20,CH,quantile,0.975,3.1725235548410264
18615,3 day R,2020-02-21,CH,point,NA,3.1590035312710967
18615,3 day R,2020-02-21,CH,quantile,0.025,2.4037268471309208
18615,3 day R,2020-02-21,CH,quantile,0.975,3.9948644706116303
18615,3 day R,2020-02-22,CH,point,NA,3.8634782951304003
18615,3 day R,2020-02-22,CH,quantile,0.025,3.104647609729964
18615,3 day R,2020-02-22,CH,quantile,0.975,4.70895191732366
18615,3 day R,2020-02-23,CH,point,NA,4.2992204101693385
18615,3 day R,2020-02-23,CH,quantile,0.025,3.5830460281545635
18615,3 day R,2020-02-23,CH,quantile,0.975,5.073016461253378
18615,3 day R,2020-02-24,CH,point,NA,4.01607422811293
18615,3 day R,2020-02-24,CH,quantile,0.025,3.4300335009544183
18615,3 day R,2020-02-24,CH,quantile,0.975,4.6412254431211455
18615,3 day R,2020-02-25,CH,point,NA,3.6547850326198974
18615,3 day R,2020-02-25,CH,quantile,0.025,3.1911623574621983
18615,3 day R,2020-02-25,CH,quantile,0.975,4.152837613050829
18615,3 day R,2020-02-26,CH,point,NA,3.365667661465495
18615,3 day R,2020-02-26,CH,quantile,0.025,2.9842267751757015
18615,3 day R,2020-02-26,CH,quantile,0.975,3.770688166731761
18615,3 day R,2020-02-27,CH,point,NA,3.1449860201473934
18615,3 day R,2020-02-27,CH,quantile,0.025,2.830367824101157
18615,3 day R,2020-02-27,CH,quantile,0.975,3.4788916755449932
18615,3 day R,2020-02-28,CH,point,NA,2.957483303224647
18615,3 day R,2020-02-28,CH,quantile,0.025,2.692971826803002
18615,3 day R,2020-02-28,CH,quantile,0.975,3.2342521001131956
18615,3 day R,2020-02-29,CH,point,NA,2.785602274161771
18615,3 day R,2020-02-29,CH,quantile,0.025,2.560549823209703
18615,3 day R,2020-02-29,CH,quantile,0.975,3.0215046164516206
18615,3 day R,2020-03-01,CH,point,NA,2.64242405519041
18615,3 day R,2020-03-01,CH,quantile,0.025,2.4505704532915686
18615,3 day R,2020-03-01,CH,quantile,0.975,2.844177888568559
18615,3 day R,2020-03-02,CH,point,NA,2.522531947168374
