data_version,target,date,location,type,quantile,value
2021-03-04,3 day R,2020-03-12,DE,point,NA,2.1966690458848763
2021-03-04,3 day R,2020-03-12,DE,quantile,0.025,1.7632746127287788
2021-03-04,3 day R,2020-03-12,DE,quantile,0.975,2.630063479040974
2021-03-04,3 day R,2020-03-13,DE,point,NA,2.0257067166962828
2021-03-04,3 day R,2020-03-13,DE,quantile,0.025,1.6611244175857156
2021-03-04,3 day R,2020-03-13,DE,quantile,0.975,2.39028901580685
2021-03-04,3 day R,2020-03-14,DE,point,NA,1.894518036358752
2021-03-04,3 day R,2020-03-14,DE,quantile,0.025,1.582790011205102
2021-03-04,3 day R,2020-03-14,DE,quantile,0.975,2.206246061512401
2021-03-04,3 day R,2020-03-15,DE,point,NA,1.7855949930219026
2021-03-04,3 day R,2020-03-15,DE,quantile,0.025,1.5156382832447537
2021-03-04,3 day R,2020-03-15,DE,quantile,0.975,2.055551702799052
2021-03-04,3 day R,2020-03-16,DE,point,NA,1.6814917777462215
2021-03-04,3 day R,2020-03-16,DE,quantile,0.025,1.4432313253567215
2021-03-04,3 day R,2020-03-16,DE,quantile,0.975,1.9197522301357213
2021-03-04,3 day R,2020-03-17,DE,point,NA,1.5729075158228238
2021-03-04,3 day R,2020-03-17,DE,quantile,0.025,1.362628579293231
2021-03-04,3 day R,2020-03-17,DE,quantile,0.975,1.783186452352417
2021-03-04,3 day R,2020-03-18,DE,point,NA,1.4628537748530237
2021-03-04,3 day R,2020-03-18,DE,quantile,0.025,1.2782219416660443
2021-03-04,3 day R,2020-03-18,DE,quantile,0.975,1.6474856080400024
2021-03-04,3 day R,2020-03-19,DE,point,NA,1.3672496440624426
2021-03-04,3 day R,2020-03-19,DE,quantile,0.025,1.2003512084385448
2021-03-04,3 day R,2020-03-19,DE,quantile,0.975,1.5341480796863405
2021-03-04,3 day R,2020-03-20,DE,point,NA,1.297318437697499
2021-03-04,3 day R,2020-03-20,DE,quantile,0.025,1.138202031636906
2021-03-04,3 day R,2020-03-20,DE,quantile,0.975,1.4564348437580927
2021-03-04,3 day R,2020-03-21,DE,point,NA,1.249342512289486
2021-03-04,3 day R,2020-03-21,DE,quantile,0.025,1.0893250400237204
2021-03-04,3 day R,2020-03-21,DE,quantile,0.975,1.4093599845552514
2021-03-04,3 day R,2020-03-22,DE,point,NA,1.2134070857436254
2021-03-04,3 day R,2020-03-22,DE,quantile,0.025,1.04576059309091
2021-03-04,3 day R,2020-03-22,DE,quantile,0.975,1.381053578396341
2021-03-04,3 day R,2020-03-23,DE,point,NA,1.1833334745662487
2021-03-04,3 day R,2020-03-23,DE,quantile,0.025,1.0056161702013702
2021-03-04,3 day R,2020-03-23,DE,quantile,0.975,1.3610507789311272
2021-03-04,3 day R,2020-03-24,DE,point,NA,1.1567898970707964
2021-03-04,3 day R,2020-03-24,DE,quantile,0.025,0.970708740515263
2021-03-04,3 day R,2020-03-24,DE,quantile,0.975,1.3428710536263295
2021-03-04,3 day R,2020-03-25,DE,point,NA,1.1268024660965723
2021-03-04,3 day R,2020-03-25,DE,quantile,0.025,0.9380594824467796
2021-03-04,3 day R,2020-03-25,DE,quantile,0.975,1.3155454497463654
2021-03-04,3 day R,2020-03-26,DE,point,NA,1.0920312131438836
2021-03-04,3 day R,2020-03-26,DE,quantile,0.025,0.906107189204615
2021-03-04,3 day R,2020-03-26,DE,quantile,0.975,1.2779552370831524
2021-03-04,3 day R,2020-03-27,DE,point,NA,1.058646541498862
2021-03-04,3 day R,2020-03-27,DE,quantile,0.025,0.8764477494183002
2021-03-04,3 day R,2020-03-27,DE,quantile,0.975,1.2408453335794236
2021-03-04,3 day R,2020-03-28,DE,point,NA,1.033404774835976
2021-03-04,3 day R,2020-03-28,DE,quantile,0.025,0.8507615894336784
2021-03-04,3 day R,2020-03-28,DE,quantile,0.975,1.2160479602382737
2021-03-04,3 day R,2020-03-29,DE,point,NA,1.0173642328170909
2021-03-04,3 day R,2020-03-29,DE,quantile,0.025,0.8277910767528819
2021-03-04,3 day R,2020-03-29,DE,quantile,0.975,1.206937388881299
2021-03-04,3 day R,2020-03-30,DE,point,NA,1.0059701192295576
2021-03-04,3 day R,2020-03-30,DE,quantile,0.025,0.8079711776913451
2021-03-04,3 day R,2020-03-30,DE,quantile,0.975,1.2039690607677702
2021-03-04,3 day R,2020-03-31,DE,point,NA,0.9952635581471992
2021-03-04,3 day R,2020-03-31,DE,quantile,0.025,0.7946246746113662
2021-03-04,3 day R,2020-03-31,DE,quantile,0.975,1.1959024416830322
2021-03-04,3 day R,2020-04-01,DE,point,NA,0.9777371054239044
2021-03-04,3 day R,2020-04-01,DE,quantile,0.025,0.7824038348775114
2021-03-04,3 day R,2020-04-01,DE,quantile,0.975,1.1730703759702976
2021-03-04,3 day R,2020-04-02,DE,point,NA,0.948262220965495
2021-03-04,3 day R,2020-04-02,DE,quantile,0.025,0.7608514880218482
2021-03-04,3 day R,2020-04-02,DE,quantile,0.975,1.1356729539091417
2021-03-04,3 day R,2020-04-03,DE,point,NA,0.9099550679568096
2021-03-04,3 day R,2020-04-03,DE,quantile,0.025,0.7300147518998213
2021-03-04,3 day R,2020-04-03,DE,quantile,0.975,1.089895384013798
2021-03-04,3 day R,2020-04-04,DE,point,NA,0.8712974028065775
2021-03-04,3 day R,2020-04-04,DE,quantile,0.025,0.6993218903495615
2021-03-04,3 day R,2020-04-04,DE,quantile,0.975,1.0432729152635936
2021-03-04,3 day R,2020-04-05,DE,point,NA,0.84011295259569
2021-03-04,3 day R,2020-04-05,DE,quantile,0.025,0.6761387165846606
2021-03-04,3 day R,2020-04-05,DE,quantile,0.975,1.0040871886067193
2021-03-04,3 day R,2020-04-06,DE,point,NA,0.8174247884152464
2021-03-04,3 day R,2020-04-06,DE,quantile,0.025,0.6605079715733273
2021-03-04,3 day R,2020-04-06,DE,quantile,0.975,0.9743416052571654
