"data_version","target","date","location","type","quantile","value"
"2021-06-15","3 day R","2020-03-12","DE","point","NA",2.206445257709
"2021-06-15","3 day R","2020-03-12","DE","quantile","0.025",1.88283031557139
"2021-06-15","3 day R","2020-03-12","DE","quantile","0.975",2.53006019984662
"2021-06-15","3 day R","2020-03-13","DE","point","NA",2.03581689700169
"2021-06-15","3 day R","2020-03-13","DE","quantile","0.025",1.76212295824713
"2021-06-15","3 day R","2020-03-13","DE","quantile","0.975",2.30951083575625
"2021-06-15","3 day R","2020-03-14","DE","point","NA",1.90051126997379
"2021-06-15","3 day R","2020-03-14","DE","quantile","0.025",1.65126344951755
"2021-06-15","3 day R","2020-03-14","DE","quantile","0.975",2.14975909043004
"2021-06-15","3 day R","2020-03-15","DE","point","NA",1.78070390159312
"2021-06-15","3 day R","2020-03-15","DE","quantile","0.025",1.54892861576346
"2021-06-15","3 day R","2020-03-15","DE","quantile","0.975",2.01247918742278
"2021-06-15","3 day R","2020-03-16","DE","point","NA",1.66688071552521
"2021-06-15","3 day R","2020-03-16","DE","quantile","0.025",1.45520692268757
"2021-06-15","3 day R","2020-03-16","DE","quantile","0.975",1.87855450836284
"2021-06-15","3 day R","2020-03-17","DE","point","NA",1.55895720785198
"2021-06-15","3 day R","2020-03-17","DE","quantile","0.025",1.36602182291154
"2021-06-15","3 day R","2020-03-17","DE","quantile","0.975",1.75189259279242
"2021-06-15","3 day R","2020-03-18","DE","point","NA",1.46226761356715
"2021-06-15","3 day R","2020-03-18","DE","quantile","0.025",1.28187988512137
"2021-06-15","3 day R","2020-03-18","DE","quantile","0.975",1.64265534201293
"2021-06-15","3 day R","2020-03-19","DE","point","NA",1.38014631799281
"2021-06-15","3 day R","2020-03-19","DE","quantile","0.025",1.20950286515732
"2021-06-15","3 day R","2020-03-19","DE","quantile","0.975",1.5507897708283
"2021-06-15","3 day R","2020-03-20","DE","point","NA",1.31282277657502
"2021-06-15","3 day R","2020-03-20","DE","quantile","0.025",1.15379881166731
"2021-06-15","3 day R","2020-03-20","DE","quantile","0.975",1.47184674148274
"2021-06-15","3 day R","2020-03-21","DE","point","NA",1.25775779714124
"2021-06-15","3 day R","2020-03-21","DE","quantile","0.025",1.1110586084071
"2021-06-15","3 day R","2020-03-21","DE","quantile","0.975",1.40445698587539
"2021-06-15","3 day R","2020-03-22","DE","point","NA",1.21353423408644
"2021-06-15","3 day R","2020-03-22","DE","quantile","0.025",1.07389892936151
"2021-06-15","3 day R","2020-03-22","DE","quantile","0.975",1.35316953881137
"2021-06-15","3 day R","2020-03-23","DE","point","NA",1.17932464651861
"2021-06-15","3 day R","2020-03-23","DE","quantile","0.025",1.04081834951126
"2021-06-15","3 day R","2020-03-23","DE","quantile","0.975",1.31783094352597
"2021-06-15","3 day R","2020-03-24","DE","point","NA",1.15226472170251
"2021-06-15","3 day R","2020-03-24","DE","quantile","0.025",1.0105949877078
"2021-06-15","3 day R","2020-03-24","DE","quantile","0.975",1.29393445569721
"2021-06-15","3 day R","2020-03-25","DE","point","NA",1.12538315204221
"2021-06-15","3 day R","2020-03-25","DE","quantile","0.025",0.978083701604925
"2021-06-15","3 day R","2020-03-25","DE","quantile","0.975",1.2726826024795
"2021-06-15","3 day R","2020-03-26","DE","point","NA",1.09365189983181
"2021-06-15","3 day R","2020-03-26","DE","quantile","0.025",0.941514766351321
"2021-06-15","3 day R","2020-03-26","DE","quantile","0.975",1.24578903331231
"2021-06-15","3 day R","2020-03-27","DE","point","NA",1.05891541909597
"2021-06-15","3 day R","2020-03-27","DE","quantile","0.025",0.904047963117395
"2021-06-15","3 day R","2020-03-27","DE","quantile","0.975",1.21378287507455
"2021-06-15","3 day R","2020-03-28","DE","point","NA",1.0295273008336
"2021-06-15","3 day R","2020-03-28","DE","quantile","0.025",0.870050339715752
"2021-06-15","3 day R","2020-03-28","DE","quantile","0.975",1.18900426195145
