data_version,target,date,location,type,quantile,value
2020-10-06,3 day R,2020-01-31,DE,point,NA,2.919163081139672
2020-10-06,3 day R,2020-01-31,DE,quantile,0.025,2.8137041853132305
2020-10-06,3 day R,2020-01-31,DE,quantile,0.975,3.02653499977997
2020-10-06,3 day R,2020-02-01,DE,point,NA,2.9673406739283967
2020-10-06,3 day R,2020-02-01,DE,quantile,0.025,2.860043892410402
2020-10-06,3 day R,2020-02-01,DE,quantile,0.975,3.076585621380805
2020-10-06,3 day R,2020-02-02,DE,point,NA,2.955923707238088
2020-10-06,3 day R,2020-02-02,DE,quantile,0.025,2.8490857222119748
2020-10-06,3 day R,2020-02-02,DE,quantile,0.975,3.0646063431606727
2020-10-06,3 day R,2020-02-03,DE,point,NA,2.9551770533193302
2020-10-06,3 day R,2020-02-03,DE,quantile,0.025,2.847553504064466
2020-10-06,3 day R,2020-02-03,DE,quantile,0.975,3.0646063431606727
2020-10-06,3 day R,2020-02-04,DE,point,NA,2.9537604567901017
2020-10-06,3 day R,2020-02-04,DE,quantile,0.025,2.8457908633669526
2020-10-06,3 day R,2020-02-04,DE,quantile,0.975,3.0628639805894204
2020-10-06,3 day R,2020-02-05,DE,point,NA,2.954629366364008
2020-10-06,3 day R,2020-02-05,DE,quantile,0.025,2.8466088757934243
2020-10-06,3 day R,2020-02-05,DE,quantile,0.975,3.064307958619348
2020-10-06,3 day R,2020-02-06,DE,point,NA,2.9537604567901017
2020-10-06,3 day R,2020-02-06,DE,quantile,0.025,2.8457908633669526
2020-10-06,3 day R,2020-02-06,DE,quantile,0.975,3.0628639805894204
2020-10-06,3 day R,2020-02-07,DE,point,NA,2.954194911577055
2020-10-06,3 day R,2020-02-07,DE,quantile,0.025,2.8461998695801887
2020-10-06,3 day R,2020-02-07,DE,quantile,0.975,3.063585969604384
2020-10-06,3 day R,2020-02-08,DE,point,NA,2.951993260236037
2020-10-06,3 day R,2020-02-08,DE,quantile,0.025,2.844447734828832
2020-10-06,3 day R,2020-02-08,DE,quantile,0.975,3.061295346994367
2020-10-06,3 day R,2020-02-09,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-02-09,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-02-09,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-02-10,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-02-10,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-02-10,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-02-11,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-02-11,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-02-11,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-02-12,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-02-12,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-02-12,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-02-13,DE,point,NA,2.949569152433293
2020-10-06,3 day R,2020-02-13,DE,quantile,0.025,2.8423099099112563
2020-10-06,3 day R,2020-02-13,DE,quantile,0.975,3.059513725049532
2020-10-06,3 day R,2020-02-14,DE,point,NA,2.949569152433293
2020-10-06,3 day R,2020-02-14,DE,quantile,0.025,2.8423099099112563
2020-10-06,3 day R,2020-02-14,DE,quantile,0.975,3.059513725049532
2020-10-06,3 day R,2020-02-15,DE,point,NA,2.949569152433293
2020-10-06,3 day R,2020-02-15,DE,quantile,0.025,2.8423099099112563
2020-10-06,3 day R,2020-02-15,DE,quantile,0.975,3.059513725049532
2020-10-06,3 day R,2020-02-16,DE,point,NA,2.949569152433293
2020-10-06,3 day R,2020-02-16,DE,quantile,0.025,2.8423099099112563
2020-10-06,3 day R,2020-02-16,DE,quantile,0.975,3.059513725049532
2020-10-06,3 day R,2020-02-17,DE,point,NA,2.949569152433293
2020-10-06,3 day R,2020-02-17,DE,quantile,0.025,2.8423099099112563
2020-10-06,3 day R,2020-02-17,DE,quantile,0.975,3.059513725049532
2020-10-06,3 day R,2020-02-18,DE,point,NA,2.949569152433293
2020-10-06,3 day R,2020-02-18,DE,quantile,0.025,2.8423099099112563
2020-10-06,3 day R,2020-02-18,DE,quantile,0.975,3.059513725049532
2020-10-06,3 day R,2020-02-19,DE,point,NA,2.9489122411846136
2020-10-06,3 day R,2020-02-19,DE,quantile,0.025,2.841515213531803
2020-10-06,3 day R,2020-02-19,DE,quantile,0.975,3.059300736699751
2020-10-06,3 day R,2020-02-20,DE,point,NA,2.9489122411846136
2020-10-06,3 day R,2020-02-20,DE,quantile,0.025,2.841515213531803
2020-10-06,3 day R,2020-02-20,DE,quantile,0.975,3.059300736699751
2020-10-06,3 day R,2020-02-21,DE,point,NA,2.949569152433293
2020-10-06,3 day R,2020-02-21,DE,quantile,0.025,2.8423099099112563
2020-10-06,3 day R,2020-02-21,DE,quantile,0.975,3.059513725049532
2020-10-06,3 day R,2020-02-22,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-02-22,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-02-22,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-02-23,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-02-23,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-02-23,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-02-24,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-02-24,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-02-24,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-02-25,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-02-25,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-02-25,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-02-26,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-02-26,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-02-26,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-02-27,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-02-27,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-02-27,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-02-28,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-02-28,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-02-28,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-02-29,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-02-29,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-02-29,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-03-01,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-03-01,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-03-01,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-03-02,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-03-02,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-03-02,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-03-03,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-03-03,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-03-03,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-03-04,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-03-04,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-03-04,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-03-05,DE,point,NA,2.9502260636819733
2020-10-06,3 day R,2020-03-05,DE,quantile,0.025,2.843104606290709
2020-10-06,3 day R,2020-03-05,DE,quantile,0.975,3.059726713399313
2020-10-06,3 day R,2020-03-06,DE,point,NA,2.8285632622213845
2020-10-06,3 day R,2020-03-06,DE,quantile,0.025,2.7742417743243224
2020-10-06,3 day R,2020-03-06,DE,quantile,0.975,2.883341762837593
2020-10-06,3 day R,2020-03-07,DE,point,NA,2.8285632622213845
2020-10-06,3 day R,2020-03-07,DE,quantile,0.025,2.7742417743243224
2020-10-06,3 day R,2020-03-07,DE,quantile,0.975,2.883341762837593
