data_version,target,date,location,type,quantile,value
2020-10-30,3 day R,2020-03-11,DE,point,NA,3.730296434474941
2020-10-30,3 day R,2020-03-11,DE,quantile,0.025,3.360211700277303
2020-10-30,3 day R,2020-03-11,DE,quantile,0.975,4.115742870724309
2020-10-30,3 day R,2020-03-12,DE,point,NA,1.9456396020672893
2020-10-30,3 day R,2020-03-12,DE,quantile,0.025,1.7800093871128098
2020-10-30,3 day R,2020-03-12,DE,quantile,0.975,2.118532505543392
2020-10-30,3 day R,2020-03-13,DE,point,NA,1.958785715663231
2020-10-30,3 day R,2020-03-13,DE,quantile,0.025,1.792654077450379
2020-10-30,3 day R,2020-03-13,DE,quantile,0.975,2.1311423292556944
2020-10-30,3 day R,2020-03-14,DE,point,NA,1.96191183160081
2020-10-30,3 day R,2020-03-14,DE,quantile,0.025,1.7958951514975057
2020-10-30,3 day R,2020-03-14,DE,quantile,0.975,2.134621150594193
2020-10-30,3 day R,2020-03-15,DE,point,NA,1.96191183160081
2020-10-30,3 day R,2020-03-15,DE,quantile,0.025,1.7958951514975057
2020-10-30,3 day R,2020-03-15,DE,quantile,0.975,2.134621150594193
2020-10-30,3 day R,2020-03-16,DE,point,NA,1.5363454987235885
2020-10-30,3 day R,2020-03-16,DE,quantile,0.025,1.4254665791842327
2020-10-30,3 day R,2020-03-16,DE,quantile,0.975,1.6513181023079395
2020-10-30,3 day R,2020-03-17,DE,point,NA,1.5363454987235885
2020-10-30,3 day R,2020-03-17,DE,quantile,0.025,1.4254665791842327
2020-10-30,3 day R,2020-03-17,DE,quantile,0.975,1.6513181023079395
2020-10-30,3 day R,2020-03-18,DE,point,NA,1.5363454987235885
2020-10-30,3 day R,2020-03-18,DE,quantile,0.025,1.4254665791842327
2020-10-30,3 day R,2020-03-18,DE,quantile,0.975,1.6513181023079395
2020-10-30,3 day R,2020-03-19,DE,point,NA,1.5363454987235885
2020-10-30,3 day R,2020-03-19,DE,quantile,0.025,1.4254665791842327
2020-10-30,3 day R,2020-03-19,DE,quantile,0.975,1.6513181023079395
2020-10-30,3 day R,2020-03-20,DE,point,NA,1.3082145544087134
2020-10-30,3 day R,2020-03-20,DE,quantile,0.025,1.1846580947247418
2020-10-30,3 day R,2020-03-20,DE,quantile,0.975,1.4378117943634667
2020-10-30,3 day R,2020-03-21,DE,point,NA,1.3082145544087134
2020-10-30,3 day R,2020-03-21,DE,quantile,0.025,1.1846580947247418
2020-10-30,3 day R,2020-03-21,DE,quantile,0.975,1.4378117943634667
2020-10-30,3 day R,2020-03-22,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-03-22,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-03-22,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-03-23,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-03-23,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-03-23,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-03-24,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-03-24,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-03-24,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-03-25,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-03-25,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-03-25,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-03-26,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-03-26,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-03-26,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-03-27,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-03-27,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-03-27,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-03-28,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-03-28,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-03-28,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-03-29,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-03-29,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-03-29,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-03-30,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-03-30,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-03-30,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-03-31,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-03-31,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-03-31,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-01,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-01,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-01,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-02,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-02,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-02,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-03,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-03,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-03,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-04,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-04,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-04,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-05,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-05,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-05,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-06,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-06,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-06,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-07,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-07,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-07,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-08,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-08,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-08,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-09,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-09,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-09,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-10,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-10,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-10,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-11,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-11,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-11,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-12,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-12,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-12,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-13,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-13,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-13,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-14,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-14,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-14,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-15,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-15,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-15,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-16,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-16,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-16,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-17,DE,point,NA,0.9137677154636764
2020-10-30,3 day R,2020-04-17,DE,quantile,0.025,0.8903321576558554
2020-10-30,3 day R,2020-04-17,DE,quantile,0.975,0.9374798258783964
2020-10-30,3 day R,2020-04-18,DE,point,NA,0.9137677154636764
