"data_version","target","date","location","type","quantile","value"
"2021-01-01","7 day R","2020-03-06","CH","point","NA",2.13487369899837
"2021-01-01","7 day R","2020-03-06","CH","quantile","0.025",1.9242741700067
"2021-01-01","7 day R","2020-03-06","CH","quantile","0.975",2.35532502796109
"2021-01-01","7 day R","2020-03-07","CH","point","NA",2.13487369899837
"2021-01-01","7 day R","2020-03-07","CH","quantile","0.025",1.9242741700067
"2021-01-01","7 day R","2020-03-07","CH","quantile","0.975",2.35532502796109
"2021-01-01","7 day R","2020-03-08","CH","point","NA",2.13487369899837
"2021-01-01","7 day R","2020-03-08","CH","quantile","0.025",1.9242741700067
"2021-01-01","7 day R","2020-03-08","CH","quantile","0.975",2.35532502796109
"2021-01-01","7 day R","2020-03-09","CH","point","NA",2.14548247574702
"2021-01-01","7 day R","2020-03-09","CH","quantile","0.025",1.93618475175323
"2021-01-01","7 day R","2020-03-09","CH","quantile","0.975",2.36552584490056
"2021-01-01","7 day R","2020-03-10","CH","point","NA",2.14548247574702
"2021-01-01","7 day R","2020-03-10","CH","quantile","0.025",1.93618475175323
"2021-01-01","7 day R","2020-03-10","CH","quantile","0.975",2.36552584490056
"2021-01-01","7 day R","2020-03-11","CH","point","NA",2.14845602231608
"2021-01-01","7 day R","2020-03-11","CH","quantile","0.025",1.93652718816575
"2021-01-01","7 day R","2020-03-11","CH","quantile","0.975",2.37227811418428
"2021-01-01","7 day R","2020-03-12","CH","point","NA",2.14845602231608
"2021-01-01","7 day R","2020-03-12","CH","quantile","0.025",1.93652718816575
"2021-01-01","7 day R","2020-03-12","CH","quantile","0.975",2.37227811418428
"2021-01-01","7 day R","2020-03-13","CH","point","NA",1.42478035217223
"2021-01-01","7 day R","2020-03-13","CH","quantile","0.025",1.22461655128311
"2021-01-01","7 day R","2020-03-13","CH","quantile","0.975",1.64108712161004
"2021-01-01","7 day R","2020-03-14","CH","point","NA",1.42478035217223
"2021-01-01","7 day R","2020-03-14","CH","quantile","0.025",1.22461655128311
"2021-01-01","7 day R","2020-03-14","CH","quantile","0.975",1.64108712161004
"2021-01-01","7 day R","2020-03-15","CH","point","NA",1.42478035217223
"2021-01-01","7 day R","2020-03-15","CH","quantile","0.025",1.22461655128311
"2021-01-01","7 day R","2020-03-15","CH","quantile","0.975",1.64108712161004
