data_version,target,date,location,label,type,quantile,value
2021-01-12,7 day R,2020-02-28,DE,estimate,quantile,0.025,2.70914096063369
2021-01-12,7 day R,2020-02-28,DE,estimate,point,NA,2.94299130585123
2021-01-12,7 day R,2020-02-28,DE,estimate,quantile,0.975,3.18638413277086
2021-01-12,7 day R,2020-02-29,DE,estimate,quantile,0.025,2.61029866203679
2021-01-12,7 day R,2020-02-29,DE,estimate,point,NA,2.81024442386542
2021-01-12,7 day R,2020-02-29,DE,estimate,quantile,0.975,3.01746383760016
2021-01-12,7 day R,2020-03-01,DE,estimate,quantile,0.025,2.58485423687911
2021-01-12,7 day R,2020-03-01,DE,estimate,point,NA,2.75962489281458
2021-01-12,7 day R,2020-03-01,DE,estimate,quantile,0.975,2.94003170692298
2021-01-12,7 day R,2020-03-02,DE,estimate,quantile,0.025,2.62574674602837
2021-01-12,7 day R,2020-03-02,CH,estimate,quantile,0.025,2.48943396964588
2021-01-12,7 day R,2020-03-02,DE,estimate,point,NA,2.78141887177925
2021-01-12,7 day R,2020-03-02,CH,estimate,point,NA,2.75858776444851
2021-01-12,7 day R,2020-03-02,DE,estimate,quantile,0.975,2.94151067198168
2021-01-12,7 day R,2020-03-02,CH,estimate,quantile,0.975,3.04135863349891
2021-01-12,7 day R,2020-03-03,DE,estimate,quantile,0.025,2.70179876231782
2021-01-12,7 day R,2020-03-03,CH,estimate,quantile,0.025,2.47399352053748
2021-01-12,7 day R,2020-03-03,DE,estimate,point,NA,2.84172872298656
2021-01-12,7 day R,2020-03-03,CH,estimate,point,NA,2.710654865637
2021-01-12,7 day R,2020-03-03,DE,estimate,quantile,0.975,2.98514177963905
2021-01-12,7 day R,2020-03-03,CH,estimate,quantile,0.975,2.95797147232757
2021-01-12,7 day R,2020-03-04,DE,estimate,quantile,0.025,2.77428478501713
2021-01-12,7 day R,2020-03-04,CH,estimate,quantile,0.025,2.46852110294275
2021-01-12,7 day R,2020-03-04,DE,estimate,point,NA,2.89985422603802
2021-01-12,7 day R,2020-03-04,CH,estimate,point,NA,2.67789896530368
2021-01-12,7 day R,2020-03-04,DE,estimate,quantile,0.975,3.02816394301403
2021-01-12,7 day R,2020-03-04,CH,estimate,quantile,0.975,2.89567818404328
2021-01-12,7 day R,2020-03-05,DE,estimate,quantile,0.025,2.81171957023843
2021-01-12,7 day R,2020-03-05,CH,estimate,quantile,0.025,2.45570812078316
2021-01-12,7 day R,2020-03-05,DE,estimate,point,NA,2.92338541982974
2021-01-12,7 day R,2020-03-05,CH,estimate,point,NA,2.64117527777755
2021-01-12,7 day R,2020-03-05,DE,estimate,quantile,0.975,3.03719526928585
2021-01-12,7 day R,2020-03-05,CH,estimate,quantile,0.975,2.83329819474365
2021-01-12,7 day R,2020-03-06,DE,estimate,quantile,0.025,2.79682807385685
2021-01-12,7 day R,2020-03-06,CH,estimate,quantile,0.025,2.42941981056468
2021-01-12,7 day R,2020-03-06,DE,estimate,point,NA,2.89496105288962
2021-01-12,7 day R,2020-03-06,CH,estimate,point,NA,2.59356104046791
2021-01-12,7 day R,2020-03-06,DE,estimate,quantile,0.975,2.99476245960656
2021-01-12,7 day R,2020-03-06,CH,estimate,quantile,0.975,2.76299190015846
2021-01-12,7 day R,2020-03-07,AT,estimate,quantile,0.025,2.51475272714838
2021-01-12,7 day R,2020-03-07,DE,estimate,quantile,0.025,2.72739015955726
2021-01-12,7 day R,2020-03-07,CH,estimate,quantile,0.025,2.39129213916535
2021-01-12,7 day R,2020-03-07,AT,estimate,point,NA,2.73881420017341
2021-01-12,7 day R,2020-03-07,DE,estimate,point,NA,2.81270246827898
2021-01-12,7 day R,2020-03-07,CH,estimate,point,NA,2.53647612819918
2021-01-12,7 day R,2020-03-07,AT,estimate,quantile,0.975,2.97230078348539
2021-01-12,7 day R,2020-03-07,DE,estimate,quantile,0.975,2.89931026808624
2021-01-12,7 day R,2020-03-07,CH,estimate,quantile,0.975,2.68587831916378
2021-01-12,7 day R,2020-03-08,AT,estimate,quantile,0.025,2.40546470611654
2021-01-12,7 day R,2020-03-08,DE,estimate,quantile,0.025,2.6134515411748
2021-01-12,7 day R,2020-03-08,CH,estimate,quantile,0.025,2.34355298155538
2021-01-12,7 day R,2020-03-08,AT,estimate,point,NA,2.59833970630032
2021-01-12,7 day R,2020-03-08,DE,estimate,point,NA,2.6870769720769
2021-01-12,7 day R,2020-03-08,CH,estimate,point,NA,2.47200820369256
2021-01-12,7 day R,2020-03-08,AT,estimate,quantile,0.975,2.79854686123073
2021-01-12,7 day R,2020-03-08,DE,estimate,quantile,0.975,2.76171088199944
2021-01-12,7 day R,2020-03-08,CH,estimate,quantile,0.975,2.60384243697002
2021-01-12,7 day R,2020-03-09,AT,estimate,quantile,0.025,2.31418262198191
2021-01-12,7 day R,2020-03-09,DE,estimate,quantile,0.025,2.47118333033426
2021-01-12,7 day R,2020-03-09,CH,estimate,quantile,0.025,2.28482503691713
2021-01-12,7 day R,2020-03-09,AT,estimate,point,NA,2.48200506896501
2021-01-12,7 day R,2020-03-09,DE,estimate,point,NA,2.53454728656066
2021-01-12,7 day R,2020-03-09,CH,estimate,point,NA,2.39852546308804
2021-01-12,7 day R,2020-03-09,AT,estimate,quantile,0.975,2.65561867369563
2021-01-12,7 day R,2020-03-09,DE,estimate,quantile,0.975,2.59870219421641
2021-01-12,7 day R,2020-03-09,CH,estimate,quantile,0.975,2.51494794008974
2021-01-12,7 day R,2020-03-10,AT,estimate,quantile,0.025,2.23644570221706
2021-01-12,7 day R,2020-03-10,DE,estimate,quantile,0.025,2.31752692093584
2021-01-12,7 day R,2020-03-10,CH,estimate,quantile,0.025,2.21118564243987
2021-01-12,7 day R,2020-03-10,AT,estimate,point,NA,2.38382512126953
2021-01-12,7 day R,2020-03-10,DE,estimate,point,NA,2.37216109758208
2021-01-12,7 day R,2020-03-10,CH,estimate,point,NA,2.31180341159141
2021-01-12,7 day R,2020-03-10,AT,estimate,quantile,0.975,2.53584066029805
2021-01-12,7 day R,2020-03-10,DE,estimate,quantile,0.975,2.42742292759162
2021-01-12,7 day R,2020-03-10,CH,estimate,quantile,0.975,2.41462842437316
2021-01-12,7 day R,2020-03-11,AT,estimate,quantile,0.025,2.16512216982443
2021-01-12,7 day R,2020-03-11,DE,estimate,quantile,0.025,2.1667389712616
2021-01-12,7 day R,2020-03-11,CH,estimate,quantile,0.025,2.12054674807448
2021-01-12,7 day R,2020-03-11,AT,estimate,point,NA,2.29544962660311
2021-01-12,7 day R,2020-03-11,DE,estimate,point,NA,2.2141262960563
2021-01-12,7 day R,2020-03-11,CH,estimate,point,NA,2.20953702851992
2021-01-12,7 day R,2020-03-11,AT,estimate,quantile,0.975,2.42953217704025
2021-01-12,7 day R,2020-03-11,DE,estimate,quantile,0.975,2.26201909810593
2021-01-12,7 day R,2020-03-11,CH,estimate,quantile,0.975,2.30033080156377
2021-01-12,7 day R,2020-03-12,AT,estimate,quantile,0.025,2.09297456651943
2021-01-12,7 day R,2020-03-12,DE,estimate,quantile,0.025,2.02833442352461
2021-01-12,7 day R,2020-03-12,CH,estimate,quantile,0.025,2.0142567018795
2021-01-12,7 day R,2020-03-12,AT,estimate,point,NA,2.20875144462068
2021-01-12,7 day R,2020-03-12,DE,estimate,point,NA,2.06980566868507
2021-01-12,7 day R,2020-03-12,CH,estimate,point,NA,2.09295819681529
2021-01-12,7 day R,2020-03-12,AT,estimate,quantile,0.975,2.32760112380928
2021-01-12,7 day R,2020-03-12,DE,estimate,quantile,0.975,2.11169076714535
2021-01-12,7 day R,2020-03-12,CH,estimate,quantile,0.975,2.17314680465177
