"data_version","target","date","location","type","quantile","value"
"2021-12-06","7 day R","2020-01-28","DE","point","NA",1.14837449708423
"2021-12-06","7 day R","2020-01-28","DE","quantile","0.025",0.973931695588735
"2021-12-06","7 day R","2020-01-28","DE","quantile","0.975",1.33697593300896
"2021-12-06","7 day R","2020-01-29","DE","point","NA",0.996227869759845
"2021-12-06","7 day R","2020-01-29","DE","quantile","0.025",0.839529043002372
"2021-12-06","7 day R","2020-01-29","DE","quantile","0.975",1.16613666286466
"2021-12-06","7 day R","2020-01-30","DE","point","NA",0.874276246382499
"2021-12-06","7 day R","2020-01-30","DE","quantile","0.025",0.730500323650828
"2021-12-06","7 day R","2020-01-30","DE","quantile","0.975",1.03077638506394
"2021-12-06","7 day R","2020-01-31","DE","point","NA",0.779428432501503
"2021-12-06","7 day R","2020-01-31","DE","quantile","0.025",0.644559594507964
"2021-12-06","7 day R","2020-01-31","DE","quantile","0.975",0.926918563283977
"2021-12-06","7 day R","2020-02-01","DE","point","NA",0.707490131085786
"2021-12-06","7 day R","2020-02-01","DE","quantile","0.025",0.578173925160594
"2021-12-06","7 day R","2020-02-01","DE","quantile","0.975",0.849662331471447
"2021-12-06","7 day R","2020-02-02","DE","point","NA",0.652052462169407
"2021-12-06","7 day R","2020-02-02","DE","quantile","0.025",0.525695592210896
"2021-12-06","7 day R","2020-02-02","DE","quantile","0.975",0.791813685341382
"2021-12-06","7 day R","2020-02-03","DE","point","NA",0.605296743221567
"2021-12-06","7 day R","2020-02-03","DE","quantile","0.025",0.48022255805105
"2021-12-06","7 day R","2020-02-03","DE","quantile","0.975",0.744627708369471
"2021-12-06","7 day R","2020-02-04","DE","point","NA",0.559849054245246
"2021-12-06","7 day R","2020-02-04","DE","quantile","0.025",0.435350244886513
"2021-12-06","7 day R","2020-02-04","DE","quantile","0.975",0.699766613732551
"2021-12-06","7 day R","2020-02-05","DE","point","NA",0.510708007627503
"2021-12-06","7 day R","2020-02-05","DE","quantile","0.025",0.386913789524447
"2021-12-06","7 day R","2020-02-05","DE","quantile","0.975",0.65142133908985
"2021-12-06","7 day R","2020-02-06","DE","point","NA",0.456339704326045
"2021-12-06","7 day R","2020-02-06","DE","quantile","0.025",0.333913155951151
"2021-12-06","7 day R","2020-02-06","DE","quantile","0.975",0.597590659335179
"2021-12-06","7 day R","2020-02-07","DE","point","NA",0.398417456285957
"2021-12-06","7 day R","2020-02-07","DE","quantile","0.025",0.278183624726392
"2021-12-06","7 day R","2020-02-07","DE","quantile","0.975",0.539907872178969
"2021-12-06","7 day R","2020-02-08","DE","point","NA",0.340329206831227
"2021-12-06","7 day R","2020-02-08","DE","quantile","0.025",0.222982759967108
"2021-12-06","7 day R","2020-02-08","DE","quantile","0.975",0.482088706824339
"2021-12-06","7 day R","2020-02-09","DE","point","NA",0.286254970471706
"2021-12-06","7 day R","2020-02-09","DE","quantile","0.025",0.172061951905712
"2021-12-06","7 day R","2020-02-09","DE","quantile","0.975",0.429039992909834
"2021-12-06","7 day R","2020-02-10","DE","point","NA",0.239708219613228
"2021-12-06","7 day R","2020-02-10","DE","quantile","0.025",0.128313799068413
"2021-12-06","7 day R","2020-02-10","DE","quantile","0.975",0.385332682751579
"2021-12-06","7 day R","2020-02-11","DE","point","NA",0.208757954986919
"2021-12-06","7 day R","2020-02-11","DE","quantile","0.025",0.0971408008967925
"2021-12-06","7 day R","2020-02-11","DE","quantile","0.975",0.362344533155499
"2021-12-06","7 day R","2020-02-12","DE","point","NA",0.211129783912356
"2021-12-06","7 day R","2020-02-12","DE","quantile","0.025",0.0881352014763467
"2021-12-06","7 day R","2020-02-12","DE","quantile","0.975",0.38692139072422
"2021-12-06","7 day R","2020-02-13","DE","point","NA",0.2723227516235
"2021-12-06","7 day R","2020-02-13","DE","quantile","0.025",0.113638024598794
"2021-12-06","7 day R","2020-02-13","DE","quantile","0.975",0.499153651018939
"2021-12-06","7 day R","2020-02-14","DE","point","NA",0.424882695219153
"2021-12-06","7 day R","2020-02-14","DE","quantile","0.025",0.193449131478929
"2021-12-06","7 day R","2020-02-14","DE","quantile","0.975",0.745811008760745
"2021-12-06","7 day R","2020-02-15","DE","point","NA",0.696682895143234
"2021-12-06","7 day R","2020-02-15","DE","quantile","0.025",0.350356559383103
"2021-12-06","7 day R","2020-02-15","DE","quantile","0.975",1.16004173991569
"2021-12-06","7 day R","2020-02-16","DE","point","NA",1.11597773228052
"2021-12-06","7 day R","2020-02-16","DE","quantile","0.025",0.61477420081944
"2021-12-06","7 day R","2020-02-16","DE","quantile","0.975",1.7641312826859
"2021-12-06","7 day R","2020-02-17","DE","point","NA",1.7441447815284
"2021-12-06","7 day R","2020-02-17","DE","quantile","0.025",1.05657208258285
"2021-12-06","7 day R","2020-02-17","DE","quantile","0.975",2.60124268760308
"2021-12-06","7 day R","2020-02-18","DE","point","NA",2.66808842543789
"2021-12-06","7 day R","2020-02-18","DE","quantile","0.025",1.78638445634161
"2021-12-06","7 day R","2020-02-18","DE","quantile","0.975",3.7238462735499
"2021-12-06","7 day R","2020-02-19","DE","point","NA",3.84936726548312
"2021-12-06","7 day R","2020-02-19","DE","quantile","0.025",2.8205720354688
"2021-12-06","7 day R","2020-02-19","DE","quantile","0.975",5.03564919998382
"2021-12-06","7 day R","2020-02-20","DE","point","NA",4.89247243870074
"2021-12-06","7 day R","2020-02-20","DE","quantile","0.025",3.8385436129971
"2021-12-06","7 day R","2020-02-20","DE","quantile","0.975",6.07230750937495
"2021-12-06","7 day R","2020-02-21","DE","point","NA",5.30759909823581
"2021-12-06","7 day R","2020-02-21","DE","quantile","0.025",4.36716012783648
"2021-12-06","7 day R","2020-02-21","DE","quantile","0.975",6.33837520242012
"2021-12-06","7 day R","2020-02-22","DE","point","NA",5.04571572726998
"2021-12-06","7 day R","2020-02-22","DE","quantile","0.025",4.28951979438985
"2021-12-06","7 day R","2020-02-22","DE","quantile","0.975",5.86239616623193
"2021-12-06","7 day R","2020-02-23","DE","point","NA",4.4445555244154
"2021-12-06","7 day R","2020-02-23","DE","quantile","0.025",3.86620236269322
"2021-12-06","7 day R","2020-02-23","DE","quantile","0.975",5.06263260904483
"2021-12-06","7 day R","2020-02-24","DE","point","NA",3.82879597032735
"2021-12-06","7 day R","2020-02-24","DE","quantile","0.025",3.38788675808785
"2021-12-06","7 day R","2020-02-24","DE","quantile","0.975",4.29628479517791
"2021-12-06","7 day R","2020-02-25","DE","point","NA",3.34273454840379
"2021-12-06","7 day R","2020-02-25","DE","quantile","0.025",2.99828518296972
"2021-12-06","7 day R","2020-02-25","DE","quantile","0.975",3.70564260130258
"2021-12-06","7 day R","2020-02-26","DE","point","NA",2.99974369623189
"2021-12-06","7 day R","2020-02-26","DE","quantile","0.025",2.72144946836693
"2021-12-06","7 day R","2020-02-26","DE","quantile","0.975",3.29139082783872
"2021-12-06","7 day R","2020-02-27","DE","point","NA",2.7670391251435
"2021-12-06","7 day R","2020-02-27","DE","quantile","0.025",2.53502394734147
"2021-12-06","7 day R","2020-02-27","DE","quantile","0.975",3.00906817935471
"2021-12-06","7 day R","2020-02-28","DE","point","NA",2.61579012391779
"2021-12-06","7 day R","2020-02-28","DE","quantile","0.025",2.41723252966748
"2021-12-06","7 day R","2020-02-28","DE","quantile","0.975",2.82207327054626
"2021-12-06","7 day R","2020-02-29","DE","point","NA",2.52972351660899
"2021-12-06","7 day R","2020-02-29","DE","quantile","0.025",2.35608766188082
"2021-12-06","7 day R","2020-02-29","DE","quantile","0.975",2.70944501084699
"2021-12-06","7 day R","2020-03-01","DE","point","NA",2.50292738059733
"2021-12-06","7 day R","2020-03-01","DE","quantile","0.025",2.34825486126654
"2021-12-06","7 day R","2020-03-01","DE","quantile","0.975",2.66246315548673
"2021-12-06","7 day R","2020-03-02","DE","point","NA",2.52998837966734
"2021-12-06","7 day R","2020-03-02","DE","quantile","0.025",2.39014236045307
"2021-12-06","7 day R","2020-03-02","DE","quantile","0.975",2.67375417089916
"2021-12-06","7 day R","2020-03-03","DE","point","NA",2.59533452293051
"2021-12-06","7 day R","2020-03-03","DE","quantile","0.025",2.46779017975283
"2021-12-06","7 day R","2020-03-03","DE","quantile","0.975",2.72604722168246
"2021-12-06","7 day R","2020-03-04","DE","point","NA",2.67361667146836
"2021-12-06","7 day R","2020-03-04","DE","quantile","0.025",2.55720857807028
"2021-12-06","7 day R","2020-03-04","DE","quantile","0.975",2.79257936298681
"2021-12-06","7 day R","2020-03-05","DE","point","NA",2.73594535764312
"2021-12-06","7 day R","2020-03-05","DE","quantile","0.025",2.63041075222119
"2021-12-06","7 day R","2020-03-05","DE","quantile","0.975",2.84352657577967
"2021-12-06","7 day R","2020-03-06","DE","point","NA",2.75725272117956
"2021-12-06","7 day R","2020-03-06","DE","quantile","0.025",2.66268577946708
"2021-12-06","7 day R","2020-03-06","DE","quantile","0.975",2.85344674852662
"2021-12-06","7 day R","2020-03-07","DE","point","NA",2.7243189466858
"2021-12-06","7 day R","2020-03-07","DE","quantile","0.025",2.64068232377321
"2021-12-06","7 day R","2020-03-07","DE","quantile","0.975",2.80924130314297
"2021-12-06","7 day R","2020-03-08","DE","point","NA",2.63958150354572
"2021-12-06","7 day R","2020-03-08","DE","quantile","0.025",2.56642149356549
"2021-12-06","7 day R","2020-03-08","DE","quantile","0.975",2.71375536225923
"2021-12-06","7 day R","2020-03-09","DE","point","NA",2.51667279780799
"2021-12-06","7 day R","2020-03-09","DE","quantile","0.025",2.45310303325464
"2021-12-06","7 day R","2020-03-09","DE","quantile","0.975",2.58104441921668
"2021-12-06","7 day R","2020-03-10","DE","point","NA",2.37342000298513
"2021-12-06","7 day R","2020-03-10","DE","quantile","0.025",2.31827025296674
"2021-12-06","7 day R","2020-03-10","DE","quantile","0.975",2.42920903506638
"2021-12-06","7 day R","2020-03-11","DE","point","NA",2.22620816010252
"2021-12-06","7 day R","2020-03-11","DE","quantile","0.025",2.17821032144602
"2021-12-06","7 day R","2020-03-11","DE","quantile","0.975",2.2747218110698
"2021-12-06","7 day R","2020-03-12","DE","point","NA",2.08676987151707
"2021-12-06","7 day R","2020-03-12","DE","quantile","0.025",2.04470760522267
"2021-12-06","7 day R","2020-03-12","DE","quantile","0.975",2.12925443563517
"2021-12-06","7 day R","2020-03-13","DE","point","NA",1.96202044370846
"2021-12-06","7 day R","2020-03-13","DE","quantile","0.025",1.92481362347843
"2021-12-06","7 day R","2020-03-13","DE","quantile","0.975",1.99957849248781
"2021-12-06","7 day R","2020-03-14","DE","point","NA",1.85491520752206
"2021-12-06","7 day R","2020-03-14","DE","quantile","0.025",1.82165264572468
"2021-12-06","7 day R","2020-03-14","DE","quantile","0.975",1.88847453327394
"2021-12-06","7 day R","2020-03-15","DE","point","NA",1.76495151634671
"2021-12-06","7 day R","2020-03-15","DE","quantile","0.025",1.73489697199345
"2021-12-06","7 day R","2020-03-15","DE","quantile","0.975",1.79526057659491
"2021-12-06","7 day R","2020-03-16","DE","point","NA",1.68890696815555
"2021-12-06","7 day R","2020-03-16","DE","quantile","0.025",1.66148970145935
"2021-12-06","7 day R","2020-03-16","DE","quantile","0.975",1.71654549200657
"2021-12-06","7 day R","2020-03-17","DE","point","NA",1.62206164594849
"2021-12-06","7 day R","2020-03-17","DE","quantile","0.025",1.59685498008622
"2021-12-06","7 day R","2020-03-17","DE","quantile","0.975",1.64746296770773
"2021-12-06","7 day R","2020-03-18","DE","point","NA",1.55962959732301
"2021-12-06","7 day R","2020-03-18","DE","quantile","0.025",1.53632062788611
"2021-12-06","7 day R","2020-03-18","DE","quantile","0.975",1.58311162797798
"2021-12-06","7 day R","2020-03-19","DE","point","NA",1.49821295954171
"2021-12-06","7 day R","2020-03-19","DE","quantile","0.025",1.47656683249913
"2021-12-06","7 day R","2020-03-19","DE","quantile","0.975",1.52001441614087
"2021-12-06","7 day R","2020-03-20","DE","point","NA",1.43620788081598
"2021-12-06","7 day R","2020-03-20","DE","quantile","0.025",1.41603656611318
"2021-12-06","7 day R","2020-03-20","DE","quantile","0.975",1.45651987506548
"2021-12-06","7 day R","2020-03-21","DE","point","NA",1.37349909444489
"2021-12-06","7 day R","2020-03-21","DE","quantile","0.025",1.3546396361617
