data_version,target,date,location,type,quantile,value
2021-05-23,1 day R,2021-01-30,AT,point,NA,0.971634297392177
2021-05-23,1 day R,2021-01-31,AT,point,NA,0.976582622318076
2021-05-23,1 day R,2021-02-01,AT,point,NA,0.98219085648177
2021-05-23,1 day R,2021-02-02,AT,point,NA,0.988641092418486
2021-05-23,1 day R,2021-02-03,AT,point,NA,0.995791430317707
2021-05-23,1 day R,2021-02-04,AT,point,NA,1.00320243855806
2021-05-23,1 day R,2021-02-05,AT,point,NA,1.01119226757275
2021-05-23,1 day R,2021-02-06,AT,point,NA,1.01947191807776
2021-05-23,1 day R,2021-02-07,AT,point,NA,1.02750018048024
2021-05-23,1 day R,2021-02-08,AT,point,NA,1.03589269009483
2021-05-23,1 day R,2021-02-09,AT,point,NA,1.04374913524673
2021-05-23,1 day R,2021-02-10,AT,point,NA,1.05151445228341
2021-05-23,1 day R,2021-02-11,AT,point,NA,1.05877896902582
2021-05-23,1 day R,2021-02-12,AT,point,NA,1.06587801418447
2021-05-23,1 day R,2021-02-13,AT,point,NA,1.07220289887289
2021-05-23,1 day R,2021-02-14,AT,point,NA,1.07814964103599
2021-05-23,1 day R,2021-02-15,AT,point,NA,1.08333205124511
2021-05-23,1 day R,2021-02-16,AT,point,NA,1.08768212483786
2021-05-23,1 day R,2021-02-17,AT,point,NA,1.09156168608274
2021-05-23,1 day R,2021-02-18,AT,point,NA,1.09531466080836
2021-05-23,1 day R,2021-02-19,AT,point,NA,1.09827840415768
2021-05-23,1 day R,2021-02-20,AT,point,NA,1.10053976868668
2021-05-23,1 day R,2021-02-21,AT,point,NA,1.10234270150489
2021-05-23,1 day R,2021-02-22,AT,point,NA,1.10331590989984
2021-05-23,1 day R,2021-02-23,AT,point,NA,1.10388586894242
2021-05-23,1 day R,2021-02-24,AT,point,NA,1.10377124609513
2021-05-23,1 day R,2021-02-25,AT,point,NA,1.10335203469055
2021-05-23,1 day R,2021-02-26,AT,point,NA,1.10239828468184
2021-05-23,1 day R,2021-02-27,AT,point,NA,1.1013556463777
2021-05-23,1 day R,2021-02-28,AT,point,NA,1.09952421753654
2021-05-23,1 day R,2021-03-01,AT,point,NA,1.09789991507713
2021-05-23,1 day R,2021-03-02,AT,point,NA,1.09551267128511
2021-05-23,1 day R,2021-03-03,AT,point,NA,1.09309335977437
2021-05-23,1 day R,2021-03-04,AT,point,NA,1.09031690947631
2021-05-23,1 day R,2021-03-05,AT,point,NA,1.08725829639738
2021-05-23,1 day R,2021-03-06,AT,point,NA,1.08391881180437
2021-05-23,1 day R,2021-03-07,AT,point,NA,1.07997120067191
2021-05-23,1 day R,2021-03-08,AT,point,NA,1.07596977382583
2021-05-23,1 day R,2021-03-09,AT,point,NA,1.07161716443245
2021-05-23,1 day R,2021-03-10,AT,point,NA,1.06708824901488
2021-05-23,1 day R,2021-03-11,AT,point,NA,1.06225582785718
2021-05-23,1 day R,2021-03-12,AT,point,NA,1.0571180273422
2021-05-23,1 day R,2021-03-13,AT,point,NA,1.05150126163037
2021-05-23,1 day R,2021-03-14,AT,point,NA,1.04578197674869
2021-05-23,1 day R,2021-03-15,AT,point,NA,1.03961665660849
2021-05-23,1 day R,2021-03-16,AT,point,NA,1.03331218438351
2021-05-23,1 day R,2021-03-17,AT,point,NA,1.02673805395427
2021-05-23,1 day R,2021-03-18,AT,point,NA,1.02007603041765
2021-05-23,1 day R,2021-03-19,AT,point,NA,1.01324383901639
2021-05-23,1 day R,2021-03-20,AT,point,NA,1.00648469645682
2021-05-23,1 day R,2021-03-21,AT,point,NA,0.99987470378564
2021-05-23,1 day R,2021-03-22,AT,point,NA,0.993316778597111
2021-05-23,1 day R,2021-03-23,AT,point,NA,0.986595402738251
2021-05-23,1 day R,2021-03-24,AT,point,NA,0.979856354225124
2021-05-23,1 day R,2021-03-25,AT,point,NA,0.973774425348399
2021-05-23,1 day R,2021-03-26,AT,point,NA,0.96815879671311
2021-05-23,1 day R,2021-03-27,AT,point,NA,0.962847560476083
2021-05-23,1 day R,2021-03-28,AT,point,NA,0.957661428980728
2021-05-23,1 day R,2021-03-29,AT,point,NA,0.953294188164212
2021-05-23,1 day R,2021-03-30,AT,point,NA,0.949559131072463
2021-05-23,1 day R,2021-03-31,AT,point,NA,0.94600908678018
2021-05-23,1 day R,2021-04-01,AT,point,NA,0.943237242638673
2021-05-23,1 day R,2021-04-02,AT,point,NA,0.940738292728023
2021-05-23,1 day R,2021-04-03,AT,point,NA,0.938654424672262
2021-05-23,1 day R,2021-04-04,AT,point,NA,0.936615992717476
2021-05-23,1 day R,2021-04-05,AT,point,NA,0.934967937141562
2021-05-23,1 day R,2021-04-06,AT,point,NA,0.933518613289045
2021-05-23,1 day R,2021-04-07,AT,point,NA,0.932630204465008
2021-05-23,1 day R,2021-04-08,AT,point,NA,0.931695801963979
2021-05-23,1 day R,2021-04-09,AT,point,NA,0.93060033286792
2021-05-23,1 day R,2021-04-10,AT,point,NA,0.929579672855779
2021-05-23,1 day R,2021-04-11,AT,point,NA,0.928162687034422
2021-05-23,1 day R,2021-04-12,AT,point,NA,0.926498242261986
2021-05-23,1 day R,2021-04-13,AT,point,NA,0.924300533987296
2021-05-23,1 day R,2021-04-14,AT,point,NA,0.921613906022126
2021-05-23,1 day R,2021-04-15,AT,point,NA,0.918656989730932
2021-05-23,1 day R,2021-04-16,AT,point,NA,0.915271532025588
2021-05-23,1 day R,2021-04-17,AT,point,NA,0.910950128955807
2021-05-23,1 day R,2021-04-18,AT,point,NA,0.905975547979296
