"data_version","target","date","location","type","quantile","value"
"2021-04-12","7 day R","2020-03-02","DE","point","NA",2.34897449764057
"2021-04-12","7 day R","2020-03-02","DE","quantile","0.025",2.0195677221956
"2021-04-12","7 day R","2020-03-02","DE","quantile","0.975",2.68408708642953
"2021-04-12","7 day R","2020-03-03","DE","point","NA",2.36367906115192
"2021-04-12","7 day R","2020-03-03","DE","quantile","0.025",2.05242777674863
"2021-04-12","7 day R","2020-03-03","DE","quantile","0.975",2.68098810470695
"2021-04-12","7 day R","2020-03-04","DE","point","NA",2.39542511736029
"2021-04-12","7 day R","2020-03-04","DE","quantile","0.025",2.10171855890188
"2021-04-12","7 day R","2020-03-04","DE","quantile","0.975",2.69857039159884
"2021-04-12","7 day R","2020-03-05","DE","point","NA",2.42993926362863
"2021-04-12","7 day R","2020-03-05","DE","quantile","0.025",2.14285879398806
"2021-04-12","7 day R","2020-03-05","DE","quantile","0.975",2.73243211360639
"2021-04-12","7 day R","2020-03-06","DE","point","NA",2.3911762452119
"2021-04-12","7 day R","2020-03-06","DE","quantile","0.025",2.11673563217589
"2021-04-12","7 day R","2020-03-06","DE","quantile","0.975",2.67851977138812
"2021-04-12","7 day R","2020-03-07","DE","point","NA",2.37512018673873
"2021-04-12","7 day R","2020-03-07","DE","quantile","0.025",2.1066907504277
"2021-04-12","7 day R","2020-03-07","DE","quantile","0.975",2.65121121301322
"2021-04-12","7 day R","2020-03-08","DE","point","NA",2.36507748047395
"2021-04-12","7 day R","2020-03-08","DE","quantile","0.025",2.10014156018745
"2021-04-12","7 day R","2020-03-08","DE","quantile","0.975",2.63510712841189
"2021-04-12","7 day R","2020-03-09","DE","point","NA",2.35307806478984
"2021-04-12","7 day R","2020-03-09","DE","quantile","0.025",2.09078929523746
"2021-04-12","7 day R","2020-03-09","DE","quantile","0.975",2.62338060495123
"2021-04-12","7 day R","2020-03-10","DE","point","NA",2.35819971746342
"2021-04-12","7 day R","2020-03-10","DE","quantile","0.025",2.0951215411543
"2021-04-12","7 day R","2020-03-10","DE","quantile","0.975",2.63045639261072
