data_version,target,date,location,type,quantile,value
2021-11-29,5 day R,2020-03-02,DE,point,NA,2.3474789395465674
2021-11-29,5 day R,2020-03-02,DE,quantile,0.025,2.059506422931084
2021-11-29,5 day R,2020-03-02,DE,quantile,0.975,2.6378708397068817
2021-11-29,5 day R,2020-03-03,DE,point,NA,2.363464823958589
2021-11-29,5 day R,2020-03-03,DE,quantile,0.025,2.094213831059752
2021-11-29,5 day R,2020-03-03,DE,quantile,0.975,2.6368146009780853
2021-11-29,5 day R,2020-03-04,DE,point,NA,2.3967422826666587
2021-11-29,5 day R,2020-03-04,DE,quantile,0.025,2.137474806704169
2021-11-29,5 day R,2020-03-04,DE,quantile,0.975,2.65503055454077
2021-11-29,5 day R,2020-03-05,DE,point,NA,2.4346399235213028
2021-11-29,5 day R,2020-03-05,DE,quantile,0.025,2.1844327242250934
2021-11-29,5 day R,2020-03-05,DE,quantile,0.975,2.6897775264695905
2021-11-29,5 day R,2020-03-06,DE,point,NA,2.395144253859788
2021-11-29,5 day R,2020-03-06,DE,quantile,0.025,2.153399202936548
2021-11-29,5 day R,2020-03-06,DE,quantile,0.975,2.639163339302805
2021-11-29,5 day R,2020-03-07,DE,point,NA,2.377743726923472
2021-11-29,5 day R,2020-03-07,DE,quantile,0.025,2.144546388335571
2021-11-29,5 day R,2020-03-07,DE,quantile,0.975,2.613941780532525
2021-11-29,5 day R,2020-03-08,DE,point,NA,2.3688818462176178
2021-11-29,5 day R,2020-03-08,DE,quantile,0.025,2.136079226019706
2021-11-29,5 day R,2020-03-08,DE,quantile,0.975,2.6004902056731773
2021-11-29,5 day R,2020-03-09,DE,point,NA,2.3563123689882466
2021-11-29,5 day R,2020-03-09,DE,quantile,0.025,2.128997153768464
2021-11-29,5 day R,2020-03-09,DE,quantile,0.975,2.5865995223670954
2021-11-29,5 day R,2020-03-10,DE,point,NA,2.36332570411112
2021-11-29,5 day R,2020-03-10,DE,quantile,0.025,2.132913946260744
2021-11-29,5 day R,2020-03-10,DE,quantile,0.975,2.5977268485475973
2021-11-29,5 day R,2020-03-11,DE,point,NA,2.36989686753144
2021-11-29,5 day R,2020-03-11,DE,quantile,0.025,2.1406235463984764
2021-11-29,5 day R,2020-03-11,DE,quantile,0.975,2.6043927377884493
2021-11-29,5 day R,2020-03-12,DE,point,NA,2.3705387785569254
2021-11-29,5 day R,2020-03-12,DE,quantile,0.025,2.140493537246672
2021-11-29,5 day R,2020-03-12,DE,quantile,0.975,2.606296972185324
2021-11-29,5 day R,2020-03-13,DE,point,NA,2.4177955608341324
2021-11-29,5 day R,2020-03-13,DE,quantile,0.025,2.177187732571692
2021-11-29,5 day R,2020-03-13,DE,quantile,0.975,2.669661472785716
2021-11-29,5 day R,2020-03-14,DE,point,NA,2.365698085381125
2021-11-29,5 day R,2020-03-14,DE,quantile,0.025,2.1311767218436968
2021-11-29,5 day R,2020-03-14,DE,quantile,0.975,2.612912114277743
2021-11-29,5 day R,2020-03-15,DE,point,NA,2.307954768757884
2021-11-29,5 day R,2020-03-15,DE,quantile,0.025,2.076497970381894
2021-11-29,5 day R,2020-03-15,DE,quantile,0.975,2.5479133400106133
2021-11-29,5 day R,2020-03-16,DE,point,NA,2.248730135973421
2021-11-29,5 day R,2020-03-16,DE,quantile,0.025,2.018780174499197
2021-11-29,5 day R,2020-03-16,DE,quantile,0.975,2.4842888609873546
2021-11-29,5 day R,2020-03-17,DE,point,NA,2.181629190113747
2021-11-29,5 day R,2020-03-17,DE,quantile,0.025,1.9578146849772369
2021-11-29,5 day R,2020-03-17,DE,quantile,0.975,2.413852182065688
2021-11-29,5 day R,2020-03-18,DE,point,NA,2.104418249456786
2021-11-29,5 day R,2020-03-18,DE,quantile,0.025,1.8844778577748773
2021-11-29,5 day R,2020-03-18,DE,quantile,0.975,2.3291292317697936
2021-11-29,5 day R,2020-03-19,DE,point,NA,2.0142827597271964
2021-11-29,5 day R,2020-03-19,DE,quantile,0.025,1.79699238285439
2021-11-29,5 day R,2020-03-19,DE,quantile,0.975,2.2357816367490115
2021-11-29,5 day R,2020-03-20,DE,point,NA,1.93039814457933
2021-11-29,5 day R,2020-03-20,DE,quantile,0.025,1.716880023910489
2021-11-29,5 day R,2020-03-20,DE,quantile,0.975,2.148837006542488
2021-11-29,5 day R,2020-03-21,DE,point,NA,1.8570408417437991
2021-11-29,5 day R,2020-03-21,DE,quantile,0.025,1.6414949078092549
2021-11-29,5 day R,2020-03-21,DE,quantile,0.975,2.0755182250012183
2021-11-29,5 day R,2020-03-22,DE,point,NA,1.7918309658855378
2021-11-29,5 day R,2020-03-22,DE,quantile,0.025,1.5749039010838115
2021-11-29,5 day R,2020-03-22,DE,quantile,0.975,2.009371745844609
2021-11-29,5 day R,2020-03-23,DE,point,NA,1.7360141256695525
2021-11-29,5 day R,2020-03-23,DE,quantile,0.025,1.5167171049456605
2021-11-29,5 day R,2020-03-23,DE,quantile,0.975,1.9514606759119453
2021-11-29,5 day R,2020-03-24,DE,point,NA,1.6697073377439988
2021-11-29,5 day R,2020-03-24,DE,quantile,0.025,1.4528020424604189
2021-11-29,5 day R,2020-03-24,DE,quantile,0.975,1.8848651036532853
2021-11-29,5 day R,2020-03-25,DE,point,NA,1.604100213874998
2021-11-29,5 day R,2020-03-25,DE,quantile,0.025,1.3855507190994756
2021-11-29,5 day R,2020-03-25,DE,quantile,0.975,1.819807441558555
2021-11-29,5 day R,2020-03-26,DE,point,NA,1.54732669314591
2021-11-29,5 day R,2020-03-26,DE,quantile,0.025,1.3303707507408482
2021-11-29,5 day R,2020-03-26,DE,quantile,0.975,1.7621765136296883
2021-11-29,5 day R,2020-03-27,DE,point,NA,1.4869318570138987
2021-11-29,5 day R,2020-03-27,DE,quantile,0.025,1.268790236475834
2021-11-29,5 day R,2020-03-27,DE,quantile,0.975,1.6992299193877225
2021-11-29,5 day R,2020-03-28,DE,point,NA,1.4390524074786089
2021-11-29,5 day R,2020-03-28,DE,quantile,0.025,1.2218032971929256
2021-11-29,5 day R,2020-03-28,DE,quantile,0.975,1.6580695821857536
2021-11-29,5 day R,2020-03-29,DE,point,NA,1.3790689349719027
2021-11-29,5 day R,2020-03-29,DE,quantile,0.025,1.16149137357796
2021-11-29,5 day R,2020-03-29,DE,quantile,0.975,1.5950396758329233
2021-11-29,5 day R,2020-03-30,DE,point,NA,1.3243667918325834
2021-11-29,5 day R,2020-03-30,DE,quantile,0.025,1.1037182041839853
2021-11-29,5 day R,2020-03-30,DE,quantile,0.975,1.5381978203452853
2021-11-29,5 day R,2020-03-31,DE,point,NA,1.2693398805003349
2021-11-29,5 day R,2020-03-31,DE,quantile,0.025,1.0501255672129428
2021-11-29,5 day R,2020-03-31,DE,quantile,0.975,1.4851721922926988
2021-11-29,5 day R,2020-04-01,DE,point,NA,1.2159905537422109
2021-11-29,5 day R,2020-04-01,DE,quantile,0.025,0.9968353188787904
2021-11-29,5 day R,2020-04-01,DE,quantile,0.975,1.4331304788096446
2021-11-29,5 day R,2020-04-02,DE,point,NA,1.1660334285987517
2021-11-29,5 day R,2020-04-02,DE,quantile,0.025,0.9425346246536296
2021-11-29,5 day R,2020-04-02,DE,quantile,0.975,1.3803117090207242
2021-11-29,5 day R,2020-04-03,DE,point,NA,1.120397344363915
2021-11-29,5 day R,2020-04-03,DE,quantile,0.025,0.8986000890924568
2021-11-29,5 day R,2020-04-03,DE,quantile,0.975,1.3361656540359377
2021-11-29,5 day R,2020-04-04,DE,point,NA,1.087851659980973
2021-11-29,5 day R,2020-04-04,DE,quantile,0.025,0.8670779261658859
2021-11-29,5 day R,2020-04-04,DE,quantile,0.975,1.3039363854329498
2021-11-29,5 day R,2020-04-05,DE,point,NA,1.0542468016764734
2021-11-29,5 day R,2020-04-05,DE,quantile,0.025,0.8350499457231179
2021-11-29,5 day R,2020-04-05,DE,quantile,0.975,1.2715817852692377
2021-11-29,5 day R,2020-04-06,DE,point,NA,1.0204788658929589
2021-11-29,5 day R,2020-04-06,DE,quantile,0.025,0.7983631548511557
2021-11-29,5 day R,2020-04-06,DE,quantile,0.975,1.2390486824941316
2021-11-29,5 day R,2020-04-07,DE,point,NA,0.9883540072489598
2021-11-29,5 day R,2020-04-07,DE,quantile,0.025,0.7663817111323827
2021-11-29,5 day R,2020-04-07,DE,quantile,0.975,1.2031375593846825
2021-11-29,5 day R,2020-04-08,DE,point,NA,0.9534973404182984
2021-11-29,5 day R,2020-04-08,DE,quantile,0.025,0.7311891511173901
2021-11-29,5 day R,2020-04-08,DE,quantile,0.975,1.169817784810057
2021-11-29,5 day R,2020-04-09,DE,point,NA,0.9191052716453076
