"data_version","target","date","location","type","quantile","value"
"2021-03-04","7 day R","2020-03-02","DE","point","NA",2.89193324054125
"2021-03-04","7 day R","2020-03-02","DE","quantile","0.025",2.42756251284083
"2021-03-04","7 day R","2020-03-02","DE","quantile","0.975",3.36777164902399
"2021-03-04","7 day R","2020-03-03","DE","point","NA",2.92361237285199
"2021-03-04","7 day R","2020-03-03","DE","quantile","0.025",2.49021300622333
"2021-03-04","7 day R","2020-03-03","DE","quantile","0.975",3.37152625209215
"2021-03-04","7 day R","2020-03-04","DE","point","NA",2.98245502867128
"2021-03-04","7 day R","2020-03-04","DE","quantile","0.025",2.56488848039665
"2021-03-04","7 day R","2020-03-04","DE","quantile","0.975",3.41382449383111
"2021-03-04","7 day R","2020-03-05","DE","point","NA",3.04354751684616
"2021-03-04","7 day R","2020-03-05","DE","quantile","0.025",2.63208688275568
"2021-03-04","7 day R","2020-03-05","DE","quantile","0.975",3.46973427879967
"2021-03-04","7 day R","2020-03-06","DE","point","NA",2.99256150924439
"2021-03-04","7 day R","2020-03-06","DE","quantile","0.025",2.59600838991162
"2021-03-04","7 day R","2020-03-06","DE","quantile","0.975",3.39357998751795
"2021-03-04","7 day R","2020-03-07","DE","point","NA",2.93178976789919
"2021-03-04","7 day R","2020-03-07","DE","quantile","0.025",2.55259821980795
"2021-03-04","7 day R","2020-03-07","DE","quantile","0.975",3.31349268718567
"2021-03-04","7 day R","2020-03-08","DE","point","NA",2.90082606979496
"2021-03-04","7 day R","2020-03-08","DE","quantile","0.025",2.53603662218015
"2021-03-04","7 day R","2020-03-08","DE","quantile","0.975",3.27136539242619
"2021-03-04","7 day R","2020-03-09","DE","point","NA",2.87076340281043
"2021-03-04","7 day R","2020-03-09","DE","quantile","0.025",2.50786472035008
"2021-03-04","7 day R","2020-03-09","DE","quantile","0.975",3.23829818247485
"2021-03-04","7 day R","2020-03-10","DE","point","NA",2.87983078966119
"2021-03-04","7 day R","2020-03-10","DE","quantile","0.025",2.52346503683712
"2021-03-04","7 day R","2020-03-10","DE","quantile","0.975",3.24930279190264
"2021-03-04","7 day R","2020-03-11","DE","point","NA",2.89629988261435
"2021-03-04","7 day R","2020-03-11","DE","quantile","0.025",2.53099628027984
"2021-03-04","7 day R","2020-03-11","DE","quantile","0.975",3.26779704686875
"2021-03-04","7 day R","2020-03-12","DE","point","NA",2.90235391774902
"2021-03-04","7 day R","2020-03-12","DE","quantile","0.025",2.53733656767935
"2021-03-04","7 day R","2020-03-12","DE","quantile","0.975",3.28706245863479
"2021-03-04","7 day R","2020-03-13","DE","point","NA",2.95670176076483
"2021-03-04","7 day R","2020-03-13","DE","quantile","0.025",2.5746639214511
"2021-03-04","7 day R","2020-03-13","DE","quantile","0.975",3.36889757197692
"2021-03-04","7 day R","2020-03-14","DE","point","NA",2.86308336098616
"2021-03-04","7 day R","2020-03-14","DE","quantile","0.025",2.49113578318716
"2021-03-04","7 day R","2020-03-14","DE","quantile","0.975",3.25330784113705
"2021-03-04","7 day R","2020-03-15","DE","point","NA",2.78275762490525
"2021-03-04","7 day R","2020-03-15","DE","quantile","0.025",2.42557408134347
"2021-03-04","7 day R","2020-03-15","DE","quantile","0.975",3.16655827847569
"2021-03-04","7 day R","2020-03-16","DE","point","NA",2.70645006786618
"2021-03-04","7 day R","2020-03-16","DE","quantile","0.025",2.35360196128289
"2021-03-04","7 day R","2020-03-16","DE","quantile","0.975",3.07792816145032
"2021-03-04","7 day R","2020-03-17","DE","point","NA",2.63191056437154
"2021-03-04","7 day R","2020-03-17","DE","quantile","0.025",2.28641635791431
"2021-03-04","7 day R","2020-03-17","DE","quantile","0.975",3.0027963098266
