data_version,target,date,location,label,type,quantile,value
2021-03-13,7 day R,2020-03-02,DE,estimate,point,NA,2.8926703710327613
2021-03-13,7 day R,2020-03-02,DE,estimate,quantile,0.025,2.4315456804738496
2021-03-13,7 day R,2020-03-02,DE,estimate,quantile,0.975,3.363859331745468
2021-03-13,7 day R,2020-03-03,DE,estimate,point,NA,2.92313445551896
2021-03-13,7 day R,2020-03-03,DE,estimate,quantile,0.025,2.491465104358809
2021-03-13,7 day R,2020-03-03,DE,estimate,quantile,0.975,3.365621064147308
2021-03-13,7 day R,2020-03-04,DE,estimate,point,NA,2.980818492032435
2021-03-13,7 day R,2020-03-04,DE,estimate,quantile,0.025,2.5604256336872986
2021-03-13,7 day R,2020-03-04,DE,estimate,quantile,0.975,3.410738678289429
2021-03-13,7 day R,2020-03-05,DE,estimate,point,NA,3.0394189676786096
2021-03-13,7 day R,2020-03-05,DE,estimate,quantile,0.025,2.6237613047910626
2021-03-13,7 day R,2020-03-05,DE,estimate,quantile,0.975,3.4708517247300583
2021-03-13,7 day R,2020-03-06,DE,estimate,point,NA,2.9883350173577963
2021-03-13,7 day R,2020-03-06,DE,estimate,quantile,0.025,2.594810125564834
2021-03-13,7 day R,2020-03-06,DE,estimate,quantile,0.975,3.3969267483214245
2021-03-13,7 day R,2020-03-07,DE,estimate,point,NA,2.9290887237368626
2021-03-13,7 day R,2020-03-07,DE,estimate,quantile,0.025,2.553342878464824
2021-03-13,7 day R,2020-03-07,DE,estimate,quantile,0.975,3.310998750636459
2021-03-13,7 day R,2020-03-08,DE,estimate,point,NA,2.898634308646936
2021-03-13,7 day R,2020-03-08,DE,estimate,quantile,0.025,2.5316667275873828
2021-03-13,7 day R,2020-03-08,DE,estimate,quantile,0.975,3.2739700609644755
2021-03-13,7 day R,2020-03-09,DE,estimate,point,NA,2.8693780759284246
2021-03-13,7 day R,2020-03-09,DE,estimate,quantile,0.025,2.512196079894022
2021-03-13,7 day R,2020-03-09,DE,estimate,quantile,0.975,3.237792044230484
2021-03-13,7 day R,2020-03-10,DE,estimate,point,NA,2.8770699215732987
2021-03-13,7 day R,2020-03-10,DE,estimate,quantile,0.025,2.518773476617972
2021-03-13,7 day R,2020-03-10,DE,estimate,quantile,0.975,3.2448137782087687
2021-03-13,7 day R,2020-03-11,DE,estimate,point,NA,2.8920166021207097
2021-03-13,7 day R,2020-03-11,DE,estimate,quantile,0.025,2.533460877267609
2021-03-13,7 day R,2020-03-11,DE,estimate,quantile,0.975,3.26467496718522
2021-03-13,7 day R,2020-03-12,DE,estimate,point,NA,2.8960039483682483
2021-03-13,7 day R,2020-03-12,DE,estimate,quantile,0.025,2.5320687936686608
2021-03-13,7 day R,2020-03-12,DE,estimate,quantile,0.975,3.2778386768575887
2021-03-13,7 day R,2020-03-13,DE,estimate,point,NA,2.9472437710891475
2021-03-13,7 day R,2020-03-13,DE,estimate,quantile,0.025,2.567342235814648
2021-03-13,7 day R,2020-03-13,DE,estimate,quantile,0.975,3.356364363408512
2021-03-13,7 day R,2020-03-14,DE,estimate,point,NA,2.8567271048767093
2021-03-13,7 day R,2020-03-14,DE,estimate,quantile,0.025,2.4894443998287583
2021-03-13,7 day R,2020-03-14,DE,estimate,quantile,0.975,3.244600182687136
2021-03-13,7 day R,2020-03-15,DE,estimate,point,NA,2.7761156851497333
2021-03-13,7 day R,2020-03-15,DE,estimate,quantile,0.025,2.4210964862679267
2021-03-13,7 day R,2020-03-15,DE,estimate,quantile,0.975,3.151326236023446
2021-03-13,7 day R,2020-03-16,DE,estimate,point,NA,2.700583382275514
2021-03-13,7 day R,2020-03-16,DE,estimate,quantile,0.025,2.3507421089389706
2021-03-13,7 day R,2020-03-16,DE,estimate,quantile,0.975,3.0680492762904894
2021-03-13,7 day R,2020-03-17,DE,estimate,point,NA,2.625921620842304
2021-03-13,7 day R,2020-03-17,DE,estimate,quantile,0.025,2.2842520317005315
2021-03-13,7 day R,2020-03-17,DE,estimate,quantile,0.975,2.9914087037582404
2021-03-13,7 day R,2020-03-18,DE,estimate,point,NA,2.5482396506220297
2021-03-13,7 day R,2020-03-18,DE,estimate,quantile,0.025,2.207664469418222
2021-03-13,7 day R,2020-03-18,DE,estimate,quantile,0.975,2.9051368843113567
2021-03-13,7 day R,2020-03-19,DE,estimate,point,NA,2.446966901318105
2021-03-13,7 day R,2020-03-19,DE,estimate,quantile,0.025,2.106183938983499
2021-03-13,7 day R,2020-03-19,DE,estimate,quantile,0.975,2.7983434283653787
2021-03-13,7 day R,2020-03-20,DE,estimate,point,NA,2.3439758279457186
2021-03-13,7 day R,2020-03-20,DE,estimate,quantile,0.025,2.0086957834588115
2021-03-13,7 day R,2020-03-20,DE,estimate,quantile,0.975,2.6906471897362487
2021-03-13,7 day R,2020-03-21,DE,estimate,point,NA,2.2232215749831994
2021-03-13,7 day R,2020-03-21,DE,estimate,quantile,0.025,1.88604976363026
2021-03-13,7 day R,2020-03-21,DE,estimate,quantile,0.975,2.5632435502963435
2021-03-13,7 day R,2020-03-22,DE,estimate,point,NA,2.124932573094272
2021-03-13,7 day R,2020-03-22,DE,estimate,quantile,0.025,1.7877924164897765
2021-03-13,7 day R,2020-03-22,DE,estimate,quantile,0.975,2.460089626136834
2021-03-13,7 day R,2020-03-23,DE,estimate,point,NA,2.0464617669969907
2021-03-13,7 day R,2020-03-23,DE,estimate,quantile,0.025,1.7063125039009328
2021-03-13,7 day R,2020-03-23,DE,estimate,quantile,0.975,2.3853150401494694
2021-03-13,7 day R,2020-03-24,DE,estimate,point,NA,1.968737675085832
2021-03-13,7 day R,2020-03-24,DE,estimate,quantile,0.025,1.627212637808464
2021-03-13,7 day R,2020-03-24,DE,estimate,quantile,0.975,2.307250430994651
2021-03-13,7 day R,2020-03-25,DE,estimate,point,NA,1.8986582907859573
2021-03-13,7 day R,2020-03-25,DE,estimate,quantile,0.025,1.555665677451756
2021-03-13,7 day R,2020-03-25,DE,estimate,quantile,0.975,2.2358169827733816
2021-03-13,7 day R,2020-03-26,DE,estimate,point,NA,1.8315610451283288
2021-03-13,7 day R,2020-03-26,DE,estimate,quantile,0.025,1.4929657268580128
2021-03-13,7 day R,2020-03-26,DE,estimate,quantile,0.975,2.166430486364317
