data_version,target,date,location,type,quantile,value
18841,7 day R,2020-03-02,DE,point,NA,2.9921923169769324
18841,7 day R,2020-03-02,DE,quantile,0.025,2.593531352626221
18841,7 day R,2020-03-02,DE,quantile,0.975,3.3939159362356808
18841,7 day R,2020-03-03,DE,point,NA,3.016652719368518
18841,7 day R,2020-03-03,DE,quantile,0.025,2.6480485632165642
18841,7 day R,2020-03-03,DE,quantile,0.975,3.3878352342065323
18841,7 day R,2020-03-04,DE,point,NA,3.0689961760142044
18841,7 day R,2020-03-04,DE,quantile,0.025,2.7193443890914084
18841,7 day R,2020-03-04,DE,quantile,0.975,3.420204613729891
18841,7 day R,2020-03-05,DE,point,NA,3.1250210066228954
18841,7 day R,2020-03-05,DE,quantile,0.025,2.7893762692559347
18841,7 day R,2020-03-05,DE,quantile,0.975,3.4684693000812867
18841,7 day R,2020-03-06,DE,point,NA,3.0478078565123488
18841,7 day R,2020-03-06,DE,quantile,0.025,2.7292230000917312
18841,7 day R,2020-03-06,DE,quantile,0.975,3.37230201176242
18841,7 day R,2020-03-07,DE,point,NA,3.007348318017736
18841,7 day R,2020-03-07,DE,quantile,0.025,2.6947758042820658
18841,7 day R,2020-03-07,DE,quantile,0.975,3.3226987498556158
18841,7 day R,2020-03-08,DE,point,NA,2.981425864436722
18841,7 day R,2020-03-08,DE,quantile,0.025,2.675228533518961
18841,7 day R,2020-03-08,DE,quantile,0.975,3.2892855405780743
18841,7 day R,2020-03-09,DE,point,NA,2.953255363864551
18841,7 day R,2020-03-09,DE,quantile,0.025,2.6522520709692485
18841,7 day R,2020-03-09,DE,quantile,0.975,3.2564743020711027
18841,7 day R,2020-03-10,DE,point,NA,2.958462423532248
18841,7 day R,2020-03-10,DE,quantile,0.025,2.6563361012187707
18841,7 day R,2020-03-10,DE,quantile,0.975,3.264457299677682
18841,7 day R,2020-03-11,DE,point,NA,2.965619071694793
18841,7 day R,2020-03-11,DE,quantile,0.025,2.66340997256368
18841,7 day R,2020-03-11,DE,quantile,0.975,3.2714689051318295
18841,7 day R,2020-03-12,DE,point,NA,2.966587755726878
18841,7 day R,2020-03-12,DE,quantile,0.025,2.6653610691888634
18841,7 day R,2020-03-12,DE,quantile,0.975,3.27621976396373
18841,7 day R,2020-03-13,DE,point,NA,3.0520213317212317
18841,7 day R,2020-03-13,DE,quantile,0.025,2.734928422050596
18841,7 day R,2020-03-13,DE,quantile,0.975,3.3854979825256972
18841,7 day R,2020-03-14,DE,point,NA,2.981857056002627
18841,7 day R,2020-03-14,DE,quantile,0.025,2.6713194565847225
18841,7 day R,2020-03-14,DE,quantile,0.975,3.3106763049547334
18841,7 day R,2020-03-15,DE,point,NA,2.900242603667162
18841,7 day R,2020-03-15,DE,quantile,0.025,2.5919261194768497
18841,7 day R,2020-03-15,DE,quantile,0.975,3.220405782645394
18841,7 day R,2020-03-16,DE,point,NA,2.818223819034969
18841,7 day R,2020-03-16,DE,quantile,0.025,2.515257148908025
18841,7 day R,2020-03-16,DE,quantile,0.975,3.1365998888192825
18841,7 day R,2020-03-17,DE,point,NA,2.721967225028062
18841,7 day R,2020-03-17,DE,quantile,0.025,2.4235475810614022
18841,7 day R,2020-03-17,DE,quantile,0.975,3.031584621843003
18841,7 day R,2020-03-18,DE,point,NA,2.608912295819999
18841,7 day R,2020-03-18,DE,quantile,0.025,2.315919906011087
18841,7 day R,2020-03-18,DE,quantile,0.975,2.9124147158949487
18841,7 day R,2020-03-19,DE,point,NA,2.472760966999844
18841,7 day R,2020-03-19,DE,quantile,0.025,2.1810001399170673
18841,7 day R,2020-03-19,DE,quantile,0.975,2.769118018844548
18841,7 day R,2020-03-20,DE,point,NA,2.3456002177289896
18841,7 day R,2020-03-20,DE,quantile,0.025,2.0522516372603867
18841,7 day R,2020-03-20,DE,quantile,0.975,2.641037723228778
18841,7 day R,2020-03-21,DE,point,NA,2.238573758257815
18841,7 day R,2020-03-21,DE,quantile,0.025,1.9461321052103904
18841,7 day R,2020-03-21,DE,quantile,0.975,2.532205114992352
18841,7 day R,2020-03-22,DE,point,NA,2.1438197152138083
18841,7 day R,2020-03-22,DE,quantile,0.025,1.8475045002128994
18841,7 day R,2020-03-22,DE,quantile,0.975,2.435221051294689
18841,7 day R,2020-03-23,DE,point,NA,2.0646231353581213
18841,7 day R,2020-03-23,DE,quantile,0.025,1.7706080006075813
18841,7 day R,2020-03-23,DE,quantile,0.975,2.35566116035022
18841,7 day R,2020-03-24,DE,point,NA,1.9702681008133245
18841,7 day R,2020-03-24,DE,quantile,0.025,1.6752801054227222
18841,7 day R,2020-03-24,DE,quantile,0.975,2.259613383767108
18841,7 day R,2020-03-25,DE,point,NA,1.8765841940414014
18841,7 day R,2020-03-25,DE,quantile,0.025,1.5789784135456046
18841,7 day R,2020-03-25,DE,quantile,0.975,2.168361497101865
18841,7 day R,2020-03-26,DE,point,NA,1.7959764925831765
18841,7 day R,2020-03-26,DE,quantile,0.025,1.500278502974523
18841,7 day R,2020-03-26,DE,quantile,0.975,2.0900872203240297
18841,7 day R,2020-03-27,DE,point,NA,1.7108462217703926
18841,7 day R,2020-03-27,DE,quantile,0.025,1.4172041590343722
18841,7 day R,2020-03-27,DE,quantile,0.975,2.003664448475767
18841,7 day R,2020-03-28,DE,point,NA,1.646232685886595
18841,7 day R,2020-03-28,DE,quantile,0.025,1.3530235725668316
18841,7 day R,2020-03-28,DE,quantile,0.975,1.939313176412829
18841,7 day R,2020-03-29,DE,point,NA,1.5634187517239606
18841,7 day R,2020-03-29,DE,quantile,0.025,1.2660266389680679
18841,7 day R,2020-03-29,DE,quantile,0.975,1.857272659939135
18841,7 day R,2020-03-30,DE,point,NA,1.4856025762573228
18841,7 day R,2020-03-30,DE,quantile,0.025,1.1883306518228833
18841,7 day R,2020-03-30,DE,quantile,0.975,1.7770191437478933
18841,7 day R,2020-03-31,DE,point,NA,1.407399331827115
18841,7 day R,2020-03-31,DE,quantile,0.025,1.108533410214906
18841,7 day R,2020-03-31,DE,quantile,0.975,1.6992371721144996
18841,7 day R,2020-04-01,DE,point,NA,1.3299503111685922
18841,7 day R,2020-04-01,DE,quantile,0.025,1.0321252712623454
18841,7 day R,2020-04-01,DE,quantile,0.975,1.624360270267835
18841,7 day R,2020-04-02,DE,point,NA,1.2585884230299373
18841,7 day R,2020-04-02,DE,quantile,0.025,0.9590220235345162
18841,7 day R,2020-04-02,DE,quantile,0.975,1.553614260953665
18841,7 day R,2020-04-03,DE,point,NA,1.194330495744368
18841,7 day R,2020-04-03,DE,quantile,0.025,0.8910208643759276
18841,7 day R,2020-04-03,DE,quantile,0.975,1.4877919919900031
18841,7 day R,2020-04-04,DE,point,NA,1.1504780078431183
18841,7 day R,2020-04-04,DE,quantile,0.025,0.8521282935055702
18841,7 day R,2020-04-04,DE,quantile,0.975,1.4455139357904827
18841,7 day R,2020-04-05,DE,point,NA,1.1044647530063787
18841,7 day R,2020-04-05,DE,quantile,0.025,0.8057795237565992
18841,7 day R,2020-04-05,DE,quantile,0.975,1.4011707316964115
18841,7 day R,2020-04-06,DE,point,NA,1.0583258777070337
18841,7 day R,2020-04-06,DE,quantile,0.025,0.7611352473727575
18841,7 day R,2020-04-06,DE,quantile,0.975,1.3525419138523591
18841,7 day R,2020-04-07,DE,point,NA,1.0124839634886478
18841,7 day R,2020-04-07,DE,quantile,0.025,0.7175501345679922
18841,7 day R,2020-04-07,DE,quantile,0.975,1.3051776086371105
18841,7 day R,2020-04-08,DE,point,NA,0.9622672725143795
18841,7 day R,2020-04-08,DE,quantile,0.025,0.664372332473917
18841,7 day R,2020-04-08,DE,quantile,0.975,1.2577440618988378
18841,7 day R,2020-04-09,DE,point,NA,0.9125581219072953
18841,7 day R,2020-04-09,DE,quantile,0.025,0.6134878877407328
18841,7 day R,2020-04-09,DE,quantile,0.975,1.2071078160148987
18841,7 day R,2020-04-10,DE,point,NA,0.8711045469702876
18841,7 day R,2020-04-10,DE,quantile,0.025,0.5704039501491143
18841,7 day R,2020-04-10,DE,quantile,0.975,1.166412366381044
18841,7 day R,2020-04-11,DE,point,NA,0.8493113294219885
18841,7 day R,2020-04-11,DE,quantile,0.025,0.5536009987356708
18841,7 day R,2020-04-11,DE,quantile,0.975,1.146388976238673
18841,7 day R,2020-04-12,DE,point,NA,0.8299177075287255
18841,7 day R,2020-04-12,DE,quantile,0.025,0.5300344968185292
18841,7 day R,2020-04-12,DE,quantile,0.975,1.1260707791418154
18841,7 day R,2020-04-13,DE,point,NA,0.8062938151736647
18841,7 day R,2020-04-13,DE,quantile,0.025,0.5088136539994632
18841,7 day R,2020-04-13,DE,quantile,0.975,1.100325305329923
18841,7 day R,2020-04-14,DE,point,NA,0.7801949724673096
18841,7 day R,2020-04-14,DE,quantile,0.025,0.4834560853577484
18841,7 day R,2020-04-14,DE,quantile,0.975,1.073444308210036
18841,7 day R,2020-04-15,DE,point,NA,0.763269714221847
18841,7 day R,2020-04-15,DE,quantile,0.025,0.46610865530666934
18841,7 day R,2020-04-15,DE,quantile,0.975,1.0543654818534907
18841,7 day R,2020-04-16,DE,point,NA,0.7474877941272196
18841,7 day R,2020-04-16,DE,quantile,0.025,0.4506321952592591
18841,7 day R,2020-04-16,DE,quantile,0.975,1.0403283214420913
18841,7 day R,2020-04-17,DE,point,NA,0.7405908713829866
18841,7 day R,2020-04-17,DE,quantile,0.025,0.44302157801838404
18841,7 day R,2020-04-17,DE,quantile,0.975,1.033862629683549
18841,7 day R,2020-04-18,DE,point,NA,0.7357738033623699
18841,7 day R,2020-04-18,DE,quantile,0.025,0.4412840709454232
18841,7 day R,2020-04-18,DE,quantile,0.975,1.0291295482321896
18841,7 day R,2020-04-19,DE,point,NA,0.7319463494826391
18841,7 day R,2020-04-19,DE,quantile,0.025,0.43463139089189295
18841,7 day R,2020-04-19,DE,quantile,0.975,1.0229724158848168
18841,7 day R,2020-04-20,DE,point,NA,0.7238932700586503
18841,7 day R,2020-04-20,DE,quantile,0.025,0.42832845598158065
18841,7 day R,2020-04-20,DE,quantile,0.975,1.0161152559506157
18841,7 day R,2020-04-21,DE,point,NA,0.7082689157293749
18841,7 day R,2020-04-21,DE,quantile,0.025,0.4147749239723394
18841,7 day R,2020-04-21,DE,quantile,0.975,0.9997996263312068
18841,7 day R,2020-04-22,DE,point,NA,0.6961540727188887
18841,7 day R,2020-04-22,DE,quantile,0.025,0.40288200806040514
18841,7 day R,2020-04-22,DE,quantile,0.975,0.9855794159885322
18841,7 day R,2020-04-23,DE,point,NA,0.6861293910221511
18841,7 day R,2020-04-23,DE,quantile,0.025,0.3944469333773817
18841,7 day R,2020-04-23,DE,quantile,0.975,0.9766677023052377
18841,7 day R,2020-04-24,DE,point,NA,0.6773299104813417
18841,7 day R,2020-04-24,DE,quantile,0.025,0.38541835275840913
18841,7 day R,2020-04-24,DE,quantile,0.975,0.9708048510231497
18841,7 day R,2020-04-25,DE,point,NA,0.6793950452082188
18841,7 day R,2020-04-25,DE,quantile,0.025,0.38952315345539934
18841,7 day R,2020-04-25,DE,quantile,0.975,0.9722366016103726
18841,7 day R,2020-04-26,DE,point,NA,0.6787610453439278
18841,7 day R,2020-04-26,DE,quantile,0.025,0.3878026214868546
18841,7 day R,2020-04-26,DE,quantile,0.975,0.9718472421362274
18841,7 day R,2020-04-27,DE,point,NA,0.6732249156546352
18841,7 day R,2020-04-27,DE,quantile,0.025,0.38220744088711306
18841,7 day R,2020-04-27,DE,quantile,0.975,0.9672617382639341
18841,7 day R,2020-04-28,DE,point,NA,0.6648471395670412
18841,7 day R,2020-04-28,DE,quantile,0.025,0.37085205817592676
18841,7 day R,2020-04-28,DE,quantile,0.975,0.9591258319072902
