data_version,target,date,location,label,type,quantile,value
2022-01-28,7 day,2020-02-23,DE,estimate,point,NA,4.95283018867925
2022-01-28,7 day,2020-02-23,DE,estimate,quantile,0.025,3.31198538143291
2022-01-28,7 day,2020-02-23,DE,estimate,quantile,0.975,6.59367499592558
2022-01-28,7 day,2020-02-24,DE,estimate,point,NA,3.37912087912088
2022-01-28,7 day,2020-02-24,DE,estimate,quantile,0.025,2.34478904720572
2022-01-28,7 day,2020-02-24,DE,estimate,quantile,0.975,4.41345271103603
2022-01-28,7 day,2020-02-25,DE,estimate,point,NA,4.71028037383178
2022-01-28,7 day,2020-02-25,DE,estimate,quantile,0.025,3.70298878670556
2022-01-28,7 day,2020-02-25,DE,estimate,quantile,0.975,5.71757196095799
2022-01-28,7 day,2020-02-26,DE,estimate,point,NA,6.83599419448476
2022-01-28,7 day,2020-02-26,DE,estimate,quantile,0.025,5.76669325095422
2022-01-28,7 day,2020-02-26,DE,estimate,quantile,0.975,7.9052951380153
2022-01-28,7 day,2020-02-27,DE,estimate,point,NA,6.05424954792043
2022-01-28,7 day,2020-02-27,DE,estimate,quantile,0.025,5.18418407064611
2022-01-28,7 day,2020-02-27,DE,estimate,quantile,0.975,6.92431502519476
2022-01-28,7 day,2020-02-28,DE,estimate,point,NA,4.25737538148525
2022-01-28,7 day,2020-02-28,DE,estimate,quantile,0.025,3.64554144337144
2022-01-28,7 day,2020-02-28,DE,estimate,quantile,0.975,4.86920931959906
2022-01-28,7 day,2020-02-29,DE,estimate,point,NA,2.21952066689823
2022-01-28,7 day,2020-02-29,DE,estimate,quantile,0.025,1.85446162293611
2022-01-28,7 day,2020-02-29,DE,estimate,quantile,0.975,2.58457971086035
2022-01-28,7 day,2020-03-01,DE,estimate,point,NA,1.15903975993999
2022-01-28,7 day,2020-03-01,DE,estimate,quantile,0.025,0.935204854269508
2022-01-28,7 day,2020-03-01,DE,estimate,quantile,0.975,1.38287466561046
2022-01-28,7 day,2020-03-02,DE,estimate,point,NA,3.08617433654706
2022-01-28,7 day,2020-03-02,DE,estimate,quantile,0.025,2.76051840042018
2022-01-28,7 day,2020-03-02,DE,estimate,quantile,0.975,3.41183027267394
2022-01-28,7 day,2020-03-03,DE,estimate,point,NA,4.64601769911504
2022-01-28,7 day,2020-03-03,DE,estimate,quantile,0.025,4.27270697330275
2022-01-28,7 day,2020-03-03,DE,estimate,quantile,0.975,5.01932842492734
2022-01-28,7 day,2020-03-04,DE,estimate,point,NA,5.04979191438763
2022-01-28,7 day,2020-03-04,DE,estimate,quantile,0.025,4.68958827389222
2022-01-28,7 day,2020-03-04,DE,estimate,quantile,0.975,5.40999555488305
2022-01-28,7 day,2020-03-05,DE,estimate,point,NA,5.20219088684303
2022-01-28,7 day,2020-03-05,DE,estimate,quantile,0.025,4.8784641728856
2022-01-28,7 day,2020-03-05,DE,estimate,quantile,0.975,5.52591760080045
2022-01-28,7 day,2020-03-06,DE,estimate,point,NA,5.55395987328406
2022-01-28,7 day,2020-03-06,DE,estimate,quantile,0.025,5.26916922726267
2022-01-28,7 day,2020-03-06,DE,estimate,quantile,0.975,5.83875051930544
2022-01-28,7 day,2020-03-07,DE,estimate,point,NA,3.54076086956522
2022-01-28,7 day,2020-03-07,DE,estimate,quantile,0.025,3.34850815520122
2022-01-28,7 day,2020-03-07,DE,estimate,quantile,0.975,3.73301358392922
2022-01-28,7 day,2020-03-08,DE,estimate,point,NA,1.88500789956873
2022-01-28,7 day,2020-03-08,DE,estimate,quantile,0.025,1.76705007299295
2022-01-28,7 day,2020-03-08,DE,estimate,quantile,0.975,2.00296572614451
2022-01-28,7 day,2020-03-09,DE,estimate,point,NA,2.91956258368935
2022-01-28,7 day,2020-03-09,DE,estimate,quantile,0.025,2.79271456928348
2022-01-28,7 day,2020-03-09,DE,estimate,quantile,0.975,3.04641059809521
2022-01-28,7 day,2020-03-10,DE,estimate,point,NA,3.5211522548614
2022-01-28,7 day,2020-03-10,DE,estimate,quantile,0.025,3.39569423358163
2022-01-28,7 day,2020-03-10,DE,estimate,quantile,0.975,3.64661027614116
2022-01-28,7 day,2020-03-11,DE,estimate,point,NA,3.47748579774267
2022-01-28,7 day,2020-03-11,DE,estimate,quantile,0.025,3.36385844819961
2022-01-28,7 day,2020-03-11,DE,estimate,quantile,0.975,3.59111314728573
2022-01-28,7 day,2020-03-12,DE,estimate,point,NA,3.17617585400012
2022-01-28,7 day,2020-03-12,DE,estimate,quantile,0.025,3.07844085181943
2022-01-28,7 day,2020-03-12,DE,estimate,quantile,0.975,3.27391085618081
2022-01-28,7 day,2020-03-13,DE,estimate,point,NA,2.49859406076401
2022-01-28,7 day,2020-03-13,DE,estimate,quantile,0.025,2.42162369640422
2022-01-28,7 day,2020-03-13,DE,estimate,quantile,0.975,2.5755644251238
2022-01-28,7 day,2020-03-14,DE,estimate,point,NA,1.64293055351637
2022-01-28,7 day,2020-03-14,DE,estimate,quantile,0.025,1.58735399803119
2022-01-28,7 day,2020-03-14,DE,estimate,quantile,0.975,1.69850710900155
2022-01-28,7 day,2020-03-15,DE,estimate,point,NA,0.902246653919694
2022-01-28,7 day,2020-03-15,DE,estimate,quantile,0.025,0.865089771518288
2022-01-28,7 day,2020-03-15,DE,estimate,quantile,0.975,0.9394035363211
2022-01-28,7 day,2020-03-16,DE,estimate,point,NA,1.27676567907808
2022-01-28,7 day,2020-03-16,DE,estimate,quantile,0.025,1.23579200817067
2022-01-28,7 day,2020-03-16,DE,estimate,quantile,0.975,1.31773934998549
2022-01-28,7 day,2020-03-17,DE,estimate,point,NA,1.54211512943109
2022-01-28,7 day,2020-03-17,DE,estimate,quantile,0.025,1.49885274171112
2022-01-28,7 day,2020-03-17,DE,estimate,quantile,0.975,1.58537751715107
2022-01-28,7 day,2020-03-18,DE,estimate,point,NA,1.70997981880432
2022-01-28,7 day,2020-03-18,DE,estimate,quantile,0.025,1.665498297835
2022-01-28,7 day,2020-03-18,DE,estimate,quantile,0.975,1.75446133977364
2022-01-28,7 day,2020-03-19,DE,estimate,point,NA,1.70205266564557
2022-01-28,7 day,2020-03-19,DE,estimate,quantile,0.025,1.65862949987872
2022-01-28,7 day,2020-03-19,DE,estimate,quantile,0.975,1.74547583141241
2022-01-28,7 day,2020-03-20,DE,estimate,point,NA,1.61510068121118
2022-01-28,7 day,2020-03-20,DE,estimate,quantile,0.025,1.57416546398661
2022-01-28,7 day,2020-03-20,DE,estimate,quantile,0.975,1.65603589843575
2022-01-28,7 day,2020-03-21,DE,estimate,point,NA,1.17659270577294
2022-01-28,7 day,2020-03-21,DE,estimate,quantile,0.025,1.14303708559427
2022-01-28,7 day,2020-03-21,DE,estimate,quantile,0.975,1.2101483259516
2022-01-28,7 day,2020-03-22,DE,estimate,point,NA,0.697168414372488
2022-01-28,7 day,2020-03-22,DE,estimate,quantile,0.025,0.672531141797053
2022-01-28,7 day,2020-03-22,DE,estimate,quantile,0.975,0.721805686947923
2022-01-28,7 day,2020-03-23,DE,estimate,point,NA,0.866448780350956
2022-01-28,7 day,2020-03-23,DE,estimate,quantile,0.025,0.839985247922045
2022-01-28,7 day,2020-03-23,DE,estimate,quantile,0.975,0.892912312779866
2022-01-28,7 day,2020-03-24,DE,estimate,point,NA,1.23429712221422
2022-01-28,7 day,2020-03-24,DE,estimate,quantile,0.025,1.20321810112241
2022-01-28,7 day,2020-03-24,DE,estimate,quantile,0.975,1.26537614330604
2022-01-28,7 day,2020-03-25,DE,estimate,point,NA,1.27505077515606
2022-01-28,7 day,2020-03-25,DE,estimate,quantile,0.025,1.24345765689615
2022-01-28,7 day,2020-03-25,DE,estimate,quantile,0.975,1.30664389341598
2022-01-28,7 day,2020-03-26,DE,estimate,point,NA,1.33706954668337
2022-01-28,7 day,2020-03-26,DE,estimate,quantile,0.025,1.30467683817668
2022-01-28,7 day,2020-03-26,DE,estimate,quantile,0.975,1.36946225519007
2022-01-28,7 day,2020-03-27,DE,estimate,point,NA,1.25473590372186
2022-01-28,7 day,2020-03-27,DE,estimate,quantile,0.025,1.22348591418038
2022-01-28,7 day,2020-03-27,DE,estimate,quantile,0.975,1.2859858932633501
2022-01-28,7 day,2020-03-28,DE,estimate,point,NA,0.855438057541206
2022-01-28,7 day,2020-03-28,DE,estimate,quantile,0.025,0.829999542830236
2022-01-28,7 day,2020-03-28,DE,estimate,quantile,0.975,0.880876572252177
2022-01-28,7 day,2020-03-29,DE,estimate,point,NA,0.479377219338978
2022-01-28,7 day,2020-03-29,DE,estimate,quantile,0.025,0.46071615109489
2022-01-28,7 day,2020-03-29,DE,estimate,quantile,0.975,0.498038287583067
2022-01-28,7 day,2020-03-30,DE,estimate,point,NA,0.671955717297727
2022-01-28,7 day,2020-03-30,DE,estimate,quantile,0.025,0.650180279570134
2022-01-28,7 day,2020-03-30,DE,estimate,quantile,0.975,0.693731155025319
2022-01-28,7 day,2020-03-31,DE,estimate,point,NA,0.965838220236433
2022-01-28,7 day,2020-03-31,DE,estimate,quantile,0.025,0.93955657826813
2022-01-28,7 day,2020-03-31,DE,estimate,quantile,0.975,0.992119862204736
2022-01-28,7 day,2020-04-01,DE,estimate,point,NA,1.02444645365661
2022-01-28,7 day,2020-04-01,DE,estimate,quantile,0.025,0.996800847136366
2022-01-28,7 day,2020-04-01,DE,estimate,quantile,0.975,1.05209206017685
2022-01-28,7 day,2020-04-02,DE,estimate,point,NA,0.998188442671335
2022-01-28,7 day,2020-04-02,DE,estimate,quantile,0.025,0.970251080529811
2022-01-28,7 day,2020-04-02,DE,estimate,quantile,0.975,1.02612580481286
2022-01-28,7 day,2020-04-03,DE,estimate,point,NA,0.71005291005291
2022-01-28,7 day,2020-04-03,DE,estimate,quantile,0.025,0.68602629775939
2022-01-28,7 day,2020-04-03,DE,estimate,quantile,0.975,0.73407952234643
2022-01-28,7 day,2020-04-04,DE,estimate,point,NA,0.627339082028843
2022-01-28,7 day,2020-04-04,DE,estimate,quantile,0.025,0.604447409405959
2022-01-28,7 day,2020-04-04,DE,estimate,quantile,0.975,0.650230754651728
2022-01-28,7 day,2020-04-05,DE,estimate,point,NA,0.415310232485598
2022-01-28,7 day,2020-04-05,DE,estimate,quantile,0.025,0.396456481425458
2022-01-28,7 day,2020-04-05,DE,estimate,quantile,0.975,0.434163983545738
2022-01-28,7 day,2020-04-06,DE,estimate,point,NA,0.368695393423868
2022-01-28,7 day,2020-04-06,DE,estimate,quantile,0.025,0.350612690626621
2022-01-28,7 day,2020-04-06,DE,estimate,quantile,0.975,0.386778096221114
2022-01-28,7 day,2020-04-07,DE,estimate,point,NA,0.607981349424026
2022-01-28,7 day,2020-04-07,DE,estimate,quantile,0.025,0.583970576415594
2022-01-28,7 day,2020-04-07,DE,estimate,quantile,0.975,0.631992122432459
2022-01-28,7 day,2020-04-08,DE,estimate,point,NA,0.897218972189722
2022-01-28,7 day,2020-04-08,DE,estimate,quantile,0.025,0.86671324593394
2022-01-28,7 day,2020-04-08,DE,estimate,quantile,0.975,0.927724698445503
2022-01-28,7 day,2020-04-09,DE,estimate,point,NA,1.03074395681765
2022-01-28,7 day,2020-04-09,DE,estimate,quantile,0.025,0.996178686530076
2022-01-28,7 day,2020-04-09,DE,estimate,quantile,0.975,1.06530922710522
2022-01-28,7 day,2020-04-10,DE,estimate,point,NA,1.0220671902106
2022-01-28,7 day,2020-04-10,DE,estimate,quantile,0.025,0.985758948829407
2022-01-28,7 day,2020-04-10,DE,estimate,quantile,0.975,1.05837543159179
2022-01-28,7 day,2020-04-11,DE,estimate,point,NA,0.760490141794458
2022-01-28,7 day,2020-04-11,DE,estimate,quantile,0.025,0.728010405367975
2022-01-28,7 day,2020-04-11,DE,estimate,quantile,0.975,0.792969878220941
2022-01-28,7 day,2020-04-12,DE,estimate,point,NA,0.508631319358816
2022-01-28,7 day,2020-04-12,DE,estimate,quantile,0.025,0.481746950794868
2022-01-28,7 day,2020-04-12,DE,estimate,quantile,0.975,0.535515687922764
2022-01-28,7 day,2020-04-13,DE,estimate,point,NA,0.635495119988445
2022-01-28,7 day,2020-04-13,DE,estimate,quantile,0.025,0.605383417822391
2022-01-28,7 day,2020-04-13,DE,estimate,quantile,0.975,0.665606822154498
2022-01-28,7 day,2020-04-14,DE,estimate,point,NA,0.823953230893109
2022-01-28,7 day,2020-04-14,DE,estimate,quantile,0.025,0.789389247785963
2022-01-28,7 day,2020-04-14,DE,estimate,quantile,0.975,0.858517214000254
2022-01-28,7 day,2020-04-15,DE,estimate,point,NA,0.981658860059997
2022-01-28,7 day,2020-04-15,DE,estimate,quantile,0.025,0.943078099121988
2022-01-28,7 day,2020-04-15,DE,estimate,quantile,0.975,1.02023962099801
2022-01-28,7 day,2020-04-16,DE,estimate,point,NA,0.869352214745249
2022-01-28,7 day,2020-04-16,DE,estimate,quantile,0.025,0.832081243274144
2022-01-28,7 day,2020-04-16,DE,estimate,quantile,0.975,0.906623186216354
2022-01-28,7 day,2020-04-17,DE,estimate,point,NA,0.828415818596912
2022-01-28,7 day,2020-04-17,DE,estimate,quantile,0.025,0.791195757642536
2022-01-28,7 day,2020-04-17,DE,estimate,quantile,0.975,0.865635879551289
2022-01-28,7 day,2020-04-18,DE,estimate,point,NA,0.579225066839504
2022-01-28,7 day,2020-04-18,DE,estimate,quantile,0.025,0.54738142987381
2022-01-28,7 day,2020-04-18,DE,estimate,quantile,0.975,0.611068703805199
2022-01-28,7 day,2020-04-19,DE,estimate,point,NA,0.333305277333558
2022-01-28,7 day,2020-04-19,DE,estimate,quantile,0.025,0.308684375787407
2022-01-28,7 day,2020-04-19,DE,estimate,quantile,0.975,0.357926178879709
2022-01-28,7 day,2020-04-20,DE,estimate,point,NA,0.554006392593409
2022-01-28,7 day,2020-04-20,DE,estimate,quantile,0.025,0.521517397354473
2022-01-28,7 day,2020-04-20,DE,estimate,quantile,0.975,0.586495387832345
2022-01-28,7 day,2020-04-21,DE,estimate,point,NA,0.775326811837753
2022-01-28,7 day,2020-04-21,DE,estimate,quantile,0.025,0.735570344621793
2022-01-28,7 day,2020-04-21,DE,estimate,quantile,0.975,0.815083279053713
2022-01-28,7 day,2020-04-22,DE,estimate,point,NA,0.827828413746969
2022-01-28,7 day,2020-04-22,DE,estimate,quantile,0.025,0.784922179348548
2022-01-28,7 day,2020-04-22,DE,estimate,quantile,0.975,0.870734648145389
2022-01-28,7 day,2020-04-23,DE,estimate,point,NA,0.920619085422829
2022-01-28,7 day,2020-04-23,DE,estimate,quantile,0.025,0.87333147400512
2022-01-28,7 day,2020-04-23,DE,estimate,quantile,0.975,0.967906696840537
2022-01-28,7 day,2020-04-24,DE,estimate,point,NA,0.630137821220964
