data_version,target,date,location,quantile,type,value
2020-10-10,? day R,2020-02-22,DE,0.025,quantile,1.762
2020-10-10,? day R,2020-02-23,DE,0.025,quantile,1.746
2020-10-10,? day R,2020-02-24,DE,0.025,quantile,1.753
2020-10-10,? day R,2020-02-25,DE,0.025,quantile,1.761
2020-10-10,? day R,2020-02-26,DE,0.025,quantile,1.783
2020-10-10,? day R,2020-02-27,DE,0.025,quantile,1.761
2020-10-10,? day R,2020-02-28,DE,0.025,quantile,1.733
2020-10-10,? day R,2020-02-29,DE,0.025,quantile,1.716
2020-10-10,? day R,2020-03-01,DE,0.025,quantile,1.696
2020-10-10,? day R,2020-03-02,DE,0.025,quantile,1.654
2020-10-10,? day R,2020-03-03,DE,0.025,quantile,1.604
2020-10-10,? day R,2020-03-04,DE,0.025,quantile,1.556
2020-10-10,? day R,2020-03-05,DE,0.025,quantile,1.501
2020-10-10,? day R,2020-03-06,DE,0.025,quantile,1.445
2020-10-10,? day R,2020-03-07,DE,0.025,quantile,1.408
2020-10-10,? day R,2020-03-08,DE,0.025,quantile,1.348
2020-10-10,? day R,2020-03-09,DE,0.025,quantile,1.306
2020-10-10,? day R,2020-03-10,DE,0.025,quantile,1.242
2020-10-10,? day R,2020-03-11,DE,0.025,quantile,1.2
2020-10-10,? day R,2020-03-12,DE,0.025,quantile,1.141
2020-10-10,? day R,2020-03-13,DE,0.025,quantile,1.087
2020-10-10,? day R,2020-03-14,DE,0.025,quantile,1.033
2020-10-10,? day R,2020-03-15,DE,0.025,quantile,0.992
2020-10-10,? day R,2020-03-16,DE,0.025,quantile,0.944
2020-10-10,? day R,2020-03-17,DE,0.025,quantile,0.91
2020-10-10,? day R,2020-03-18,DE,0.025,quantile,0.887
2020-10-10,? day R,2020-03-19,DE,0.025,quantile,0.861
2020-10-10,? day R,2020-03-20,DE,0.025,quantile,0.831
2020-10-10,? day R,2020-03-21,DE,0.025,quantile,0.804
2020-10-10,? day R,2020-03-22,DE,0.025,quantile,0.777
2020-10-10,? day R,2020-03-23,DE,0.025,quantile,0.751
2020-10-10,? day R,2020-03-24,DE,0.025,quantile,0.73
2020-10-10,? day R,2020-03-25,DE,0.025,quantile,0.716
2020-10-10,? day R,2020-03-26,DE,0.025,quantile,0.699
2020-10-10,? day R,2020-03-27,DE,0.025,quantile,0.685
2020-10-10,? day R,2020-03-28,DE,0.025,quantile,0.673
2020-10-10,? day R,2020-03-29,DE,0.025,quantile,0.659
2020-10-10,? day R,2020-03-30,DE,0.025,quantile,0.646
2020-10-10,? day R,2020-03-31,DE,0.025,quantile,0.639
2020-10-10,? day R,2020-04-01,DE,0.025,quantile,0.626
2020-10-10,? day R,2020-04-02,DE,0.025,quantile,0.621
2020-10-10,? day R,2020-04-03,DE,0.025,quantile,0.616
2020-10-10,? day R,2020-04-04,DE,0.025,quantile,0.609
2020-10-10,? day R,2020-04-05,DE,0.025,quantile,0.604
2020-10-10,? day R,2020-04-06,DE,0.025,quantile,0.594
2020-10-10,? day R,2020-04-07,DE,0.025,quantile,0.596
2020-10-10,? day R,2020-04-08,DE,0.025,quantile,0.597
2020-10-10,? day R,2020-04-09,DE,0.025,quantile,0.595
2020-10-10,? day R,2020-04-10,DE,0.025,quantile,0.595
2020-10-10,? day R,2020-04-11,DE,0.025,quantile,0.6
2020-10-10,? day R,2020-04-12,DE,0.025,quantile,0.604
2020-10-10,? day R,2020-04-13,DE,0.025,quantile,0.613
2020-10-10,? day R,2020-04-14,DE,0.025,quantile,0.618
2020-10-10,? day R,2020-04-15,DE,0.025,quantile,0.621
2020-10-10,? day R,2020-04-16,DE,0.025,quantile,0.621
2020-10-10,? day R,2020-04-17,DE,0.025,quantile,0.625
2020-10-10,? day R,2020-04-18,DE,0.025,quantile,0.63
2020-10-10,? day R,2020-04-19,DE,0.025,quantile,0.641
2020-10-10,? day R,2020-04-20,DE,0.025,quantile,0.648
2020-10-10,? day R,2020-04-21,DE,0.025,quantile,0.654
2020-10-10,? day R,2020-04-22,DE,0.025,quantile,0.659
2020-10-10,? day R,2020-04-23,DE,0.025,quantile,0.669
2020-10-10,? day R,2020-04-24,DE,0.025,quantile,0.674
2020-10-10,? day R,2020-04-25,DE,0.025,quantile,0.685
2020-10-10,? day R,2020-04-26,DE,0.025,quantile,0.694
2020-10-10,? day R,2020-04-27,DE,0.025,quantile,0.701
2020-10-10,? day R,2020-04-28,DE,0.025,quantile,0.705
2020-10-10,? day R,2020-04-29,DE,0.025,quantile,0.71
2020-10-10,? day R,2020-04-30,DE,0.025,quantile,0.72
2020-10-10,? day R,2020-05-01,DE,0.025,quantile,0.721
2020-10-10,? day R,2020-05-02,DE,0.025,quantile,0.734
2020-10-10,? day R,2020-05-03,DE,0.025,quantile,0.746
2020-10-10,? day R,2020-05-04,DE,0.025,quantile,0.754
2020-10-10,? day R,2020-05-05,DE,0.025,quantile,0.763
2020-10-10,? day R,2020-05-06,DE,0.025,quantile,0.771
2020-10-10,? day R,2020-05-07,DE,0.025,quantile,0.765
2020-10-10,? day R,2020-05-08,DE,0.025,quantile,0.773
2020-10-10,? day R,2020-05-09,DE,0.025,quantile,0.781
2020-10-10,? day R,2020-05-10,DE,0.025,quantile,0.789
2020-10-10,? day R,2020-05-11,DE,0.025,quantile,0.801
2020-10-10,? day R,2020-05-12,DE,0.025,quantile,0.808
2020-10-10,? day R,2020-05-13,DE,0.025,quantile,0.82
2020-10-10,? day R,2020-05-14,DE,0.025,quantile,0.82
2020-10-10,? day R,2020-05-15,DE,0.025,quantile,0.836
2020-10-10,? day R,2020-05-16,DE,0.025,quantile,0.842
2020-10-10,? day R,2020-05-17,DE,0.025,quantile,0.851
2020-10-10,? day R,2020-05-18,DE,0.025,quantile,0.85
2020-10-10,? day R,2020-05-19,DE,0.025,quantile,0.863
2020-10-10,? day R,2020-05-20,DE,0.025,quantile,0.872
2020-10-10,? day R,2020-05-21,DE,0.025,quantile,0.873
2020-10-10,? day R,2020-05-22,DE,0.025,quantile,0.894
2020-10-10,? day R,2020-05-23,DE,0.025,quantile,0.899
2020-10-10,? day R,2020-05-24,DE,0.025,quantile,0.896
2020-10-10,? day R,2020-05-25,DE,0.025,quantile,0.902
2020-10-10,? day R,2020-05-26,DE,0.025,quantile,0.894
2020-10-10,? day R,2020-05-27,DE,0.025,quantile,0.887
2020-10-10,? day R,2020-05-28,DE,0.025,quantile,0.897
2020-10-10,? day R,2020-05-29,DE,0.025,quantile,0.897
2020-10-10,? day R,2020-05-30,DE,0.025,quantile,0.902
2020-10-10,? day R,2020-05-31,DE,0.025,quantile,0.893
2020-10-10,? day R,2020-06-01,DE,0.025,quantile,0.899
2020-10-10,? day R,2020-06-02,DE,0.025,quantile,0.892
2020-10-10,? day R,2020-06-03,DE,0.025,quantile,0.882
2020-10-10,? day R,2020-06-04,DE,0.025,quantile,0.872
2020-10-10,? day R,2020-06-05,DE,0.025,quantile,0.866
2020-10-10,? day R,2020-06-06,DE,0.025,quantile,0.862
2020-10-10,? day R,2020-06-07,DE,0.025,quantile,0.851
2020-10-10,? day R,2020-06-08,DE,0.025,quantile,0.841
2020-10-10,? day R,2020-06-09,DE,0.025,quantile,0.833
2020-10-10,? day R,2020-06-10,DE,0.025,quantile,0.832
2020-10-10,? day R,2020-06-11,DE,0.025,quantile,0.826
2020-10-10,? day R,2020-06-12,DE,0.025,quantile,0.817
2020-10-10,? day R,2020-06-13,DE,0.025,quantile,0.817
2020-10-10,? day R,2020-06-14,DE,0.025,quantile,0.812
2020-10-10,? day R,2020-06-15,DE,0.025,quantile,0.814
2020-10-10,? day R,2020-06-16,DE,0.025,quantile,0.81
2020-10-10,? day R,2020-06-17,DE,0.025,quantile,0.813
2020-10-10,? day R,2020-06-18,DE,0.025,quantile,0.824
2020-10-10,? day R,2020-06-19,DE,0.025,quantile,0.834
2020-10-10,? day R,2020-06-20,DE,0.025,quantile,0.834
2020-10-10,? day R,2020-06-21,DE,0.025,quantile,0.836
2020-10-10,? day R,2020-06-22,DE,0.025,quantile,0.845
2020-10-10,? day R,2020-06-23,DE,0.025,quantile,0.86
2020-10-10,? day R,2020-06-24,DE,0.025,quantile,0.866
2020-10-10,? day R,2020-06-25,DE,0.025,quantile,0.886
2020-10-10,? day R,2020-06-26,DE,0.025,quantile,0.898
2020-10-10,? day R,2020-06-27,DE,0.025,quantile,0.904
2020-10-10,? day R,2020-06-28,DE,0.025,quantile,0.922
2020-10-10,? day R,2020-06-29,DE,0.025,quantile,0.922
2020-10-10,? day R,2020-06-30,DE,0.025,quantile,0.944
2020-10-10,? day R,2020-07-01,DE,0.025,quantile,0.946
2020-10-10,? day R,2020-07-02,DE,0.025,quantile,0.958
2020-10-10,? day R,2020-07-03,DE,0.025,quantile,0.963
2020-10-10,? day R,2020-07-04,DE,0.025,quantile,0.98
2020-10-10,? day R,2020-07-05,DE,0.025,quantile,0.992
2020-10-10,? day R,2020-07-06,DE,0.025,quantile,0.999
2020-10-10,? day R,2020-07-07,DE,0.025,quantile,1.004
2020-10-10,? day R,2020-07-08,DE,0.025,quantile,1.008
2020-10-10,? day R,2020-07-09,DE,0.025,quantile,1.016
