data_version,target,date,location,label,type,quantile,value
2020-11-23,? day R,2020-02-20,DE,estimate,quantile,0.025,1.99
2020-11-23,? day R,2020-02-21,DE,estimate,quantile,0.025,1.998
2020-11-23,? day R,2020-02-22,DE,estimate,quantile,0.025,2.013
2020-11-23,? day R,2020-02-23,DE,estimate,quantile,0.025,2.029
2020-11-23,? day R,2020-02-24,DE,estimate,quantile,0.025,2.033
2020-11-23,? day R,2020-02-25,DE,estimate,quantile,0.025,1.998
2020-11-23,? day R,2020-02-26,DE,estimate,quantile,0.025,1.986
2020-11-23,? day R,2020-02-27,DE,estimate,quantile,0.025,1.983
2020-11-23,? day R,2020-02-28,DE,estimate,quantile,0.025,1.966
2020-11-23,? day R,2020-02-29,DE,estimate,quantile,0.025,1.917
2020-11-23,? day R,2020-03-01,DE,estimate,quantile,0.025,1.858
2020-11-23,? day R,2020-03-02,DE,estimate,quantile,0.025,1.813
2020-11-23,? day R,2020-03-03,DE,estimate,quantile,0.025,1.745
2020-11-23,? day R,2020-03-04,DE,estimate,quantile,0.025,1.695
2020-11-23,? day R,2020-03-05,DE,estimate,quantile,0.025,1.617
2020-11-23,? day R,2020-03-06,DE,estimate,quantile,0.025,1.549
2020-11-23,? day R,2020-03-07,DE,estimate,quantile,0.025,1.483
2020-11-23,? day R,2020-03-08,DE,estimate,quantile,0.025,1.408
2020-11-23,? day R,2020-03-09,DE,estimate,quantile,0.025,1.349
2020-11-23,? day R,2020-03-10,DE,estimate,quantile,0.025,1.271
2020-11-23,? day R,2020-03-11,DE,estimate,quantile,0.025,1.223
2020-11-23,? day R,2020-03-12,DE,estimate,quantile,0.025,1.163
2020-11-23,? day R,2020-03-13,DE,estimate,quantile,0.025,1.115
2020-11-23,? day R,2020-03-14,DE,estimate,quantile,0.025,1.065
2020-11-23,? day R,2020-03-15,DE,estimate,quantile,0.025,1.016
2020-11-23,? day R,2020-03-16,DE,estimate,quantile,0.025,0.972
2020-11-23,? day R,2020-03-17,DE,estimate,quantile,0.025,0.921
2020-11-23,? day R,2020-03-18,DE,estimate,quantile,0.025,0.885
2020-11-23,? day R,2020-03-19,DE,estimate,quantile,0.025,0.852
2020-11-23,? day R,2020-03-20,DE,estimate,quantile,0.025,0.822
2020-11-23,? day R,2020-03-21,DE,estimate,quantile,0.025,0.798
2020-11-23,? day R,2020-03-22,DE,estimate,quantile,0.025,0.777
2020-11-23,? day R,2020-03-23,DE,estimate,quantile,0.025,0.752
2020-11-23,? day R,2020-03-24,DE,estimate,quantile,0.025,0.724
2020-11-23,? day R,2020-03-25,DE,estimate,quantile,0.025,0.703
2020-11-23,? day R,2020-03-26,DE,estimate,quantile,0.025,0.688
2020-11-23,? day R,2020-03-27,DE,estimate,quantile,0.025,0.672
2020-11-23,? day R,2020-03-28,DE,estimate,quantile,0.025,0.662
2020-11-23,? day R,2020-03-29,DE,estimate,quantile,0.025,0.65
2020-11-23,? day R,2020-03-30,DE,estimate,quantile,0.025,0.642
2020-11-23,? day R,2020-03-31,DE,estimate,quantile,0.025,0.63
2020-11-23,? day R,2020-04-01,DE,estimate,quantile,0.025,0.624
2020-11-23,? day R,2020-04-02,DE,estimate,quantile,0.025,0.617
2020-11-23,? day R,2020-04-03,DE,estimate,quantile,0.025,0.608
2020-11-23,? day R,2020-04-04,DE,estimate,quantile,0.025,0.61
2020-11-23,? day R,2020-04-05,DE,estimate,quantile,0.025,0.605
2020-11-23,? day R,2020-04-06,DE,estimate,quantile,0.025,0.603
2020-11-23,? day R,2020-04-07,DE,estimate,quantile,0.025,0.601
2020-11-23,? day R,2020-04-08,DE,estimate,quantile,0.025,0.601
2020-11-23,? day R,2020-04-09,DE,estimate,quantile,0.025,0.607
2020-11-23,? day R,2020-04-10,DE,estimate,quantile,0.025,0.606
2020-11-23,? day R,2020-04-11,DE,estimate,quantile,0.025,0.609
2020-11-23,? day R,2020-04-12,DE,estimate,quantile,0.025,0.609
2020-11-23,? day R,2020-04-13,DE,estimate,quantile,0.025,0.612
2020-11-23,? day R,2020-04-14,DE,estimate,quantile,0.025,0.612
2020-11-23,? day R,2020-04-15,DE,estimate,quantile,0.025,0.621
2020-11-23,? day R,2020-04-16,DE,estimate,quantile,0.025,0.622
2020-11-23,? day R,2020-04-17,DE,estimate,quantile,0.025,0.627
2020-11-23,? day R,2020-04-18,DE,estimate,quantile,0.025,0.637
2020-11-23,? day R,2020-04-19,DE,estimate,quantile,0.025,0.641
2020-11-23,? day R,2020-04-20,DE,estimate,quantile,0.025,0.642
2020-11-23,? day R,2020-04-21,DE,estimate,quantile,0.025,0.655
2020-11-23,? day R,2020-04-22,DE,estimate,quantile,0.025,0.657
2020-11-23,? day R,2020-04-23,DE,estimate,quantile,0.025,0.661
2020-11-23,? day R,2020-04-24,DE,estimate,quantile,0.025,0.676
2020-11-23,? day R,2020-04-25,DE,estimate,quantile,0.025,0.682
2020-11-23,? day R,2020-04-26,DE,estimate,quantile,0.025,0.683
2020-11-23,? day R,2020-04-27,DE,estimate,quantile,0.025,0.694
2020-11-23,? day R,2020-04-28,DE,estimate,quantile,0.025,0.697
2020-11-23,? day R,2020-04-29,DE,estimate,quantile,0.025,0.708
2020-11-23,? day R,2020-04-30,DE,estimate,quantile,0.025,0.711
2020-11-23,? day R,2020-05-01,DE,estimate,quantile,0.025,0.723
2020-11-23,? day R,2020-05-02,DE,estimate,quantile,0.025,0.729
2020-11-23,? day R,2020-05-03,DE,estimate,quantile,0.025,0.736
2020-11-23,? day R,2020-05-04,DE,estimate,quantile,0.025,0.745
2020-11-23,? day R,2020-05-05,DE,estimate,quantile,0.025,0.757
2020-11-23,? day R,2020-05-06,DE,estimate,quantile,0.025,0.76
2020-11-23,? day R,2020-05-07,DE,estimate,quantile,0.025,0.771
2020-11-23,? day R,2020-05-08,DE,estimate,quantile,0.025,0.788
2020-11-23,? day R,2020-05-09,DE,estimate,quantile,0.025,0.786
2020-11-23,? day R,2020-05-10,DE,estimate,quantile,0.025,0.799
2020-11-23,? day R,2020-05-11,DE,estimate,quantile,0.025,0.802
2020-11-23,? day R,2020-05-12,DE,estimate,quantile,0.025,0.811
2020-11-23,? day R,2020-05-13,DE,estimate,quantile,0.025,0.822
2020-11-23,? day R,2020-05-14,DE,estimate,quantile,0.025,0.822
