country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-02-29,3.8179623284853137,4.487403135239539,3.201919675785159,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-01,3.618916455261119,4.166270267740068,3.109619047552769,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-02,3.41916799188536,3.8694791259527728,2.996355757589338,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-03,3.230363488134806,3.603850073677207,2.877043307235412,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-04,3.054696341557237,3.367174538303908,2.757236221776981,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-05,2.9093297184400138,3.173823451528464,2.64743405362784,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-06,2.7995751846462547,3.056815827161392,2.5423345421311176,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-07,2.7087808968378475,2.962322804659657,2.455238989016037,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-08,2.6092647913121807,2.852330596444101,2.36619898618026,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-09,2.495119858676285,2.7187565311133617,2.2714831862392084,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,2.364214662724793,2.5650180893749885,2.163411236074597,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,2.214856557074296,2.391563801756888,2.0381493123917043,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,2.0524519537292,2.205276862791856,1.8996270446665435,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,1.8928517172369057,2.0288440155549194,1.756859418918892,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.745515231775936,1.8736771636686549,1.6173532998832172,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.605604301172745,1.7260065033780114,1.4852020989674786,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.467578443683348,1.5779873502743762,1.3571695370923196,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.3341537171133635,1.4358730057374487,1.2324344284892783,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.2079116460515016,1.3033019544673965,1.112521337635607,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.0900916773518714,1.180481268174609,0.9997020865291338,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,0.9821165334210455,1.06792421122384,0.896308855618251,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,0.8847686888008635,0.9658222232857268,0.803715154316,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,0.8018251375760945,0.8773609494235547,0.7262893257286344,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,0.7327409494342906,0.8029676767454856,0.6625142221230955,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,0.6776433820477339,0.7435684241631967,0.6117183399322711,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,0.6356285036180248,0.6986687388269522,0.5725882684090974,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,0.605341314005019,0.666754748877514,0.543927879132524,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,0.5852720487004371,0.6451236939743108,0.5254204034265635,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,0.5722818224371714,0.6302376641886871,0.5143259806856557,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.5662023130562245,0.6218822563741692,0.5105223697382798,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.5676938251883435,0.6209719708681312,0.5144156795085559,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.5747339372788081,0.626843381178124,0.5226244933794921,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.5825195120385573,0.6349091334651185,0.5301298906119962,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.5906932834201678,0.6442436940569621,0.5371428727833735,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.5983624481263945,0.6540573419991265,0.5426675542536625,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.6018422903948873,0.6598554248282846,0.5438291559614901,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.5967458790977873,0.6570436021178773,0.5375810173495029,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.583344329872214,0.6461234864256264,0.5237318322773105,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.5672807046922402,0.6324889025702032,0.505574108727829,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.5554618775944327,0.6235142038373552,0.4912912265741826,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.5520843858184424,0.6237842783536641,0.48470560080298,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.5605089795706166,0.6370088526930834,0.4888400204037021,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.5816944636496991,0.6643044465780289,0.5044994997337704,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.6123175815980345,0.7021233282248893,0.5285788296166337,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,0.6477538788676857,0.7454026574348097,0.5568735356339094,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,0.6878050054342727,0.7937486482209071,0.5893538538260077,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,0.732120391762776,0.8466029679262834,0.6258487931110142,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,0.7784353157181702,0.9013580725067116,0.6644096814170309,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,0.8213382557900202,0.9520183599873292,0.7001834450596197,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,0.854956376389368,0.9921104600927512,0.7278763997779758,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,0.8754700537266034,1.0174466646002858,0.7440274942639635,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,0.8771778231849561,1.0219168438587527,0.7433520328481057,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,0.864806498680411,1.0107542333474036,0.7300954876014527,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,0.8479092925656416,0.9945168715239766,0.712845595215096,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,0.833699482558698,0.9812780077621724,0.6979966122050659,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,0.8241045807512138,0.9733091018335064,0.6871589588042021,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,0.8201667866429802,0.9718010106744788,0.6812339414730665,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,0.8255980528202024,0.9807787578289462,0.6836149544579893,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,0.8445511810043633,1.004718791149432,0.698117666005017,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,0.8800582503280077,1.04680642084788,0.727596372726532,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,0.9329116723571388,1.1076478430937746,0.7729882460847384,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,1.000357314469919,1.1838255275446852,0.8321436544666344,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,1.070789815195199,1.2622096437706567,0.8949140516487806,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,1.1286473685721363,1.3254923882502163,0.9474265603293104,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,1.164705225122267,1.363570048512224,0.981317620710302,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,1.1745690889593687,1.3719719172499991,0.9923061710336027,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,1.1624018795395927,1.3557426489697375,0.9837473811924948,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,1.135097740871815,1.3229143641087882,0.9614788327455482,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,1.0992298138844805,1.2810471242237231,0.9311521845768926,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,1.057859115853471,1.2337310238079755,0.8953408691706896,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,1.007202554739646,1.177009644591212,0.8504568957022388,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,0.9492535095609184,1.113067546691619,0.7983151700580292,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,0.8912239634604411,1.0497458600152738,0.7455151423352824,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-12,0.8401790484176872,0.9947862772946428,0.6984663862230714,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-13,0.7996998859422509,0.95216002835783,0.6603761885513119,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-14,0.7708107218138833,0.9230152078206084,0.6321501649028305,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-15,0.7539421499900376,0.9078074048257262,0.614188201131242,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-16,0.7472435061432828,0.9044537833962748,0.6048575015453715,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-17,0.7473460716714831,0.9091489785580784,0.601203951830577,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-18,0.7534186733356548,0.9208464666358768,0.6025847090085529,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-19,0.7669691330952044,0.9410991637969972,0.6104357539263187,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-20,0.7911610578220605,0.9733162828494948,0.6276483085299325,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-21,0.8286140209434386,1.0202703150092718,0.6566542227448265,AUT
Austria,AUT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-22,0.8778403028663477,1.080057918132455,0.6963282051957973,AUT
