country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-02,2.5064508471783906,3.859399687008034,1.490627554311793,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-03,2.9718742257566864,4.284041347952016,1.854103256009076,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-04,3.0927660491190223,4.345192493389218,2.050959700342747,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-05,2.99161834801571,4.059247614295046,2.0730474729680872,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-06,2.825546729131815,3.713822715907844,2.042041150560449,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-07,2.608195185468184,3.350748552248663,1.9545130803000523,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-08,2.3596310183006715,2.9841324638229514,1.808164548600096,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-09,2.147377586255759,2.6833087955132435,1.6740864089447225,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-10,1.9806003033181383,2.447400429710786,1.5627776668855533,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-11,1.8425258086449607,2.254578250700696,1.4744039033336764,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-12,1.731327550205889,2.0961601607842075,1.3990604671646796,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-13,1.623465535920296,1.9548472526227771,1.326452648426882,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-14,1.5184326137002948,1.8175150618256477,1.2462479060436753,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-15,1.413163538485608,1.6869816557853228,1.1653899970475643,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-16,1.322212276496142,1.573364908116929,1.0899934357756766,CHE
