country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-12,2.19976018919844,2.5370742902618213,1.8624460881350584,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-13,2.037008594604267,2.312960997097957,1.7610561921105772,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-14,1.905281401112927,2.137862354700277,1.6727004475255771,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-15,1.786579773502582,1.9904206880206892,1.5827388589844744,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-16,1.675230535670833,1.8608692537470648,1.4895918175946008,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-17,1.569048266294358,1.7458927209997122,1.392203811589004,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-18,1.467314511786871,1.6351200308152922,1.299508992758449,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-19,1.371479981093567,1.5269248336345675,1.2160351285525663,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-20,1.2916246746398292,1.4389816534074054,1.144267695872253,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-21,1.2370181202339083,1.385132339476738,1.0889039009910786,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-22,1.2063591986560551,1.360292526721654,1.0524258705904566,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-23,1.1874676969835043,1.3483600197450796,1.0265753742219297,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-24,1.1643498603323243,1.33211322598526,0.9965864946793888,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-25,1.130461761116087,1.2999995311561503,0.9609239910760236,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-26,1.0914735785286631,1.2566536434662432,0.9262935135910836,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-27,1.0578566689604556,1.2191793883785187,0.8965339495423925,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-28,1.0339539478141897,1.197292699835817,0.8706151957925619,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-29,1.018074257295292,1.1881879925753054,0.8479605220152784,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-30,1.006797779398927,1.1849017280607823,0.8286938307370713,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-31,0.9960533251537568,1.1773122158818785,0.8147944344256355,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-01,0.9783933786031742,1.1546427962403971,0.8021439609659513,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-02,0.9488600548045244,1.1170000285561104,0.7807200810529384,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-03,0.910491738717502,1.072167091032928,0.7488163864020759,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-04,0.8711628271165984,1.0265953491998727,0.7157303050333241,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-05,0.8383707483663473,0.9859719247940022,0.6907695719386924,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-06,0.8145461750770105,0.9564260264404428,0.6726663237135784,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-07,0.7977923741994843,0.9365521964129326,0.659032551986036,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-08,0.7822778254325726,0.9181639562859072,0.6463916945792382,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-09,0.7639230969746288,0.897173248574532,0.6306729453747256,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-10,0.7450254143370137,0.8786140427599081,0.6114367859141194,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-11,0.7314528560320316,0.8676178044013995,0.5952879076626637,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-12,0.7278200878012553,0.8642020435879554,0.5914381320145552,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-13,0.7326904236390007,0.8665221718438835,0.598858675434118,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-14,0.7419510892631817,0.8721855399837044,0.6117166385426589,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-15,0.7513373849106089,0.8773280671949573,0.6253467026262605,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-16,0.7580549396655984,0.8784127075742347,0.6376971717569622,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-17,0.7609283008256329,0.8764791233304727,0.6453774783207931,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-18,0.7594597751227147,0.8744229800503223,0.6444965701951071,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-19,0.7556293653848951,0.872975992866422,0.6382827379033682,DEU
