country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-12,2.190801005412863,2.529959574438758,1.851642436386968,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-13,2.0256159030935685,2.3138104796807037,1.7374213265064338,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-14,1.8965418323147476,2.145818281624472,1.6472653830050226,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-15,1.7877731702157686,2.012347030561536,1.5631993098700012,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-16,1.6831462890052344,1.8947901227374715,1.4715024552729974,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-17,1.5739555233002245,1.7730179596456968,1.3748930869547518,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-18,1.463471855875221,1.6477938042082436,1.279149907542199,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-19,1.367636093516906,1.5432589833189665,1.1920132037148456,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-20,1.2976057947548238,1.474319119319355,1.1208924701902927,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-21,1.2496035538212156,1.4347104539114477,1.0644966537309837,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-22,1.215737399092676,1.4123981687696952,1.019076629415657,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-23,1.188821845740417,1.3944588027366556,0.9831848887441784,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-24,1.1608257368112431,1.3668115161034358,0.9548399575190504,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-25,1.1263074948479748,1.3218250701950782,0.9307899195008712,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-26,1.0877444693673728,1.2679553902156249,0.9075335485191208,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-27,1.0550378211548872,1.2275745096423374,0.8825011326674371,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-28,1.031984199288641,1.2144621054441098,0.849506293133172,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-29,1.0167228100889634,1.2243843051969452,0.8090613149809814,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-30,1.0058348899777538,1.2387541985511543,0.7729155814043531,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-03-31,0.9953150885962876,1.2358660929010026,0.7547640842915727,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-01,0.9777955448218074,1.2071605418747449,0.74843054776887,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-02,0.9486369131325556,1.1583526021053148,0.7389212241597964,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-03,0.9111753555045614,1.1018252505802462,0.7205254604288768,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-04,0.8733399138246253,1.0488256318816669,0.6978541957675837,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-05,0.8414285335197265,1.003812249342496,0.6790448176969571,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-06,0.8163311446610609,0.9645429516884504,0.6681193376336716,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-07,0.7965864362030918,0.9287441055509236,0.6644287668552601,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-08,0.7794431816364026,0.8993418902512161,0.659544473021589,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-09,0.7617445132021058,0.8773507936715108,0.6461382327327008,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-10,0.7438396308824453,0.8644705250014082,0.6232087367634824,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-11,0.7302797587978375,0.8647111258183227,0.5958483917773523,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-12,0.7263602445463571,0.8767017772997234,0.5760187117929907,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-13,0.7320513840323216,0.8932636772926064,0.5708390907720369,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-14,0.7427942067518939,0.9078435289446511,0.5777448845591366,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-15,0.7523531298315596,0.915657590415594,0.5890486692475252,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-16,0.7562740142399528,0.9154341956717,0.5971138328082054,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-17,0.7555951959990496,0.910964031244207,0.6002263607538921,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-18,0.7550105049772152,0.9079312278501444,0.6020897821042861,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-19,0.75704161868689,0.90998698263298,0.6040962547408,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-20,0.757651703896348,0.9121932317243414,0.6031101760683545,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-21,0.7533919120273108,0.9076508737177316,0.5991329503368902,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-22,0.7452055111815777,0.8958549687539621,0.5945560536091934,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-23,0.7316933507393829,0.8790217287081239,0.5843649727706419,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-24,0.7125328011474977,0.862506414289968,0.5625591880050275,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-25,0.6926521192073866,0.8551549004781791,0.530149337936594,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-26,0.6803919566025176,0.8635086288415866,0.4972752843634486,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-27,0.6800912062654849,0.88422346682801,0.4759589457029597,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-28,0.6896203955337922,0.9086266879564536,0.4706141031111307,DEU
Germany,DEU,OWID,Deaths,Cori_slidingWindow,2020-04-29,0.7053193508203379,0.9294843522534412,0.4811543493872346,DEU
