country,date,type,median,lower_90,upper_90,lower_50,upper_50
Germany,2020-06-27,estimate,0.74,0.65,0.85,0.69,0.77
Germany,2020-06-28,estimate,0.74,0.65,0.85,0.7,0.78
Germany,2020-06-29,estimate,0.75,0.66,0.84,0.72,0.79
Germany,2020-06-30,estimate,0.77,0.68,0.85,0.74,0.81
Germany,2020-07-01,estimate,0.79,0.7,0.87,0.76,0.82
Germany,2020-07-02,estimate,0.82,0.73,0.9,0.78,0.85
Germany,2020-07-03,estimate,0.85,0.76,0.93,0.82,0.89
Germany,2020-07-04,estimate,0.88,0.79,0.96,0.84,0.91
Germany,2020-07-05,estimate,0.92,0.84,1.02,0.88,0.96
Germany,2020-07-06,estimate,0.96,0.87,1.07,0.91,0.99
Germany,2020-07-07,estimate,1.01,0.91,1.12,0.95,1.04
Germany,2020-07-08,estimate,1.05,0.95,1.17,0.99,1.08
Germany,2020-07-09,estimate,1.09,0.98,1.22,1.03,1.13
Germany,2020-07-10,estimate,1.13,1.01,1.25,1.07,1.17
Germany,2020-07-11,estimate,1.16,1.05,1.29,1.11,1.2
Germany,2020-07-12,estimate,1.19,1.08,1.32,1.14,1.23
Germany,2020-07-13,estimate,1.22,1.11,1.34,1.16,1.25
Germany,2020-07-14,estimate,1.23,1.13,1.36,1.17,1.27
Germany,2020-07-15,estimate,1.24,1.14,1.35,1.19,1.28
Germany,2020-07-16,estimate,1.24,1.14,1.35,1.19,1.28
Germany,2020-07-17,estimate,1.24,1.14,1.35,1.2,1.28
Germany,2020-07-18,estimate,1.24,1.14,1.34,1.2,1.28
Germany,2020-07-19,estimate,1.23,1.12,1.33,1.19,1.27
Germany,2020-07-20,estimate,1.21,1.11,1.32,1.17,1.26
Germany,2020-07-21,estimate,1.2,1.1,1.31,1.15,1.24
Germany,2020-07-22,estimate,1.19,1.09,1.29,1.15,1.24
Germany,2020-07-23,estimate,1.17,1.07,1.28,1.13,1.21
Germany,2020-07-24,estimate,1.16,1.05,1.25,1.12,1.2
Germany,2020-07-25,estimate,1.15,1.05,1.25,1.11,1.19
Germany,2020-07-26,estimate,1.14,1.04,1.24,1.1,1.18
Germany,2020-07-27,estimate,1.13,1.04,1.23,1.09,1.17
Germany,2020-07-28,estimate,1.13,1.04,1.23,1.09,1.16
Germany,2020-07-29,estimate,1.13,1.03,1.22,1.09,1.16
Germany,2020-07-30,estimate,1.12,1.04,1.22,1.09,1.16
Germany,2020-07-31,estimate,1.12,1.03,1.21,1.09,1.16
Germany,2020-08-01,estimate,1.13,1.04,1.22,1.09,1.16
Germany,2020-08-02,estimate,1.12,1.04,1.22,1.09,1.16
Germany,2020-08-03,estimate,1.12,1.04,1.23,1.09,1.17
Germany,2020-08-04,estimate,1.13,1.04,1.22,1.08,1.16
Germany,2020-08-05,estimate,1.13,1.04,1.23,1.09,1.16
Germany,2020-08-06,estimate,1.12,1.03,1.22,1.09,1.16
