country,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Germany,2020-10-31,,estimate,0.946587130409667,0.947827634254775,0.0695771136640181,0.833806073129647,0.9035409915072,0.931443610132727,0.962326744660717,0.988849686853882,1.06529140446333
Germany,2020-11-01,,estimate,0.947668071013434,0.948498978042029,0.0603526456138087,0.850497369210091,0.909209502859373,0.934209959320041,0.961767340321157,0.985334212591434,1.04804630410492
Germany,2020-11-02,,estimate,0.948898424105073,0.949368717097813,0.0522266192897356,0.864543906495935,0.915011431312965,0.936789642848205,0.96135626708457,0.982481747737643,1.0365466215501
Germany,2020-11-03,,estimate,0.949977219322259,0.950411687715164,0.0453215366913622,0.876077114969266,0.920876766785596,0.938952361349746,0.960978856278379,0.980175131446355,1.02593078840035
Germany,2020-11-04,,estimate,0.951246025203542,0.95160110975725,0.0397110262124185,0.886449345612755,0.925556544913812,0.941975008223023,0.961449800561976,0.977569057942453,1.0161351214249
Germany,2020-11-05,,estimate,0.952649316829194,0.952911467773547,0.0353947284071581,0.895055763984843,0.92999764366373,0.943892943578784,0.961670949142972,0.976112491036106,1.00965228278426
Germany,2020-11-06,,estimate,0.954044467299835,0.954321176102797,0.0322795553814998,0.902830810823922,0.933172406809148,0.946517716768508,0.962097407736571,0.975020051775519,1.0071533334272
Germany,2020-11-07,,estimate,0.955125822836983,0.955814954486561,0.0301873819154535,0.90781179582214,0.936081446868514,0.948268587409167,0.962286453579163,0.974641046346519,1.00631171685289
Germany,2020-11-08,,estimate,0.956613817388922,0.957385882463449,0.0288966668084073,0.911704224423387,0.938677800068971,0.949984047257134,0.963798361229955,0.975340448458026,1.00536955985727
Germany,2020-11-09,,estimate,0.958640139854137,0.959037044263966,0.0281965632913199,0.914582442877201,0.940644988457796,0.951692066397721,0.965106627789103,0.976519010028184,1.00499177492759
Germany,2020-11-10,,estimate,0.960428975085808,0.960782652818417,0.0279200472381468,0.916137039154339,0.94268050062321,0.953875118318456,0.966934397506818,0.978108043684162,1.00669695062814
