Datum;Schätzer_Neuerkrankungen;UG_PI_Neuerkrankungen;OG_PI_Neuerkrankungen;Schätzer_Neuerkrankungen_ma4;UG_PI_Neuerkrankungen_ma4;OG_PI_Neuerkrankungen_ma4;Schätzer_Reproduktionszahl_R;UG_PI_Reproduktionszahl_R;OG_PI_Reproduktionszahl_R;Schätzer_7_Tage_R_Wert;UG_PI_7_Tage_R_Wert;OG_PI_7_Tage_R_Wert
02.03.2020;303;286;319;225;211;237;.;.;.;.;.;.
03.03.2020;320;304;340;261;246;276;.;.;.;.;.;.
04.03.2020;449;430;473;325;308;343;.;.;.;.;.;.
05.03.2020;504;481;528;394;375;415;.;.;.;.;.;.
06.03.2020;758;735;781;508;487;530;2,26;2,18;2,34;2,35;2,30;2,39
07.03.2020;986;959;1012;674;651;698;2,59;2,51;2,66;2,56;2,51;2,61
08.03.2020;1334;1302;1369;896;869;922;2,75;2,66;2,84;2,93;2,88;2,98
09.03.2020;2019;1985;2056;1274;1245;1304;3,24;3,15;3,33;3,13;3,07;3,18
10.03.2020;2568;2528;2611;1727;1693;1762;3,40;3,32;3,48;3,21;3,17;3,26
11.03.2020;3238;3190;3291;2290;2251;2331;3,40;3,33;3,46;3,12;3,08;3,16
12.03.2020;3604;3553;3661;2857;2814;2905;3,19;3,14;3,25;2,84;2,82;2,87
13.03.2020;4363;4309;4415;3443;3395;3494;2,70;2,66;2,74;2,50;2,48;2,52
14.03.2020;4434;4372;4496;3910;3856;3966;2,26;2,23;2,30;2,18;2,17;2,20
15.03.2020;4676;4629;4739;4269;4215;4328;1,86;1,84;1,89;1,99;1,98;2,01
16.03.2020;6016;5952;6075;4872;4815;4931;1,71;1,69;1,72;1,74;1,73;1,75
17.03.2020;5234;5163;5293;5090;5029;5150;1,48;1,46;1,49;1,56;1,55;1,57
18.03.2020;5286;5222;5344;5303;5241;5363;1,36;1,34;1,37;1,40;1,39;1,40
19.03.2020;4730;4674;4788;5317;5253;5375;1,25;1,23;1,26;1,24;1,23;1,24
20.03.2020;5329;5273;5401;5145;5083;5206;1,06;1,05;1,06;1,13;1,13;1,14
21.03.2020;4444;4385;4512;4947;4888;5011;0,97;0,96;0,98;1,04;1,03;1,04
22.03.2020;3811;3751;3862;4578;4521;4641;0,86;0,86;0,87;0,98;0,97;0,98
23.03.2020;5156;5090;5222;4685;4625;4749;0,88;0,87;0,89;0,92;0,91;0,92
24.03.2020;4070;4011;4139;4370;4309;4434;0,85;0,84;0,86;0,89;0,89;0,90
25.03.2020;4416;4350;4480;4363;4301;4425;0,88;0,87;0,89;0,90;0,89;0,90
26.03.2020;3996;3934;4062;4409;4346;4475;0,96;0,96;0,97;0,88;0,88;0,89
27.03.2020;4123;4069;4178;4151;4091;4214;0,89;0,88;0,89;0,90;0,89;0,90
28.03.2020;3885;3837;3940;4105;4047;4165;0,94;0,93;0,95;0,90;0,90;0,91
29.03.2020;3264;3210;3317;3817;3762;3874;0,87;0,87;0,88;0,90;0,90;0,91
30.03.2020;4391;4325;4455;3916;3860;3972;0,89;0,88;0,90;0,92;0,92;0,93
31.03.2020;3581;3522;3641;3780;3723;3838;0,91;0,90;0,92;0,93;0,92;0,93
01.04.2020;4033;3974;4095;3817;3758;3877;0,93;0,92;0,94;0,93;0,93;0,94
02.04.2020;3726;3664;3788;3933;3871;3995;1,03;1,02;1,04;0,95;0,94;0,95
03.04.2020;3726;3664;3785;3766;3706;3827;0,96;0,95;0,97;0,93;0,92;0,94
04.04.2020;3008;2957;3073;3623;3565;3685;0,96;0,95;0,97;0,92;0,92;0,93
05.04.2020;2697;2646;2746;3289;3232;3348;0,86;0,85;0,87;0,89;0,89;0,90
06.04.2020;3347;3293;3401;3194;3140;3251;0,81;0,80;0,82;0,89;0,88;0,89
07.04.2020;3053;2997;3104;3026;2973;3081;0,80;0,79;0,81;0,87;0,87;0,88
08.04.2020;2873;2811;2937;2993;2936;3047;0,83;0,82;0,84;0,85;0,84;0,86
09.04.2020;2693;2643;2751;2992;2936;3048;0,91;0,90;0,92;0,83;0,82;0,84
10.04.2020;2323;2269;2377;2736;2680;2792;0,86;0,84;0,87;0,81;0,80;0,81
11.04.2020;2014;1971;2072;2476;2423;2534;0,82;0,81;0,83;0,81;0,81;0,82
12.04.2020;1948;1895;1994;2245;2194;2298;0,75;0,74;0,76;0,78;0,78;0,79
13.04.2020;1887;1841;1933;2043;1994;2094;0,68;0,67;0,69;0,78;0,78;0,79
14.04.2020;1943;1899;1994;1948;1901;1998;0,71;0,70;0,72;0,78;0,77;0,78
15.04.2020;1935;1891;1988;1928;1881;1977;0,78;0,77;0,79;0,76;0,75;0,76
16.04.2020;1749;1709;1795;1879;1835;1927;0,84;0,83;0,85;0,78;0,77;0,79
17.04.2020;1647;1606;1684;1819;1776;1865;0,89;0,87;0,90;0,80;0,79;0,81
18.04.2020;1433;1390;1479;1691;1649;1736;0,87;0,85;0,88;0,81;0,80;0,82
19.04.2020;1312;1269;1355;1535;1493;1578;0,80;0,78;0,81;0,84;0,83;0,85
20.04.2020;1573;1535;1615;1491;1450;1533;0,79;0,78;0,81;0,84;0,83;0,85
21.04.2020;1347;1308;1395;1416;1375;1461;0,78;0,76;0,79;0,83;0,82;0,83
22.04.2020;1296;1260;1338;1382;1343;1425;0,82;0,80;0,84;0,83;0,82;0,84
23.04.2020;1267;1232;1310;1371;1333;1414;0,89;0,87;0,91;0,81;0,80;0,82
24.04.2020;1149;1113;1190;1265;1228;1308;0,85;0,83;0,87;0,81;0,81;0,82
25.04.2020;1007;970;1043;1180;1144;1220;0,83;0,81;0,85;0,82;0,82;0,83
26.04.2020;901;864;941;1081;1045;1121;0,78;0,77;0,80;0,82;0,81;0,83
27.04.2020;1100;1066;1139;1039;1003;1078;0,76;0,74;0,78;0,82;0,81;0,83
28.04.2020;945;908;988;988;952;1028;0,78;0,76;0,80;0,81;0,80;0,82
29.04.2020;865;828;900;953;916;992;0,81;0,79;0,83;0,81;0,80;0,82
30.04.2020;939;906;976;962;927;1001;0,89;0,87;0,91;0,81;0,80;0,83
01.05.2020;815;784;848;891;856;928;0,86;0,83;0,88;0,82;0,81;0,83
02.05.2020;742;708;776;840;806;875;0,85;0,83;0,87;0,85;0,84;0,86
03.05.2020;753;715;789;812;778;847;0,85;0,83;0,87;0,86;0,85;0,87
04.05.2020;890;856;926;800;766;835;0,83;0,81;0,85;0,89;0,87;0,90
05.05.2020;820;784;860;801;765;838;0,90;0,88;0,93;0,90;0,89;0,92
06.05.2020;742;706;775;801;765;838;0,95;0,93;0,98;0,89;0,87;0,90
07.05.2020;703;670;736;789;754;824;0,97;0,94;1,00;0,90;0,88;0,91
08.05.2020;679;646;709;736;701;770;0,92;0,89;0,95;0,89;0,87;0,90
09.05.2020;581;554;614;676;644;708;0,84;0,82;0,87;0,87;0,86;0,88
10.05.2020;554;529;584;629;600;661;0,79;0,76;0,81;0,87;0,85;0,88
11.05.2020;666;634;698;620;591;651;0,79;0,76;0,81;0,85;0,84;0,87
12.05.2020;623;590;656;606;577;638;0,82;0,80;0,85;0,85;0,83;0,87
13.05.2020;586;558;615;607;578;638;0,90;0,87;0,93;0,85;0,83;0,86
14.05.2020;524;491;553;600;568;630;0,95;0,92;0,99;0,89;0,87;0,91
15.05.2020;678;647;712;603;571;634;0,97;0,94;1,00;0,92;0,90;0,94
16.05.2020;558;529;587;587;556;617;0,97;0,93;1,00;0,93;0,91;0,95
17.05.2020;443;416;477;551;520;582;0,91;0,87;0,94;0,96;0,94;0,98
18.05.2020;615;583;645;574;543;605;0,96;0,92;0,99;0,92;0,90;0,94
19.05.2020;468;444;497;521;493;551;0,86;0,83;0,89;0,92;0,90;0,94
20.05.2020;565;534;594;523;494;553;0,89;0,86;0,93;0,91;0,89;0,93
21.05.2020;388;358;418;509;480;538;0,92;0,89;0,96;0,85;0,83;0,87
22.05.2020;384;364;411;451;425;480;0,79;0,76;0,82;0,83;0,81;0,85
23.05.2020;365;342;393;426;399;454;0,82;0,78;0,85;0,82;0,80;0,84
24.05.2020;374;348;401;378;353;405;0,72;0,69;0,75;0,81;0,79;0,83
25.05.2020;467;443;498;398;374;425;0,78;0,75;0,81;0,87;0,85;0,89
26.05.2020;433;407;464;410;385;439;0,91;0,87;0,94;0,89;0,87;0,91
27.05.2020;454;428;477;432;406;460;1,01;0,97;1,06;0,90;0,89;0,92
28.05.2020;379;353;403;433;408;460;1,15;1,10;1,20;0,94;0,91;0,96
29.05.2020;347;321;370;403;377;429;1,01;0,97;1,07;0,92;0,90;0,94
30.05.2020;290;268;314;368;342;391;0,90;0,86;0,94;0,92;0,90;0,94
31.05.2020;267;246;286;321;297;343;0,74;0,70;0,77;0,87;0,85;0,89
01.06.2020;328;304;353;308;285;331;0,71;0,67;0,75;0,89;0,87;0,91
02.06.2020;439;415;464;331;308;354;0,82;0,78;0,86;0,89;0,87;0,91
03.06.2020;400;374;425;358;335;382;0,98;0,93;1,02;0,91;0,89;0,94
04.06.2020;342;317;364;377;352;401;1,18;1,12;1,23;0,95;0,93;0,98
05.06.2020;320;299;341;375;351;398;1,22;1,16;1,29;0,96;0,93;0,99
06.06.2020;299;277;325;340;317;364;1,03;0,98;1,09;0,96;0,94;0,99
07.06.2020;236;213;257;299;276;322;0,84;0,79;0,88;1,01;0,99;1,04
08.06.2020;412;388;444;317;294;342;0,84;0,80;0,88;1,03;1,00;1,06
09.06.2020;448;420;480;349;324;376;0,93;0,89;0,97;1,04;1,01;1,06
10.06.2020;432;407;463;382;357;411;1,12;1,06;1,18;1,06;1,04;1,09
11.06.2020;369;342;392;415;389;445;1,39;1,32;1,45;1,05;1,03;1,08
12.06.2020;374;349;402;405;379;434;1,28;1,22;1,35;1,07;1,05;1,10
13.06.2020;366;344;390;385;360;412;1,10;1,06;1,16;1,11;1,08;1,13
14.06.2020;355;329;385;366;341;392;0,96;0,91;1,00;1,19;1,16;1,22
15.06.2020;644;611;678;435;408;464;1,05;1,01;1,11;1,42;1,39;1,46
16.06.2020;1113;1084;1148;620;592;650;1,53;1,47;1,58;1,47;1,44;1,51
17.06.2020;664;631;701;694;664;728;1,80;1,73;1,86;1,47;1,44;1,50
18.06.2020;537;506;566;740;708;773;2,02;1,94;2,10;1,42;1,39;1,45
19.06.2020;570;539;597;721;690;753;1,66;1,59;1,72;1,19;1,17;1,21
20.06.2020;469;439;496;560;529;590;0,90;0,87;0,94;1,12;1,10;1,15
21.06.2020;368;343;395;486;457;513;0,70;0,68;0,73;1,04;1,02;1,06
22.06.2020;475;447;505;470;442;498;0,64;0,61;0,66;0,83;0,81;0,84
23.06.2020;431;403;459;436;408;463;0,60;0,58;0,63;0,76;0,75;0,78
24.06.2020;467;441;492;435;408;462;0,78;0,74;0,81;0,73;0,72;0,74
25.06.2020;406;374;432;445;416;472;0,92;0,88;0,95;0,73;0,71;0,74
26.06.2020;431;407;459;434;406;460;0,92;0,88;0,96;0,83;0,82;0,85
27.06.2020;352;326;374;414;387;439;0,95;0,91;0,99;0,87;0,85;0,89
28.06.2020;315;291;339;376;349;401;0,86;0,83;0,90;0,89;0,87;0,91
29.06.2020;422;397;446;380;355;404;0,85;0,82;0,90;0,93;0,91;0,95
30.06.2020;436;409;460;381;356;405;0,88;0,84;0,92;0,94;0,92;0,97
01.07.2020;405;383;429;394;370;418;0,95;0,91;1,00;0,94;0,92;0,96
02.07.2020;337;312;361;400;375;424;1,06;1,02;1,11;0,93;0,91;0,95
03.07.2020;347;329;373;381;358;405;1,00;0,96;1,06;0,90;0,89;0,92
04.07.2020;297;276;320;347;325;370;0,91;0,87;0,95;0,92;0,90;0,94
05.07.2020;291;272;312;318;297;341;0,81;0,77;0,85;0,92;0,90;0,95
06.07.2020;375;348;401;328;306;351;0,82;0,79;0,85;0,93;0,91;0,95
07.07.2020;372;349;395;334;311;357;0,88;0,84;0,92;0,93;0,91;0,95
08.07.2020;356;334;380;349;326;372;1,01;0,96;1,05;0,95;0,92;0,98
09.07.2020;375;349;400;370;345;394;1,16;1,11;1,22;1,00;0,98;1,03
10.07.2020;430;405;456;383;359;407;1,17;1,11;1,23;1,07;1,04;1,09
11.07.2020;388;364;415;387;363;412;1,16;1,11;1,22;1,12;1,09;1,15
12.07.2020;361;339;385;389;364;414;1,11;1,07;1,16;1,17;1,14;1,19
13.07.2020;543;517;572;431;406;457;1,16;1,11;1,22;1,19;1,16;1,22
14.07.2020;513;486;541;451;426;478;1,18;1,13;1,23;1,22;1,20;1,25
15.07.2020;556;523;588;493;466;521;1,27;1,22;1,33;1,23;1,20;1,26
