Country/Region,Date,R,ci_95_u,ci_95_l,ci_65_u,ci_65_l,days_infectious,last_updated
Germany,2020-03-02,2.3495666177754284,2.6862979683201336,2.0159259740847366,2.507685600466492,2.1904910152770154,5,2021-03-30
Germany,2020-03-03,2.3646395324690594,2.6804103677061644,2.053135529126124,2.5148704962130344,2.2150468206377982,5,2021-03-30
Germany,2020-03-04,2.3961220383545543,2.7017991315518195,2.097121605941356,2.5401467068212544,2.253428589411409,5,2021-03-30
Germany,2020-03-05,2.430550242573581,2.731109016705644,2.136224381404727,2.571372536577056,2.289880183282829,5,2021-03-30
Germany,2020-03-06,2.3916535052832795,2.6760163246410187,2.1123962516864867,2.526163418511787,2.2578876962256262,5,2021-03-30
Germany,2020-03-07,2.375462230886729,2.649761647789344,2.103890302323961,2.505847862073513,2.2452764164576604,5,2021-03-30
Germany,2020-03-08,2.3662824716886783,2.636225578887548,2.0996750407551685,2.4940294453147627,2.2380034466229968,5,2021-03-30
Germany,2020-03-09,2.355616020108529,2.6246453263990888,2.091095759024345,2.4826813163510564,2.22842939780478,5,2021-03-30
Germany,2020-03-10,2.3610943292308786,2.6293537694576825,2.098521288773424,2.4893050327698303,2.2323390723031737,5,2021-03-30
Germany,2020-03-11,2.365992497841838,2.638019714908056,2.1003311189333576,2.493963870057508,2.2378276174331315,5,2021-03-30
Germany,2020-03-12,2.3654888789022674,2.639359827268501,2.0992183209249204,2.4937641720651462,2.2359345567008497,5,2021-03-30
Germany,2020-03-13,2.410451341105792,2.7057175462569574,2.1327739208006307,2.5479424658249408,2.272756167324524,5,2021-03-30
Germany,2020-03-14,2.360159481812591,2.650366349035024,2.08757426899438,2.495457810798248,2.2250762005092843,5,2021-03-30
Germany,2020-03-15,2.3024190392637984,2.583914840181312,2.033904490605167,2.4342054287467536,2.1689993099437497,5,2021-03-30
Germany,2020-03-16,2.2448842576002126,2.51974861134987,1.9811422806454475,2.374340974865083,2.1158729696792795,5,2021-03-30
Germany,2020-03-17,2.1774273198930505,2.4496702397967,1.91928012421358,2.3028149723007427,2.050949790547201,5,2021-03-30
Germany,2020-03-18,2.100619445514633,2.3680696719088625,1.8440493439330023,2.223232861470258,1.9772265379887368,5,2021-03-30
Germany,2020-03-19,2.0108375772598794,2.270327438918045,1.7588956454791718,2.129805505970591,1.890690328414815,5,2021-03-30
Germany,2020-03-20,1.9272934164455493,2.1784804663635025,1.6748774413165646,2.0450912337438045,1.8085505079376287,5,2021-03-30
Germany,2020-03-21,1.8554477654922803,2.1061348244019364,1.6066731540875256,1.9736120001088384,1.7376993406089818,5,2021-03-30
Germany,2020-03-22,1.7915741903280369,2.040395454872745,1.5414251130387986,1.9089433551229664,1.6730606263264272,5,2021-03-30
Germany,2020-03-23,1.7367350851968082,1.986747388861327,1.4867291816216102,1.853781127277757,1.6186101334187288,5,2021-03-30
Germany,2020-03-24,1.6707141430731018,1.9192055163069257,1.4179520820175646,1.7904639003442069,1.5528214980481283,5,2021-03-30
Germany,2020-03-25,1.6057963181604566,1.85161922910236,1.355329426328735,1.7249125185648415,1.4875336348842587,5,2021-03-30
Germany,2020-03-26,1.5496967791707272,1.795535336256045,1.3007187447907294,1.6672912373504016,1.431435506319202,5,2021-03-30
Germany,2020-03-27,1.4890892083651492,1.7354811984028915,1.2375963301262412,1.6081797050001183,1.3717302083900362,5,2021-03-30
Germany,2020-03-28,1.4409880345306545,1.686461430292798,1.1891178435551395,1.5593944077912465,1.3223498272205454,5,2021-03-30
Germany,2020-03-29,1.3834726600666891,1.6316103562483748,1.1310682697901522,1.501421997963371,1.2655902334617986,5,2021-03-30
Germany,2020-03-30,1.3281946816422057,1.5754757757925792,1.0739178426354823,1.4456761467720591,1.2111203734499332,5,2021-03-30
Germany,2020-03-31,1.272673656578981,1.5215800207283,1.0194258111303545,1.3924028502416077,1.153480281767572,5,2021-03-30
Germany,2020-04-01,1.2190730294952743,1.469135238353663,0.9630052923172392,1.340439448754023,1.0994145420363064,5,2021-03-30
Germany,2020-04-02,1.169004030682484,1.4218288406016066,0.9093273538436064,1.288268528192896,1.0492949748270122,5,2021-03-30
Germany,2020-04-03,1.1238814783607152,1.3760816509950915,0.8651017260647644,1.2428830661893506,1.0047732151612008,5,2021-03-30
Germany,2020-04-04,1.0915478488008967,1.3438585540469097,0.8344048047425214,1.2113040721849837,0.9716818415773883,5,2021-03-30
Germany,2020-04-05,1.0573875132552122,1.3077621079397743,0.8027002081123932,1.176425116175736,0.9380486326100224,5,2021-03-30
Germany,2020-04-06,1.0231569153250362,1.2704491514466376,0.7688474263817475,1.141728739072715,0.9044147075007494,5,2021-03-30
