,mean,std,2.5%,25%,median,75%,97.5%
2020-02-20,2.358,0.244,1.92,2.204,2.344,2.506,2.863
2020-02-21,2.344,0.235,1.906,2.181,2.333,2.486,2.845
2020-02-22,2.333,0.225,1.932,2.174,2.321,2.472,2.815
2020-02-23,2.317,0.216,1.936,2.166,2.304,2.46,2.748
2020-02-24,2.298,0.206,1.927,2.152,2.282,2.432,2.727
2020-02-25,2.275,0.196,1.921,2.139,2.26,2.402,2.679
2020-02-26,2.249,0.188,1.926,2.118,2.246,2.373,2.643
2020-02-27,2.207,0.173,1.893,2.085,2.194,2.32,2.569
2020-02-28,2.163,0.167,1.841,2.049,2.156,2.277,2.503
2020-02-29,2.114,0.159,1.833,1.999,2.113,2.215,2.444
2020-03-01,2.049,0.148,1.767,1.951,2.041,2.147,2.348
2020-03-02,1.979,0.138,1.724,1.887,1.974,2.061,2.278
2020-03-03,1.91,0.125,1.659,1.827,1.903,1.994,2.172
2020-03-04,1.832,0.113,1.608,1.756,1.834,1.91,2.044
2020-03-05,1.758,0.105,1.56,1.691,1.756,1.821,1.959
2020-03-06,1.682,0.097,1.492,1.613,1.676,1.745,1.891
2020-03-07,1.609,0.094,1.433,1.542,1.601,1.672,1.801
2020-03-08,1.535,0.09,1.377,1.476,1.531,1.593,1.725
2020-03-09,1.469,0.09,1.315,1.405,1.463,1.529,1.661
2020-03-10,1.403,0.084,1.247,1.346,1.396,1.459,1.584
2020-03-11,1.339,0.08,1.191,1.284,1.336,1.394,1.498
2020-03-12,1.283,0.077,1.141,1.227,1.278,1.333,1.445
2020-03-13,1.228,0.073,1.094,1.174,1.225,1.277,1.372
2020-03-14,1.178,0.071,1.046,1.129,1.175,1.225,1.317
2020-03-15,1.131,0.068,1.005,1.082,1.128,1.177,1.272
2020-03-16,1.085,0.064,0.958,1.038,1.082,1.127,1.206
2020-03-17,1.044,0.061,0.937,1.0,1.042,1.085,1.175
2020-03-18,1.006,0.059,0.901,0.965,1.002,1.047,1.131
2020-03-19,0.971,0.057,0.866,0.932,0.969,1.01,1.091
2020-03-20,0.94,0.055,0.841,0.899,0.938,0.98,1.048
2020-03-21,0.911,0.053,0.809,0.873,0.908,0.948,1.011
2020-03-22,0.885,0.051,0.789,0.85,0.884,0.919,0.994
2020-03-23,0.863,0.052,0.769,0.825,0.864,0.896,0.966
2020-03-24,0.843,0.052,0.744,0.808,0.842,0.878,0.949
2020-03-25,0.824,0.05,0.732,0.789,0.82,0.86,0.923
2020-03-26,0.808,0.05,0.717,0.772,0.808,0.84,0.913
2020-03-27,0.794,0.049,0.707,0.76,0.793,0.828,0.892
2020-03-28,0.781,0.048,0.689,0.748,0.779,0.812,0.881
2020-03-29,0.77,0.048,0.676,0.737,0.77,0.803,0.868
2020-03-30,0.761,0.049,0.666,0.728,0.76,0.794,0.858
2020-03-31,0.753,0.048,0.664,0.718,0.754,0.784,0.848
2020-04-01,0.746,0.048,0.66,0.713,0.745,0.776,0.849
2020-04-02,0.74,0.047,0.654,0.708,0.739,0.77,0.842
2020-04-03,0.736,0.046,0.652,0.705,0.735,0.768,0.829
2020-04-04,0.734,0.047,0.649,0.701,0.733,0.764,0.833
2020-04-05,0.732,0.047,0.643,0.699,0.731,0.763,0.831
2020-04-06,0.731,0.046,0.644,0.698,0.733,0.763,0.822
2020-04-07,0.731,0.047,0.644,0.699,0.729,0.762,0.827
2020-04-08,0.731,0.046,0.642,0.698,0.732,0.759,0.826
2020-04-09,0.733,0.047,0.647,0.699,0.733,0.763,0.825
2020-04-10,0.734,0.047,0.647,0.702,0.734,0.765,0.829
2020-04-11,0.738,0.047,0.652,0.705,0.735,0.769,0.832
2020-04-12,0.741,0.047,0.652,0.71,0.739,0.774,0.837
2020-04-13,0.745,0.047,0.655,0.713,0.743,0.778,0.839
2020-04-14,0.749,0.047,0.661,0.716,0.749,0.78,0.841
2020-04-15,0.753,0.047,0.664,0.718,0.751,0.784,0.846
2020-04-16,0.757,0.048,0.672,0.723,0.757,0.788,0.855
2020-04-17,0.761,0.049,0.677,0.727,0.758,0.793,0.868
2020-04-18,0.767,0.05,0.675,0.732,0.766,0.8,0.873
2020-04-19,0.773,0.049,0.68,0.739,0.774,0.804,0.877
2020-04-20,0.779,0.048,0.689,0.746,0.78,0.811,0.878
2020-04-21,0.786,0.048,0.696,0.75,0.783,0.819,0.882
