,mean,std,2.5%,25%,median,75%,97.5%
2020-02-20,2.56,0.292,2.024,2.364,2.543,2.742,3.156
2020-02-21,2.547,0.28,2.047,2.358,2.536,2.726,3.128
2020-02-22,2.531,0.269,2.037,2.343,2.514,2.707,3.065
2020-02-23,2.511,0.253,2.057,2.337,2.496,2.67,3.044
2020-02-24,2.493,0.241,2.068,2.331,2.485,2.636,2.986
2020-02-25,2.467,0.225,2.06,2.32,2.453,2.607,2.943
2020-02-26,2.432,0.213,2.063,2.28,2.423,2.56,2.884
2020-02-27,2.389,0.199,2.033,2.253,2.376,2.512,2.826
2020-02-28,2.338,0.184,2.025,2.197,2.327,2.456,2.713
2020-02-29,2.283,0.17,1.985,2.158,2.267,2.396,2.629
2020-03-01,2.224,0.159,1.953,2.104,2.211,2.324,2.556
2020-03-02,2.158,0.148,1.88,2.056,2.149,2.253,2.471
2020-03-03,2.089,0.141,1.811,1.991,2.08,2.181,2.379
2020-03-04,2.015,0.127,1.787,1.928,2.011,2.096,2.286
2020-03-05,1.944,0.12,1.719,1.863,1.937,2.023,2.179
2020-03-06,1.869,0.112,1.657,1.794,1.868,1.94,2.1
2020-03-07,1.799,0.108,1.601,1.725,1.793,1.871,2.016
2020-03-08,1.724,0.101,1.539,1.656,1.721,1.792,1.912
2020-03-09,1.654,0.101,1.462,1.578,1.653,1.724,1.856
2020-03-10,1.584,0.097,1.398,1.52,1.578,1.65,1.786
2020-03-11,1.511,0.092,1.336,1.448,1.504,1.57,1.699
2020-03-12,1.439,0.086,1.277,1.379,1.437,1.491,1.615
2020-03-13,1.371,0.079,1.227,1.318,1.369,1.419,1.529
2020-03-14,1.306,0.076,1.159,1.259,1.303,1.355,1.457
2020-03-15,1.244,0.074,1.101,1.194,1.24,1.292,1.405
2020-03-16,1.187,0.072,1.051,1.14,1.186,1.23,1.35
2020-03-17,1.133,0.069,1.0,1.087,1.131,1.177,1.277
2020-03-18,1.083,0.067,0.958,1.04,1.082,1.126,1.222
2020-03-19,1.035,0.065,0.914,0.991,1.033,1.075,1.168
2020-03-20,0.991,0.061,0.88,0.948,0.992,1.03,1.112
2020-03-21,0.951,0.058,0.849,0.908,0.951,0.993,1.061
2020-03-22,0.916,0.057,0.811,0.876,0.914,0.955,1.026
2020-03-23,0.884,0.053,0.786,0.846,0.882,0.92,0.993
2020-03-24,0.853,0.052,0.761,0.815,0.85,0.888,0.962
2020-03-25,0.827,0.052,0.736,0.789,0.823,0.861,0.938
2020-03-26,0.802,0.05,0.712,0.767,0.8,0.837,0.907
2020-03-27,0.779,0.047,0.693,0.747,0.778,0.811,0.875
2020-03-28,0.76,0.045,0.674,0.728,0.761,0.792,0.849
2020-03-29,0.742,0.045,0.651,0.712,0.741,0.774,0.83
2020-03-30,0.725,0.043,0.641,0.696,0.724,0.754,0.812
2020-03-31,0.711,0.043,0.629,0.68,0.71,0.741,0.8
2020-04-01,0.7,0.043,0.62,0.671,0.7,0.728,0.789
2020-04-02,0.691,0.042,0.612,0.664,0.691,0.719,0.778
2020-04-03,0.684,0.042,0.604,0.657,0.684,0.712,0.768
2020-04-04,0.678,0.043,0.594,0.649,0.678,0.705,0.766
2020-04-05,0.674,0.043,0.592,0.643,0.672,0.702,0.769
