,mean,std,2.5%,25%,median,75%,97.5%
2020-02-23,2.167,0.211,1.775,2.023,2.165,2.319,2.574
2020-02-24,2.141,0.198,1.747,2.004,2.135,2.271,2.522
2020-02-25,2.118,0.186,1.75,1.994,2.111,2.24,2.484
2020-02-26,2.089,0.171,1.742,1.98,2.084,2.204,2.41
2020-02-27,2.054,0.159,1.734,1.95,2.048,2.159,2.375
2020-02-28,2.007,0.15,1.733,1.909,2.004,2.11,2.313
2020-02-29,1.959,0.14,1.704,1.869,1.953,2.05,2.259
2020-03-01,1.901,0.13,1.655,1.807,1.9,1.985,2.157
2020-03-02,1.842,0.127,1.594,1.756,1.841,1.93,2.084
2020-03-03,1.779,0.119,1.552,1.695,1.779,1.853,2.018
2020-03-04,1.716,0.113,1.506,1.644,1.711,1.788,1.954
2020-03-05,1.651,0.102,1.46,1.58,1.646,1.715,1.863
2020-03-06,1.585,0.095,1.404,1.521,1.579,1.647,1.781
2020-03-07,1.525,0.092,1.359,1.462,1.519,1.582,1.709
2020-03-08,1.463,0.089,1.3,1.399,1.46,1.523,1.633
2020-03-09,1.405,0.084,1.247,1.345,1.405,1.464,1.57
2020-03-10,1.347,0.08,1.197,1.29,1.345,1.399,1.506
2020-03-11,1.295,0.077,1.156,1.241,1.292,1.345,1.446
2020-03-12,1.245,0.075,1.095,1.195,1.243,1.293,1.396
2020-03-13,1.198,0.071,1.056,1.152,1.198,1.242,1.345
2020-03-14,1.152,0.068,1.026,1.106,1.148,1.197,1.299
2020-03-15,1.112,0.067,0.988,1.066,1.109,1.154,1.248
2020-03-16,1.072,0.065,0.947,1.032,1.07,1.113,1.203
2020-03-17,1.036,0.061,0.916,0.995,1.034,1.074,1.163
2020-03-18,1.001,0.058,0.884,0.964,1.0,1.037,1.113
2020-03-19,0.968,0.057,0.854,0.929,0.966,1.005,1.075
2020-03-20,0.936,0.057,0.823,0.899,0.935,0.97,1.053
2020-03-21,0.907,0.055,0.807,0.87,0.904,0.943,1.017
2020-03-22,0.879,0.053,0.781,0.842,0.878,0.913,0.99
2020-03-23,0.854,0.052,0.753,0.817,0.853,0.888,0.957
2020-03-24,0.829,0.051,0.734,0.794,0.826,0.863,0.926
2020-03-25,0.805,0.05,0.714,0.767,0.805,0.839,0.902
2020-03-26,0.785,0.049,0.692,0.75,0.785,0.82,0.878
2020-03-27,0.766,0.047,0.677,0.732,0.765,0.799,0.859
2020-03-28,0.747,0.046,0.665,0.715,0.747,0.78,0.838
2020-03-29,0.73,0.045,0.646,0.697,0.728,0.76,0.818
2020-03-30,0.714,0.045,0.633,0.683,0.714,0.744,0.805
2020-03-31,0.699,0.042,0.623,0.671,0.698,0.726,0.782
2020-04-01,0.687,0.043,0.608,0.656,0.684,0.715,0.775
2020-04-02,0.677,0.042,0.602,0.647,0.676,0.705,0.762
2020-04-03,0.667,0.042,0.591,0.637,0.665,0.695,0.756
2020-04-04,0.658,0.041,0.581,0.629,0.656,0.685,0.743
2020-04-05,0.65,0.04,0.571,0.623,0.648,0.676,0.729
2020-04-06,0.643,0.039,0.571,0.615,0.643,0.669,0.718
2020-04-07,0.636,0.039,0.561,0.61,0.634,0.662,0.713
2020-04-08,0.632,0.039,0.556,0.604,0.632,0.656,0.708
2020-04-09,0.629,0.039,0.555,0.601,0.63,0.656,0.703
2020-04-10,0.627,0.04,0.554,0.598,0.626,0.654,0.704
2020-04-11,0.626,0.039,0.552,0.6,0.625,0.652,0.704
2020-04-12,0.626,0.04,0.548,0.6,0.625,0.653,0.71
2020-04-13,0.626,0.039,0.547,0.6,0.625,0.652,0.701
2020-04-14,0.627,0.039,0.556,0.6,0.626,0.654,0.704
2020-04-15,0.629,0.04,0.556,0.601,0.627,0.656,0.712
2020-04-16,0.632,0.041,0.558,0.604,0.631,0.658,0.724
2020-04-17,0.637,0.042,0.561,0.607,0.635,0.664,0.722
2020-04-18,0.64,0.042,0.559,0.611,0.638,0.667,0.727
2020-04-19,0.646,0.042,0.566,0.617,0.644,0.673,0.735
2020-04-20,0.65,0.041,0.573,0.622,0.648,0.675,0.735
2020-04-21,0.655,0.042,0.579,0.629,0.652,0.68,0.745
2020-04-22,0.661,0.043,0.582,0.633,0.659,0.689,0.749
2020-04-23,0.667,0.043,0.59,0.638,0.663,0.697,0.755
2020-04-24,0.674,0.044,0.592,0.645,0.673,0.704,0.765
2020-04-25,0.68,0.044,0.599,0.651,0.678,0.709,0.763
2020-04-26,0.688,0.044,0.606,0.659,0.686,0.717,0.775
2020-04-27,0.696,0.045,0.618,0.665,0.695,0.726,0.788
2020-04-28,0.703,0.047,0.618,0.671,0.7,0.734,0.8
2020-04-29,0.711,0.048,0.627,0.676,0.711,0.742,0.814
2020-04-30,0.718,0.048,0.624,0.686,0.716,0.751,0.816
2020-05-01,0.727,0.049,0.638,0.696,0.722,0.758,0.828
2020-05-02,0.735,0.049,0.644,0.701,0.729,0.767,0.835
2020-05-03,0.744,0.052,0.648,0.708,0.741,0.78,0.85
2020-05-04,0.752,0.052,0.659,0.716,0.751,0.786,0.856
2020-05-05,0.759,0.052,0.664,0.721,0.757,0.794,0.859
2020-05-06,0.767,0.052,0.671,0.729,0.766,0.802,0.87
2020-05-07,0.776,0.053,0.68,0.738,0.774,0.809,0.881
2020-05-08,0.785,0.053,0.69,0.747,0.784,0.818,0.891
2020-05-09,0.793,0.052,0.693,0.757,0.791,0.83,0.893
2020-05-10,0.803,0.054,0.703,0.768,0.801,0.838,0.912
2020-05-11,0.812,0.056,0.708,0.775,0.809,0.848,0.931
2020-05-12,0.821,0.055,0.715,0.782,0.821,0.858,0.936
2020-05-13,0.83,0.055,0.731,0.79,0.83,0.868,0.94
2020-05-14,0.84,0.053,0.744,0.801,0.838,0.877,0.942
2020-05-15,0.85,0.053,0.753,0.813,0.85,0.886,0.951
2020-05-16,0.862,0.054,0.768,0.826,0.861,0.899,0.967
2020-05-17,0.873,0.055,0.766,0.834,0.874,0.91,0.983
2020-05-18,0.885,0.058,0.776,0.846,0.884,0.924,0.997
2020-05-19,0.898,0.059,0.779,0.861,0.899,0.934,1.015
2020-05-20,0.911,0.059,0.795,0.876,0.911,0.946,1.032
2020-05-21,0.922,0.059,0.812,0.884,0.92,0.96,1.041
2020-05-22,0.935,0.061,0.82,0.893,0.936,0.974,1.061
2020-05-23,0.948,0.062,0.834,0.903,0.949,0.992,1.066
2020-05-24,0.96,0.062,0.844,0.915,0.961,1.003,1.084
