,mean,std,2.5%,25%,median,75%,97.5%
2020-03-07,1.512,0.145,1.253,1.41,1.503,1.603,1.839
2020-03-08,1.49,0.135,1.254,1.392,1.487,1.568,1.784
2020-03-09,1.463,0.128,1.24,1.377,1.455,1.54,1.723
2020-03-10,1.436,0.118,1.226,1.353,1.429,1.515,1.688
2020-03-11,1.404,0.108,1.201,1.33,1.397,1.467,1.632
2020-03-12,1.37,0.104,1.177,1.297,1.365,1.433,1.579
2020-03-13,1.339,0.096,1.166,1.272,1.334,1.403,1.534
2020-03-14,1.304,0.092,1.142,1.24,1.303,1.365,1.491
2020-03-15,1.27,0.086,1.107,1.21,1.267,1.322,1.462
2020-03-16,1.238,0.082,1.085,1.183,1.234,1.287,1.414
2020-03-17,1.207,0.08,1.058,1.152,1.206,1.257,1.375
2020-03-18,1.176,0.077,1.035,1.121,1.176,1.225,1.332
2020-03-19,1.148,0.074,1.002,1.101,1.147,1.192,1.301
2020-03-20,1.124,0.068,0.995,1.08,1.123,1.167,1.263
2020-03-21,1.102,0.066,0.979,1.059,1.1,1.144,1.239
2020-03-22,1.079,0.067,0.949,1.032,1.078,1.123,1.211
2020-03-23,1.062,0.067,0.931,1.014,1.064,1.107,1.197
2020-03-24,1.045,0.067,0.912,0.998,1.045,1.087,1.187
2020-03-25,1.028,0.068,0.901,0.982,1.026,1.072,1.168
2020-03-26,1.013,0.065,0.894,0.972,1.011,1.054,1.144
2020-03-27,0.999,0.065,0.878,0.952,0.998,1.043,1.14
2020-03-28,0.987,0.063,0.869,0.945,0.984,1.028,1.12
2020-03-29,0.976,0.063,0.859,0.931,0.976,1.018,1.102
2020-03-30,0.966,0.063,0.85,0.922,0.965,1.007,1.092
2020-03-31,0.957,0.062,0.839,0.915,0.951,1.001,1.086
2020-04-01,0.95,0.065,0.827,0.906,0.949,0.991,1.084
2020-04-02,0.942,0.06,0.831,0.9,0.941,0.981,1.066
2020-04-03,0.933,0.06,0.816,0.893,0.932,0.972,1.059
2020-04-04,0.925,0.059,0.812,0.886,0.923,0.96,1.047
2020-04-05,0.917,0.059,0.799,0.878,0.914,0.954,1.03
2020-04-06,0.909,0.06,0.793,0.869,0.909,0.947,1.028
2020-04-07,0.901,0.06,0.783,0.861,0.9,0.937,1.025
2020-04-08,0.896,0.06,0.783,0.855,0.893,0.933,1.014
2020-04-09,0.89,0.059,0.784,0.849,0.887,0.927,1.016
2020-04-10,0.883,0.059,0.783,0.84,0.878,0.922,1.006
2020-04-11,0.878,0.058,0.776,0.836,0.873,0.916,1.002
2020-04-12,0.871,0.057,0.767,0.83,0.868,0.908,0.991
2020-04-13,0.866,0.056,0.762,0.824,0.865,0.903,0.985
2020-04-14,0.862,0.056,0.758,0.821,0.862,0.896,0.975
2020-04-15,0.856,0.057,0.749,0.816,0.857,0.894,0.971
2020-04-16,0.85,0.056,0.741,0.812,0.848,0.888,0.963
2020-04-17,0.847,0.056,0.738,0.811,0.845,0.884,0.959
2020-04-18,0.845,0.055,0.742,0.808,0.842,0.883,0.954
2020-04-19,0.84,0.054,0.736,0.803,0.841,0.876,0.952
2020-04-20,0.836,0.054,0.733,0.799,0.834,0.873,0.943
2020-04-21,0.834,0.056,0.732,0.794,0.832,0.872,0.946
2020-04-22,0.832,0.055,0.724,0.793,0.832,0.868,0.937
2020-04-23,0.833,0.055,0.723,0.795,0.833,0.868,0.942
2020-04-24,0.831,0.057,0.717,0.794,0.831,0.869,0.941
2020-04-25,0.829,0.055,0.72,0.793,0.829,0.866,0.937
2020-04-26,0.829,0.054,0.723,0.791,0.829,0.867,0.942
2020-04-27,0.828,0.054,0.726,0.789,0.827,0.865,0.926
2020-04-28,0.829,0.055,0.722,0.79,0.825,0.867,0.939
2020-04-29,0.829,0.055,0.724,0.79,0.827,0.866,0.939
2020-04-30,0.829,0.055,0.726,0.789,0.828,0.864,0.945
2020-05-01,0.828,0.054,0.727,0.793,0.828,0.864,0.935
2020-05-02,0.828,0.055,0.721,0.789,0.829,0.865,0.942
2020-05-03,0.827,0.056,0.722,0.788,0.825,0.866,0.947
2020-05-04,0.827,0.055,0.724,0.789,0.825,0.862,0.938
2020-05-05,0.826,0.056,0.719,0.788,0.824,0.862,0.939
2020-05-06,0.825,0.056,0.721,0.785,0.823,0.861,0.941
2020-05-07,0.823,0.056,0.716,0.783,0.82,0.859,0.943
2020-05-08,0.82,0.058,0.716,0.779,0.817,0.855,0.943
2020-05-09,0.819,0.057,0.709,0.779,0.818,0.855,0.945
2020-05-10,0.816,0.057,0.712,0.777,0.814,0.852,0.937
2020-05-11,0.809,0.057,0.702,0.769,0.811,0.844,0.927
2020-05-12,0.807,0.056,0.705,0.77,0.807,0.845,0.916
2020-05-13,0.803,0.057,0.691,0.766,0.8,0.841,0.912
2020-05-14,0.799,0.056,0.697,0.76,0.796,0.84,0.914
2020-05-15,0.793,0.057,0.692,0.754,0.789,0.83,0.907
2020-05-16,0.788,0.056,0.686,0.747,0.787,0.827,0.903
2020-05-17,0.783,0.055,0.684,0.742,0.781,0.819,0.899
2020-05-18,0.78,0.055,0.678,0.744,0.778,0.817,0.892
2020-05-19,0.775,0.055,0.681,0.737,0.771,0.812,0.893
2020-05-20,0.772,0.054,0.671,0.736,0.769,0.808,0.881
2020-05-21,0.766,0.052,0.675,0.73,0.761,0.801,0.878
2020-05-22,0.763,0.053,0.666,0.727,0.76,0.798,0.869
2020-05-23,0.759,0.052,0.662,0.723,0.755,0.796,0.859
2020-05-24,0.756,0.052,0.657,0.719,0.755,0.789,0.865
2020-05-25,0.755,0.052,0.658,0.718,0.752,0.789,0.865
2020-05-26,0.752,0.052,0.654,0.717,0.752,0.788,0.853
2020-05-27,0.749,0.052,0.651,0.713,0.748,0.785,0.849
2020-05-28,0.748,0.051,0.652,0.713,0.747,0.782,0.849
2020-05-29,0.747,0.051,0.648,0.711,0.746,0.78,0.852
2020-05-30,0.747,0.052,0.653,0.711,0.745,0.781,0.853
2020-05-31,0.75,0.052,0.65,0.713,0.748,0.785,0.854
2020-06-01,0.751,0.053,0.646,0.714,0.749,0.787,0.861
2020-06-02,0.751,0.053,0.652,0.714,0.75,0.786,0.859
2020-06-03,0.754,0.053,0.653,0.716,0.753,0.79,0.859
2020-06-04,0.758,0.055,0.658,0.719,0.757,0.796,0.872
2020-06-05,0.764,0.055,0.663,0.726,0.763,0.802,0.876
2020-06-06,0.772,0.054,0.67,0.734,0.77,0.812,0.881
2020-06-07,0.781,0.054,0.682,0.742,0.78,0.819,0.883
2020-06-08,0.789,0.054,0.688,0.752,0.789,0.827,0.896
2020-06-09,0.799,0.055,0.698,0.761,0.797,0.838,0.905
2020-06-10,0.811,0.056,0.704,0.771,0.811,0.851,0.92
2020-06-11,0.823,0.057,0.721,0.781,0.823,0.86,0.946
2020-06-12,0.837,0.058,0.723,0.8,0.837,0.874,0.951
2020-06-13,0.853,0.059,0.741,0.815,0.851,0.892,0.98
2020-06-14,0.87,0.061,0.751,0.833,0.865,0.908,0.998
2020-06-15,0.885,0.062,0.763,0.846,0.881,0.926,1.018
2020-06-16,0.902,0.066,0.781,0.857,0.899,0.944,1.034
2020-06-17,0.918,0.064,0.794,0.876,0.918,0.96,1.044
2020-06-18,0.935,0.065,0.813,0.89,0.934,0.978,1.065
2020-06-19,0.953,0.065,0.834,0.908,0.953,0.997,1.082
2020-06-20,0.97,0.067,0.848,0.922,0.967,1.014,1.107
2020-06-21,0.986,0.067,0.862,0.94,0.985,1.033,1.123
2020-06-22,1.006,0.069,0.876,0.957,1.005,1.051,1.141
2020-06-23,1.023,0.07,0.884,0.977,1.023,1.069,1.167
2020-06-24,1.04,0.071,0.902,0.988,1.037,1.091,1.177
2020-06-25,1.056,0.074,0.913,1.005,1.051,1.106,1.21
2020-06-26,1.071,0.075,0.936,1.02,1.067,1.12,1.225
2020-06-27,1.089,0.077,0.951,1.038,1.087,1.138,1.248
2020-06-28,1.104,0.074,0.964,1.049,1.101,1.154,1.243
2020-06-29,1.116,0.076,0.968,1.066,1.113,1.166,1.277
2020-06-30,1.129,0.076,0.982,1.074,1.126,1.181,1.275
2020-07-01,1.141,0.077,0.989,1.089,1.139,1.189,1.296
2020-07-02,1.154,0.076,1.003,1.099,1.155,1.207,1.307
2020-07-03,1.163,0.078,1.015,1.109,1.165,1.221,1.314
2020-07-04,1.173,0.079,1.028,1.114,1.17,1.228,1.331
2020-07-05,1.181,0.079,1.029,1.123,1.181,1.237,1.332
2020-07-06,1.187,0.081,1.039,1.13,1.184,1.243,1.355
2020-07-07,1.193,0.082,1.038,1.14,1.191,1.245,1.349
2020-07-08,1.196,0.082,1.041,1.142,1.196,1.246,1.367
2020-07-09,1.199,0.082,1.045,1.141,1.201,1.257,1.359
2020-07-10,1.201,0.084,1.049,1.143,1.202,1.258,1.37
2020-07-11,1.202,0.085,1.046,1.143,1.201,1.257,1.376
2020-07-12,1.202,0.084,1.046,1.143,1.201,1.259,1.375
2020-07-13,1.2,0.084,1.047,1.14,1.197,1.258,1.366
2020-07-14,1.196,0.083,1.043,1.14,1.197,1.248,1.363
2020-07-15,1.191,0.082,1.035,1.135,1.192,1.246,1.361
2020-07-16,1.188,0.081,1.031,1.129,1.185,1.24,1.353
2020-07-17,1.182,0.08,1.035,1.126,1.18,1.235,1.341
2020-07-18,1.177,0.079,1.027,1.12,1.176,1.229,1.336
2020-07-19,1.168,0.08,1.02,1.112,1.167,1.222,1.329
2020-07-20,1.158,0.08,1.004,1.106,1.156,1.213,1.322
2020-07-21,1.15,0.079,1.007,1.09,1.151,1.204,1.313
2020-07-22,1.137,0.077,0.995,1.082,1.133,1.19,1.288
2020-07-23,1.125,0.076,0.98,1.072,1.125,1.176,1.271
2020-07-24,1.113,0.075,0.976,1.061,1.112,1.164,1.261
2020-07-25,1.104,0.076,0.964,1.051,1.102,1.153,1.256
2020-07-26,1.09,0.075,0.953,1.04,1.085,1.142,1.231
2020-07-27,1.076,0.074,0.937,1.024,1.072,1.128,1.221
2020-07-28,1.063,0.071,0.932,1.013,1.059,1.113,1.207
2020-07-29,1.049,0.071,0.908,1.002,1.048,1.097,1.195
2020-07-30,1.038,0.07,0.908,0.991,1.036,1.084,1.173
2020-07-31,1.027,0.068,0.9,0.98,1.028,1.069,1.169
2020-08-01,1.015,0.068,0.882,0.969,1.011,1.06,1.152
2020-08-02,1.004,0.067,0.883,0.955,1.003,1.048,1.136
2020-08-03,0.996,0.067,0.868,0.949,0.995,1.038,1.125
2020-08-04,0.987,0.066,0.868,0.942,0.987,1.032,1.117
2020-08-05,0.982,0.067,0.855,0.939,0.981,1.025,1.11
2020-08-06,0.979,0.066,0.855,0.935,0.98,1.023,1.113
2020-08-07,0.975,0.065,0.85,0.932,0.974,1.02,1.101
2020-08-08,0.974,0.065,0.864,0.928,0.971,1.017,1.1
2020-08-09,0.975,0.067,0.852,0.929,0.972,1.019,1.11
2020-08-10,0.974,0.066,0.856,0.926,0.971,1.018,1.104
2020-08-11,0.976,0.066,0.852,0.934,0.973,1.019,1.113
2020-08-12,0.979,0.064,0.861,0.937,0.978,1.023,1.11
2020-08-13,0.984,0.066,0.868,0.938,0.981,1.026,1.123
2020-08-14,0.988,0.065,0.87,0.943,0.985,1.033,1.127
2020-08-15,0.993,0.066,0.871,0.947,0.992,1.036,1.135
2020-08-16,0.998,0.065,0.884,0.953,0.995,1.039,1.13
2020-08-17,1.004,0.065,0.885,0.961,1.001,1.042,1.142
2020-08-18,1.01,0.065,0.891,0.967,1.006,1.05,1.145
