,mean,std,2.5%,25%,median,75%,97.5%
2020-02-23,1.819,0.188,1.491,1.686,1.808,1.93,2.212
2020-02-24,1.802,0.179,1.498,1.673,1.788,1.924,2.167
2020-02-25,1.787,0.169,1.503,1.664,1.771,1.894,2.124
2020-02-26,1.773,0.156,1.514,1.664,1.756,1.871,2.121
2020-02-27,1.753,0.148,1.503,1.646,1.741,1.848,2.076
2020-02-28,1.732,0.141,1.481,1.627,1.719,1.822,2.049
2020-02-29,1.706,0.132,1.469,1.611,1.696,1.796,1.967
2020-03-01,1.674,0.126,1.436,1.584,1.672,1.754,1.937
2020-03-02,1.64,0.117,1.442,1.55,1.634,1.721,1.871
2020-03-03,1.598,0.11,1.386,1.528,1.596,1.671,1.817
2020-03-04,1.558,0.108,1.364,1.483,1.553,1.622,1.788
2020-03-05,1.513,0.101,1.338,1.444,1.507,1.575,1.729
2020-03-06,1.464,0.097,1.284,1.398,1.456,1.527,1.662
2020-03-07,1.418,0.095,1.25,1.348,1.416,1.48,1.611
2020-03-08,1.369,0.09,1.207,1.305,1.368,1.433,1.544
2020-03-09,1.323,0.085,1.171,1.263,1.321,1.377,1.493
2020-03-10,1.279,0.08,1.13,1.218,1.279,1.332,1.436
2020-03-11,1.233,0.077,1.091,1.176,1.234,1.286,1.385
2020-03-12,1.191,0.075,1.055,1.137,1.189,1.242,1.342
2020-03-13,1.149,0.073,1.012,1.1,1.149,1.197,1.287
2020-03-14,1.111,0.069,0.982,1.065,1.111,1.156,1.247
2020-03-15,1.074,0.066,0.953,1.027,1.073,1.116,1.208
2020-03-16,1.04,0.064,0.921,0.995,1.036,1.083,1.172
2020-03-17,1.01,0.062,0.892,0.963,1.008,1.05,1.137
2020-03-18,0.978,0.062,0.865,0.932,0.976,1.019,1.114
2020-03-19,0.948,0.06,0.844,0.902,0.948,0.987,1.075
2020-03-20,0.924,0.058,0.815,0.886,0.923,0.962,1.042
2020-03-21,0.901,0.057,0.798,0.862,0.9,0.938,1.022
2020-03-22,0.879,0.057,0.768,0.84,0.877,0.915,0.99
2020-03-23,0.86,0.057,0.757,0.82,0.857,0.899,0.977
2020-03-24,0.844,0.056,0.739,0.805,0.842,0.882,0.963
2020-03-25,0.825,0.054,0.727,0.787,0.822,0.857,0.937
2020-03-26,0.81,0.053,0.708,0.774,0.81,0.845,0.921
2020-03-27,0.796,0.051,0.698,0.761,0.794,0.828,0.904
2020-03-28,0.785,0.05,0.694,0.75,0.784,0.817,0.89
2020-03-29,0.775,0.051,0.679,0.742,0.772,0.809,0.881
2020-03-30,0.766,0.05,0.67,0.731,0.763,0.798,0.863
2020-03-31,0.755,0.048,0.661,0.725,0.753,0.785,0.855
2020-04-01,0.749,0.048,0.653,0.719,0.747,0.778,0.849
2020-04-02,0.744,0.048,0.656,0.712,0.742,0.772,0.847
2020-04-03,0.739,0.048,0.652,0.705,0.737,0.769,0.842
2020-04-04,0.734,0.049,0.646,0.7,0.732,0.767,0.835
2020-04-05,0.73,0.047,0.644,0.699,0.729,0.762,0.835
2020-04-06,0.728,0.047,0.639,0.696,0.726,0.759,0.823
2020-04-07,0.727,0.047,0.641,0.694,0.726,0.757,0.823
2020-04-08,0.726,0.048,0.633,0.692,0.724,0.757,0.823
2020-04-09,0.727,0.048,0.636,0.693,0.726,0.759,0.826
2020-04-10,0.727,0.049,0.637,0.694,0.724,0.759,0.828
2020-04-11,0.727,0.049,0.635,0.694,0.726,0.758,0.825
2020-04-12,0.729,0.05,0.631,0.696,0.728,0.765,0.823
2020-04-13,0.732,0.05,0.637,0.697,0.731,0.766,0.829
2020-04-14,0.735,0.048,0.645,0.701,0.735,0.769,0.83
2020-04-15,0.74,0.049,0.648,0.706,0.741,0.772,0.836
2020-04-16,0.743,0.047,0.655,0.711,0.743,0.775,0.833
2020-04-17,0.749,0.048,0.658,0.72,0.748,0.78,0.846
2020-04-18,0.757,0.048,0.663,0.728,0.754,0.788,0.859
2020-04-19,0.763,0.049,0.67,0.733,0.762,0.793,0.866
2020-04-20,0.768,0.051,0.667,0.735,0.768,0.799,0.867
2020-04-21,0.774,0.052,0.667,0.742,0.772,0.808,0.884
2020-04-22,0.78,0.053,0.676,0.744,0.778,0.815,0.889
2020-04-23,0.786,0.055,0.682,0.749,0.783,0.824,0.897
2020-04-24,0.794,0.057,0.687,0.753,0.792,0.833,0.905
2020-04-25,0.8,0.056,0.698,0.762,0.802,0.838,0.909
2020-04-26,0.808,0.057,0.7,0.767,0.807,0.848,0.922
2020-04-27,0.816,0.057,0.712,0.778,0.813,0.857,0.929
2020-04-28,0.822,0.058,0.723,0.782,0.816,0.863,0.942
2020-04-29,0.829,0.06,0.72,0.786,0.825,0.869,0.954
2020-04-30,0.837,0.058,0.735,0.796,0.833,0.875,0.96
2020-05-01,0.846,0.057,0.743,0.804,0.844,0.884,0.958
2020-05-02,0.854,0.056,0.753,0.816,0.851,0.891,0.967
2020-05-03,0.863,0.057,0.756,0.825,0.856,0.901,0.986
2020-05-04,0.872,0.056,0.772,0.831,0.868,0.908,0.993
2020-05-05,0.881,0.058,0.773,0.841,0.88,0.917,1.001
2020-05-06,0.891,0.058,0.783,0.853,0.889,0.927,1.006
2020-05-07,0.902,0.055,0.798,0.866,0.902,0.937,1.013
2020-05-08,0.912,0.057,0.801,0.874,0.911,0.947,1.036
2020-05-09,0.924,0.059,0.814,0.886,0.921,0.963,1.044
2020-05-10,0.933,0.06,0.819,0.892,0.934,0.973,1.05
2020-05-11,0.944,0.061,0.831,0.902,0.941,0.985,1.067
2020-05-12,0.957,0.062,0.838,0.915,0.96,0.999,1.081
2020-05-13,0.971,0.063,0.852,0.927,0.974,1.016,1.094
2020-05-14,0.985,0.064,0.859,0.942,0.984,1.028,1.114
2020-05-15,0.997,0.066,0.869,0.952,0.995,1.04,1.133
2020-05-16,1.01,0.064,0.881,0.968,1.008,1.056,1.137
2020-05-17,1.024,0.066,0.893,0.981,1.023,1.068,1.162
2020-05-18,1.041,0.068,0.907,0.996,1.037,1.088,1.184
2020-05-19,1.054,0.068,0.923,1.007,1.052,1.1,1.187
2020-05-20,1.065,0.066,0.941,1.021,1.064,1.109,1.196
2020-05-21,1.078,0.066,0.955,1.036,1.074,1.123,1.214
2020-05-22,1.091,0.066,0.97,1.047,1.086,1.136,1.223
2020-05-23,1.104,0.066,0.983,1.058,1.104,1.147,1.236
2020-05-24,1.112,0.067,0.984,1.065,1.113,1.154,1.251
2020-05-25,1.121,0.069,0.993,1.074,1.119,1.167,1.257
2020-05-26,1.126,0.067,0.995,1.079,1.124,1.173,1.264
2020-05-27,1.129,0.068,0.998,1.085,1.13,1.173,1.261
2020-05-28,1.13,0.067,1.002,1.083,1.128,1.176,1.256
2020-05-29,1.131,0.068,1.006,1.084,1.127,1.178,1.264
2020-05-30,1.129,0.074,0.996,1.077,1.128,1.176,1.281
2020-05-31,1.124,0.076,0.986,1.071,1.119,1.173,1.285
2020-06-01,1.117,0.075,0.972,1.068,1.111,1.164,1.278
2020-06-02,1.108,0.073,0.968,1.06,1.105,1.155,1.251
2020-06-03,1.097,0.074,0.966,1.044,1.095,1.145,1.255
2020-06-04,1.082,0.071,0.949,1.027,1.081,1.129,1.23
2020-06-05,1.066,0.071,0.934,1.017,1.062,1.115,1.198
2020-06-06,1.052,0.07,0.914,1.003,1.051,1.098,1.187
2020-06-07,1.035,0.069,0.903,0.99,1.033,1.08,1.168
2020-06-08,1.017,0.066,0.891,0.97,1.014,1.06,1.15
2020-06-09,0.999,0.064,0.875,0.954,0.998,1.041,1.134
2020-06-10,0.985,0.062,0.872,0.941,0.98,1.026,1.111
2020-06-11,0.972,0.062,0.854,0.929,0.97,1.016,1.091
2020-06-12,0.96,0.062,0.84,0.918,0.961,1.004,1.079
2020-06-13,0.951,0.061,0.835,0.91,0.949,0.991,1.071
2020-06-14,0.942,0.061,0.83,0.901,0.941,0.985,1.066
2020-06-15,0.938,0.06,0.826,0.895,0.933,0.978,1.057
2020-06-16,0.936,0.061,0.83,0.893,0.934,0.976,1.067
2020-06-17,0.934,0.06,0.825,0.891,0.93,0.974,1.062
2020-06-18,0.935,0.061,0.824,0.893,0.934,0.976,1.067
2020-06-19,0.937,0.061,0.823,0.896,0.934,0.977,1.065
2020-06-20,0.939,0.061,0.828,0.898,0.935,0.977,1.07
2020-06-21,0.944,0.062,0.834,0.903,0.941,0.982,1.077
2020-06-22,0.949,0.061,0.839,0.907,0.944,0.987,1.078
2020-06-23,0.956,0.062,0.841,0.914,0.952,0.998,1.081
2020-06-24,0.964,0.062,0.852,0.921,0.96,1.003,1.095
2020-06-25,0.971,0.061,0.86,0.93,0.971,1.008,1.097
2020-06-26,0.979,0.06,0.863,0.94,0.978,1.021,1.094
2020-06-27,0.988,0.062,0.873,0.943,0.986,1.027,1.12
2020-06-28,0.995,0.063,0.879,0.952,0.994,1.036,1.132
2020-06-29,1.004,0.063,0.887,0.958,1.003,1.047,1.143
2020-06-30,1.012,0.065,0.894,0.968,1.009,1.056,1.149
2020-07-01,1.02,0.066,0.903,0.972,1.016,1.061,1.154
2020-07-02,1.028,0.067,0.907,0.981,1.025,1.071,1.17
2020-07-03,1.034,0.07,0.911,0.987,1.029,1.077,1.184
2020-07-04,1.038,0.071,0.908,0.988,1.033,1.085,1.184
2020-07-05,1.045,0.069,0.912,0.994,1.042,1.091,1.184
2020-07-06,1.051,0.069,0.926,1.003,1.05,1.095,1.194
2020-07-07,1.055,0.071,0.933,1.005,1.051,1.102,1.205
2020-07-08,1.059,0.07,0.933,1.013,1.058,1.104,1.212
2020-07-09,1.06,0.07,0.935,1.01,1.056,1.102,1.212
2020-07-10,1.06,0.069,0.93,1.011,1.058,1.105,1.202
2020-07-11,1.06,0.069,0.935,1.015,1.056,1.106,1.206
2020-07-12,1.059,0.068,0.938,1.013,1.055,1.103,1.202
2020-07-13,1.056,0.067,0.927,1.01,1.055,1.1,1.188
2020-07-14,1.053,0.068,0.923,1.007,1.054,1.097,1.186
2020-07-15,1.047,0.068,0.921,1.002,1.045,1.095,1.18
2020-07-16,1.042,0.066,0.922,0.994,1.041,1.086,1.18
2020-07-17,1.033,0.064,0.911,0.99,1.031,1.074,1.164
2020-07-18,1.026,0.064,0.913,0.983,1.023,1.07,1.162
2020-07-19,1.017,0.062,0.899,0.976,1.015,1.058,1.142
2020-07-20,1.011,0.063,0.896,0.968,1.009,1.053,1.137
2020-07-21,1.002,0.063,0.879,0.958,1.001,1.044,1.126
2020-07-22,0.991,0.063,0.871,0.946,0.99,1.031,1.12
2020-07-23,0.984,0.063,0.864,0.942,0.982,1.026,1.115
2020-07-24,0.976,0.063,0.849,0.934,0.975,1.019,1.101
2020-07-25,0.969,0.064,0.847,0.923,0.97,1.013,1.097
2020-07-26,0.961,0.063,0.842,0.914,0.96,1.004,1.076
2020-07-27,0.951,0.06,0.839,0.911,0.95,0.992,1.069
2020-07-28,0.944,0.06,0.827,0.903,0.944,0.983,1.061
2020-07-29,0.937,0.06,0.822,0.896,0.934,0.979,1.058
2020-07-30,0.93,0.062,0.808,0.889,0.928,0.971,1.056
2020-07-31,0.925,0.062,0.81,0.884,0.925,0.965,1.051
2020-08-01,0.921,0.059,0.812,0.879,0.922,0.96,1.038
2020-08-02,0.916,0.06,0.807,0.876,0.915,0.954,1.043
2020-08-03,0.914,0.06,0.798,0.873,0.912,0.954,1.035
2020-08-04,0.913,0.061,0.798,0.871,0.911,0.953,1.038
2020-08-05,0.911,0.06,0.794,0.871,0.91,0.949,1.028
2020-08-06,0.911,0.058,0.801,0.872,0.91,0.947,1.03
2020-08-07,0.914,0.06,0.806,0.874,0.913,0.948,1.041
2020-08-08,0.914,0.059,0.806,0.874,0.912,0.953,1.04
2020-08-09,0.92,0.058,0.812,0.881,0.918,0.958,1.033
2020-08-10,0.927,0.057,0.822,0.888,0.925,0.965,1.044
2020-08-11,0.934,0.059,0.822,0.891,0.934,0.973,1.053
2020-08-12,0.942,0.059,0.827,0.904,0.945,0.98,1.058
2020-08-13,0.951,0.061,0.829,0.909,0.953,0.991,1.068
2020-08-14,0.962,0.059,0.839,0.925,0.962,1.002,1.085
2020-08-15,0.97,0.058,0.86,0.932,0.968,1.009,1.084
2020-08-16,0.979,0.059,0.871,0.937,0.98,1.021,1.091
2020-08-17,0.994,0.063,0.874,0.951,0.994,1.036,1.113
2020-08-18,1.007,0.063,0.884,0.963,1.007,1.051,1.131
2020-08-19,1.022,0.063,0.897,0.977,1.025,1.066,1.147
2020-08-20,1.035,0.064,0.915,0.99,1.034,1.081,1.165
2020-08-21,1.051,0.066,0.924,1.003,1.047,1.095,1.186
2020-08-22,1.068,0.067,0.952,1.019,1.064,1.11,1.208
2020-08-23,1.082,0.067,0.963,1.035,1.082,1.126,1.22
2020-08-24,1.097,0.07,0.969,1.047,1.093,1.14,1.239
2020-08-25,1.11,0.07,0.976,1.064,1.106,1.157,1.252
2020-08-26,1.124,0.073,0.99,1.073,1.124,1.173,1.277
2020-08-27,1.14,0.074,1.005,1.089,1.138,1.19,1.294
2020-08-28,1.154,0.075,1.017,1.103,1.153,1.205,1.303
2020-08-29,1.166,0.076,1.022,1.115,1.162,1.219,1.321
2020-08-30,1.181,0.079,1.032,1.126,1.179,1.232,1.335
2020-08-31,1.19,0.078,1.052,1.136,1.186,1.242,1.347
2020-09-01,1.203,0.08,1.056,1.149,1.201,1.253,1.357
2020-09-02,1.21,0.079,1.061,1.154,1.21,1.266,1.364
2020-09-03,1.219,0.078,1.077,1.162,1.218,1.269,1.378
