,mean,std,2.5%,25%,median,75%,97.5%
2020-02-20,2.526,0.28,2.04,2.335,2.501,2.695,3.115
2020-02-21,2.515,0.27,2.05,2.327,2.493,2.685,3.095
2020-02-22,2.505,0.251,2.087,2.322,2.488,2.67,3.021
2020-02-23,2.484,0.23,2.074,2.322,2.477,2.624,2.946
2020-02-24,2.469,0.22,2.068,2.313,2.461,2.61,2.935
2020-02-25,2.437,0.207,2.062,2.29,2.434,2.581,2.859
2020-02-26,2.399,0.193,2.041,2.261,2.391,2.525,2.775
2020-02-27,2.352,0.18,2.022,2.227,2.347,2.474,2.724
2020-02-28,2.297,0.165,1.995,2.177,2.296,2.408,2.638
2020-02-29,2.239,0.153,1.959,2.133,2.236,2.339,2.56
2020-03-01,2.17,0.143,1.907,2.067,2.163,2.268,2.461
2020-03-02,2.095,0.133,1.841,2.002,2.094,2.185,2.352
2020-03-03,2.013,0.122,1.784,1.93,2.01,2.089,2.265
2020-03-04,1.932,0.116,1.716,1.856,1.928,2.003,2.166
2020-03-05,1.85,0.111,1.631,1.779,1.842,1.923,2.069
2020-03-06,1.767,0.107,1.566,1.697,1.762,1.839,1.974
2020-03-07,1.684,0.102,1.486,1.614,1.683,1.751,1.883
2020-03-08,1.603,0.096,1.418,1.537,1.603,1.666,1.807
2020-03-09,1.529,0.09,1.357,1.467,1.527,1.587,1.712
2020-03-10,1.454,0.086,1.297,1.399,1.45,1.513,1.641
2020-03-11,1.382,0.081,1.227,1.328,1.378,1.436,1.557
2020-03-12,1.314,0.075,1.175,1.266,1.31,1.364,1.463
2020-03-13,1.252,0.073,1.115,1.2,1.25,1.301,1.408
2020-03-14,1.192,0.069,1.069,1.146,1.189,1.237,1.338
2020-03-15,1.136,0.069,1.012,1.091,1.132,1.181,1.278
2020-03-16,1.083,0.065,0.962,1.037,1.082,1.125,1.223
2020-03-17,1.038,0.062,0.916,0.998,1.035,1.079,1.167
2020-03-18,0.998,0.059,0.889,0.958,0.995,1.036,1.127
2020-03-19,0.961,0.058,0.863,0.919,0.958,0.998,1.081
2020-03-20,0.925,0.056,0.825,0.887,0.923,0.962,1.035
2020-03-21,0.894,0.055,0.795,0.855,0.892,0.931,1.005
