,mean,std,2.5%,25%,median,75%,97.5%
2020-03-02,2.327,0.188,1.998,2.195,2.325,2.447,2.705
2020-03-03,2.238,0.175,1.913,2.115,2.23,2.354,2.582
2020-03-04,2.154,0.165,1.831,2.038,2.15,2.269,2.456
2020-03-05,2.069,0.154,1.784,1.964,2.059,2.175,2.389
2020-03-06,1.967,0.136,1.716,1.873,1.959,2.049,2.25
2020-03-07,1.864,0.122,1.63,1.78,1.859,1.945,2.111
2020-03-08,1.764,0.112,1.549,1.687,1.762,1.838,1.995
2020-03-09,1.664,0.102,1.469,1.591,1.66,1.733,1.869
2020-03-10,1.569,0.096,1.373,1.511,1.571,1.629,1.758
2020-03-11,1.479,0.092,1.298,1.413,1.478,1.541,1.655
2020-03-12,1.393,0.086,1.223,1.333,1.393,1.449,1.562
2020-03-13,1.313,0.08,1.162,1.255,1.311,1.366,1.474
2020-03-14,1.24,0.076,1.099,1.183,1.237,1.295,1.392
2020-03-15,1.175,0.072,1.037,1.124,1.175,1.22,1.319
2020-03-16,1.111,0.07,0.971,1.065,1.11,1.155,1.254
2020-03-17,1.054,0.066,0.933,1.008,1.05,1.095,1.192
2020-03-18,1.0,0.06,0.892,0.957,0.997,1.04,1.123
2020-03-19,0.954,0.06,0.846,0.91,0.953,0.993,1.074
2020-03-20,0.911,0.058,0.801,0.871,0.912,0.949,1.035
2020-03-21,0.87,0.056,0.766,0.832,0.87,0.908,0.981
2020-03-22,0.834,0.053,0.733,0.795,0.834,0.871,0.944
2020-03-23,0.802,0.051,0.704,0.767,0.799,0.836,0.904
2020-03-24,0.772,0.049,0.682,0.738,0.768,0.804,0.879
2020-03-25,0.743,0.048,0.657,0.709,0.741,0.778,0.839
2020-03-26,0.719,0.046,0.637,0.687,0.717,0.75,0.811
2020-03-27,0.694,0.045,0.613,0.663,0.693,0.724,0.787
2020-03-28,0.674,0.045,0.59,0.643,0.673,0.702,0.761
2020-03-29,0.654,0.044,0.57,0.626,0.653,0.68,0.746
2020-03-30,0.636,0.042,0.551,0.609,0.636,0.662,0.722
2020-03-31,0.62,0.042,0.54,0.592,0.62,0.646,0.706
2020-04-01,0.606,0.042,0.527,0.58,0.604,0.633,0.691
2020-04-02,0.594,0.042,0.511,0.565,0.594,0.622,0.68
2020-04-03,0.582,0.04,0.508,0.555,0.581,0.61,0.662
2020-04-04,0.572,0.039,0.498,0.544,0.571,0.599,0.648
2020-04-05,0.563,0.039,0.487,0.536,0.563,0.59,0.642
2020-04-06,0.557,0.039,0.484,0.53,0.556,0.582,0.635
2020-04-07,0.55,0.038,0.485,0.524,0.549,0.573,0.629
2020-04-08,0.546,0.037,0.478,0.521,0.544,0.57,0.621
2020-04-09,0.543,0.038,0.474,0.517,0.542,0.566,0.62
2020-04-10,0.539,0.038,0.469,0.511,0.539,0.564,0.621
2020-04-11,0.535,0.037,0.465,0.509,0.535,0.56,0.614
2020-04-12,0.534,0.038,0.464,0.506,0.533,0.56,0.606
2020-04-13,0.533,0.038,0.461,0.505,0.532,0.562,0.609
2020-04-14,0.534,0.038,0.463,0.509,0.532,0.558,0.612
2020-04-15,0.535,0.038,0.462,0.51,0.534,0.56,0.609
2020-04-16,0.537,0.038,0.466,0.511,0.536,0.565,0.617
2020-04-17,0.541,0.038,0.469,0.515,0.539,0.566,0.618
2020-04-18,0.545,0.038,0.473,0.519,0.543,0.571,0.619
2020-04-19,0.55,0.04,0.479,0.522,0.547,0.575,0.633
2020-04-20,0.557,0.04,0.483,0.528,0.554,0.582,0.639
2020-04-21,0.563,0.041,0.488,0.535,0.561,0.591,0.648
2020-04-22,0.573,0.042,0.495,0.544,0.57,0.6,0.664
2020-04-23,0.581,0.042,0.504,0.553,0.58,0.607,0.667
2020-04-24,0.59,0.043,0.51,0.558,0.589,0.618,0.678
2020-04-25,0.599,0.044,0.511,0.568,0.597,0.63,0.691
2020-04-26,0.61,0.044,0.531,0.579,0.607,0.64,0.702
2020-04-27,0.621,0.046,0.537,0.589,0.619,0.651,0.716
2020-04-28,0.633,0.048,0.552,0.598,0.632,0.664,0.731
2020-04-29,0.645,0.049,0.553,0.612,0.641,0.676,0.751
2020-04-30,0.658,0.051,0.561,0.625,0.659,0.689,0.767
2020-05-01,0.672,0.051,0.574,0.639,0.672,0.702,0.782
2020-05-02,0.685,0.052,0.587,0.651,0.684,0.72,0.791
2020-05-03,0.698,0.052,0.601,0.663,0.696,0.732,0.806
2020-05-04,0.714,0.053,0.616,0.678,0.711,0.747,0.819
2020-05-05,0.729,0.054,0.627,0.692,0.726,0.762,0.837
2020-05-06,0.746,0.054,0.641,0.709,0.746,0.78,0.858
