,mean,std,2.5%,25%,median,75%,97.5%
2020-03-07,1.479,0.131,1.23,1.389,1.471,1.561,1.742
2020-03-08,1.455,0.124,1.219,1.365,1.454,1.537,1.689
2020-03-09,1.433,0.122,1.205,1.35,1.43,1.515,1.68
2020-03-10,1.407,0.115,1.201,1.324,1.405,1.488,1.639
2020-03-11,1.381,0.104,1.201,1.31,1.374,1.457,1.59
2020-03-12,1.353,0.098,1.176,1.285,1.352,1.418,1.546
2020-03-13,1.325,0.093,1.158,1.259,1.32,1.386,1.523
2020-03-14,1.295,0.09,1.124,1.233,1.289,1.352,1.494
2020-03-15,1.263,0.083,1.115,1.202,1.261,1.313,1.434
2020-03-16,1.232,0.079,1.095,1.176,1.23,1.279,1.394
2020-03-17,1.198,0.072,1.059,1.15,1.197,1.244,1.346
2020-03-18,1.166,0.068,1.038,1.12,1.165,1.212,1.307
2020-03-19,1.137,0.067,1.015,1.091,1.135,1.18,1.274
2020-03-20,1.107,0.063,0.991,1.064,1.105,1.147,1.243
2020-03-21,1.076,0.063,0.968,1.03,1.075,1.118,1.201
2020-03-22,1.048,0.063,0.934,1.001,1.048,1.091,1.174
2020-03-23,1.021,0.061,0.912,0.977,1.021,1.06,1.147
2020-03-24,0.996,0.062,0.881,0.952,0.994,1.039,1.115
2020-03-25,0.972,0.062,0.856,0.927,0.969,1.013,1.098
2020-03-26,0.947,0.058,0.837,0.909,0.944,0.984,1.068
2020-03-27,0.923,0.057,0.815,0.884,0.923,0.961,1.037
2020-03-28,0.9,0.055,0.795,0.862,0.898,0.936,1.015
2020-03-29,0.879,0.055,0.778,0.843,0.877,0.915,0.994
2020-03-30,0.858,0.054,0.755,0.82,0.858,0.893,0.966
2020-03-31,0.839,0.055,0.741,0.802,0.838,0.874,0.956
2020-04-01,0.821,0.053,0.723,0.783,0.82,0.853,0.93
2020-04-02,0.802,0.052,0.704,0.766,0.802,0.831,0.914
2020-04-03,0.786,0.052,0.68,0.749,0.788,0.818,0.893
2020-04-04,0.77,0.051,0.672,0.736,0.769,0.8,0.88
2020-04-05,0.755,0.052,0.658,0.718,0.754,0.789,0.85
2020-04-06,0.738,0.052,0.646,0.703,0.734,0.775,0.846
2020-04-07,0.725,0.05,0.635,0.691,0.723,0.755,0.83
2020-04-08,0.712,0.049,0.621,0.678,0.71,0.744,0.812
2020-04-09,0.699,0.048,0.61,0.666,0.697,0.729,0.8
2020-04-10,0.687,0.048,0.593,0.655,0.685,0.719,0.785
2020-04-11,0.676,0.046,0.591,0.645,0.674,0.705,0.77
2020-04-12,0.666,0.046,0.583,0.636,0.663,0.696,0.765
2020-04-13,0.659,0.045,0.58,0.625,0.658,0.689,0.755
2020-04-14,0.652,0.044,0.573,0.621,0.65,0.68,0.742
2020-04-15,0.646,0.044,0.563,0.616,0.646,0.674,0.737
2020-04-16,0.641,0.044,0.559,0.61,0.638,0.671,0.725
2020-04-17,0.636,0.044,0.556,0.605,0.634,0.666,0.727
2020-04-18,0.633,0.044,0.551,0.599,0.631,0.663,0.724
2020-04-19,0.631,0.044,0.549,0.599,0.628,0.662,0.717
2020-04-20,0.632,0.045,0.544,0.6,0.63,0.664,0.72
2020-04-21,0.632,0.045,0.542,0.601,0.63,0.662,0.724
2020-04-22,0.634,0.046,0.55,0.604,0.63,0.666,0.721
2020-04-23,0.638,0.046,0.553,0.607,0.637,0.667,0.731
2020-04-24,0.641,0.046,0.555,0.611,0.638,0.669,0.739
2020-04-25,0.645,0.047,0.558,0.613,0.643,0.674,0.743
2020-04-26,0.651,0.046,0.57,0.622,0.648,0.679,0.752
2020-04-27,0.657,0.047,0.57,0.625,0.656,0.687,0.752
2020-04-28,0.665,0.048,0.574,0.632,0.665,0.695,0.764
2020-04-29,0.674,0.048,0.581,0.641,0.672,0.708,0.771
2020-04-30,0.683,0.049,0.589,0.648,0.68,0.718,0.78
2020-05-01,0.694,0.05,0.598,0.66,0.692,0.727,0.798
2020-05-02,0.705,0.049,0.612,0.672,0.703,0.739,0.804
2020-05-03,0.716,0.05,0.623,0.68,0.715,0.75,0.814
2020-05-04,0.727,0.052,0.632,0.69,0.727,0.764,0.827
2020-05-05,0.739,0.053,0.64,0.701,0.736,0.774,0.851
2020-05-06,0.751,0.053,0.65,0.714,0.751,0.786,0.863
2020-05-07,0.767,0.053,0.667,0.732,0.763,0.804,0.871
2020-05-08,0.782,0.057,0.674,0.743,0.78,0.819,0.888
2020-05-09,0.796,0.056,0.691,0.758,0.797,0.832,0.908
2020-05-10,0.812,0.059,0.701,0.772,0.809,0.853,0.921
2020-05-11,0.827,0.06,0.717,0.785,0.824,0.868,0.948
2020-05-12,0.843,0.061,0.725,0.801,0.843,0.884,0.968
2020-05-13,0.86,0.062,0.743,0.815,0.859,0.902,0.984
2020-05-14,0.876,0.062,0.759,0.836,0.876,0.914,1.002
2020-05-15,0.892,0.064,0.782,0.849,0.89,0.93,1.034
2020-05-16,0.909,0.066,0.789,0.864,0.908,0.949,1.048
2020-05-17,0.926,0.069,0.802,0.88,0.922,0.97,1.074
2020-05-18,0.943,0.068,0.824,0.898,0.942,0.985,1.075
2020-05-19,0.961,0.069,0.838,0.911,0.958,1.007,1.102
2020-05-20,0.976,0.069,0.847,0.929,0.974,1.024,1.118
2020-05-21,0.993,0.069,0.86,0.946,0.99,1.041,1.133
2020-05-22,1.007,0.068,0.877,0.962,1.003,1.054,1.15
2020-05-23,1.019,0.069,0.891,0.97,1.015,1.066,1.16
2020-05-24,1.034,0.069,0.906,0.987,1.029,1.083,1.172
2020-05-25,1.048,0.069,0.92,0.999,1.048,1.095,1.18
2020-05-26,1.058,0.07,0.927,1.011,1.056,1.103,1.195
2020-05-27,1.066,0.07,0.933,1.018,1.064,1.111,1.204
2020-05-28,1.076,0.072,0.939,1.027,1.074,1.119,1.222
2020-05-29,1.079,0.069,0.95,1.032,1.078,1.126,1.217
2020-05-30,1.085,0.07,0.946,1.041,1.084,1.13,1.231
2020-05-31,1.086,0.071,0.952,1.04,1.085,1.131,1.23
2020-06-01,1.09,0.071,0.948,1.043,1.09,1.137,1.227
2020-06-02,1.09,0.072,0.959,1.04,1.087,1.136,1.245
2020-06-03,1.09,0.074,0.954,1.038,1.087,1.134,1.249
2020-06-04,1.088,0.074,0.948,1.038,1.087,1.134,1.247
2020-06-05,1.081,0.074,0.941,1.03,1.08,1.129,1.229
2020-06-06,1.075,0.072,0.931,1.027,1.075,1.118,1.215
2020-06-07,1.069,0.073,0.942,1.019,1.063,1.116,1.22
2020-06-08,1.063,0.074,0.93,1.01,1.061,1.114,1.218
2020-06-09,1.059,0.075,0.925,1.004,1.055,1.109,1.204
2020-06-10,1.053,0.075,0.92,0.998,1.049,1.107,1.211
2020-06-11,1.047,0.073,0.915,0.997,1.041,1.094,1.207
2020-06-12,1.04,0.075,0.905,0.988,1.036,1.086,1.212
2020-06-13,1.038,0.073,0.91,0.986,1.036,1.084,1.183
2020-06-14,1.035,0.072,0.907,0.984,1.03,1.081,1.185
2020-06-15,1.032,0.071,0.906,0.982,1.029,1.078,1.181
2020-06-16,1.031,0.071,0.905,0.98,1.026,1.079,1.178
2020-06-17,1.028,0.069,0.902,0.978,1.026,1.076,1.167
2020-06-18,1.026,0.067,0.902,0.977,1.026,1.071,1.167
2020-06-19,1.027,0.068,0.901,0.978,1.024,1.071,1.178
2020-06-20,1.03,0.066,0.907,0.986,1.027,1.068,1.17
2020-06-21,1.03,0.067,0.904,0.987,1.027,1.075,1.173
2020-06-22,1.032,0.066,0.911,0.989,1.029,1.073,1.176
2020-06-23,1.036,0.067,0.912,0.992,1.033,1.079,1.175
2020-06-24,1.038,0.066,0.92,0.991,1.034,1.08,1.178
2020-06-25,1.041,0.063,0.921,0.998,1.037,1.084,1.173
2020-06-26,1.044,0.065,0.923,0.998,1.04,1.087,1.178
2020-06-27,1.048,0.066,0.922,1.006,1.043,1.091,1.184
2020-06-28,1.051,0.068,0.923,1.005,1.05,1.094,1.191
2020-06-29,1.053,0.069,0.919,1.007,1.054,1.099,1.188
2020-06-30,1.056,0.071,0.925,1.007,1.056,1.103,1.206
