,mean,std,2.5%,25%,median,75%,97.5%
2020-02-29,1.461,0.14,1.198,1.371,1.451,1.547,1.767
2020-03-01,1.446,0.13,1.219,1.354,1.439,1.526,1.713
2020-03-02,1.433,0.126,1.211,1.346,1.424,1.512,1.699
2020-03-03,1.415,0.12,1.191,1.333,1.407,1.489,1.659
2020-03-04,1.398,0.115,1.192,1.318,1.394,1.47,1.637
2020-03-05,1.381,0.112,1.175,1.306,1.378,1.447,1.607
2020-03-06,1.357,0.106,1.16,1.28,1.351,1.425,1.576
2020-03-07,1.328,0.102,1.142,1.258,1.325,1.399,1.537
2020-03-08,1.297,0.095,1.11,1.231,1.291,1.36,1.494
2020-03-09,1.261,0.088,1.088,1.201,1.257,1.317,1.439
2020-03-10,1.225,0.081,1.079,1.168,1.22,1.276,1.384
2020-03-11,1.186,0.078,1.036,1.136,1.184,1.235,1.345
2020-03-12,1.15,0.072,1.01,1.101,1.148,1.196,1.298
2020-03-13,1.112,0.069,0.982,1.066,1.112,1.156,1.258
2020-03-14,1.075,0.066,0.953,1.032,1.074,1.121,1.204
2020-03-15,1.039,0.064,0.921,0.997,1.036,1.081,1.168
2020-03-16,1.005,0.062,0.879,0.962,1.001,1.045,1.132
2020-03-17,0.972,0.059,0.862,0.931,0.969,1.016,1.079
2020-03-18,0.943,0.057,0.839,0.901,0.939,0.983,1.054
2020-03-19,0.914,0.055,0.814,0.875,0.913,0.949,1.029
2020-03-20,0.888,0.051,0.792,0.851,0.885,0.925,0.987
2020-03-21,0.865,0.051,0.767,0.83,0.864,0.901,0.966
2020-03-22,0.844,0.05,0.745,0.809,0.844,0.879,0.945
2020-03-23,0.827,0.051,0.731,0.794,0.825,0.862,0.93
2020-03-24,0.811,0.051,0.714,0.778,0.81,0.844,0.91
2020-03-25,0.797,0.049,0.709,0.763,0.794,0.83,0.895
2020-03-26,0.787,0.048,0.696,0.754,0.785,0.816,0.886
2020-03-27,0.777,0.047,0.689,0.744,0.775,0.808,0.872
2020-03-28,0.766,0.047,0.681,0.733,0.767,0.798,0.856
2020-03-29,0.759,0.047,0.673,0.727,0.759,0.79,0.858
2020-03-30,0.752,0.047,0.669,0.719,0.752,0.784,0.851
2020-03-31,0.749,0.049,0.657,0.716,0.75,0.78,0.851
2020-04-01,0.745,0.049,0.649,0.712,0.744,0.777,0.84
2020-04-02,0.743,0.049,0.651,0.711,0.74,0.773,0.845
2020-04-03,0.74,0.048,0.648,0.706,0.739,0.774,0.839
2020-04-04,0.739,0.048,0.651,0.706,0.737,0.771,0.832
2020-04-05,0.735,0.048,0.643,0.704,0.734,0.766,0.836
2020-04-06,0.734,0.048,0.645,0.703,0.732,0.766,0.835
2020-04-07,0.734,0.049,0.64,0.699,0.731,0.765,0.832
2020-04-08,0.733,0.049,0.641,0.698,0.732,0.765,0.83
2020-04-09,0.734,0.049,0.648,0.699,0.731,0.766,0.838
2020-04-10,0.736,0.049,0.647,0.7,0.736,0.768,0.839
2020-04-11,0.737,0.05,0.641,0.702,0.735,0.772,0.838
2020-04-12,0.738,0.05,0.646,0.702,0.737,0.773,0.84
2020-04-13,0.739,0.05,0.652,0.702,0.736,0.77,0.843
2020-04-14,0.739,0.049,0.647,0.704,0.738,0.772,0.845
2020-04-15,0.742,0.049,0.649,0.707,0.742,0.774,0.839
2020-04-16,0.743,0.048,0.654,0.71,0.743,0.774,0.842
2020-04-17,0.747,0.049,0.65,0.713,0.745,0.778,0.851
2020-04-18,0.751,0.048,0.658,0.719,0.748,0.781,0.852
2020-04-19,0.755,0.048,0.666,0.723,0.753,0.786,0.851
2020-04-20,0.76,0.048,0.669,0.729,0.76,0.79,0.856
2020-04-21,0.767,0.048,0.674,0.733,0.766,0.796,0.87
2020-04-22,0.774,0.048,0.688,0.741,0.772,0.803,0.876
2020-04-23,0.783,0.05,0.694,0.749,0.781,0.814,0.891
2020-04-24,0.793,0.051,0.703,0.758,0.792,0.826,0.898
2020-04-25,0.804,0.052,0.707,0.768,0.801,0.839,0.912
2020-04-26,0.815,0.052,0.723,0.78,0.812,0.85,0.923
2020-04-27,0.829,0.053,0.731,0.791,0.826,0.863,0.937
2020-04-28,0.843,0.055,0.742,0.804,0.841,0.879,0.956
2020-04-29,0.86,0.055,0.756,0.821,0.859,0.895,0.978
2020-04-30,0.875,0.058,0.765,0.833,0.871,0.913,1.0
2020-05-01,0.893,0.057,0.79,0.853,0.89,0.932,1.015
2020-05-02,0.91,0.058,0.801,0.867,0.907,0.949,1.03
2020-05-03,0.929,0.06,0.821,0.886,0.928,0.97,1.047
2020-05-04,0.947,0.061,0.842,0.903,0.943,0.988,1.077
2020-05-05,0.968,0.063,0.858,0.925,0.963,1.008,1.101
2020-05-06,0.988,0.063,0.868,0.945,0.986,1.027,1.116
2020-05-07,1.007,0.063,0.888,0.961,1.007,1.048,1.132
2020-05-08,1.025,0.062,0.907,0.979,1.024,1.068,1.149
2020-05-09,1.045,0.062,0.926,1.001,1.046,1.087,1.169
