,mean,std,2.5%,25%,median,75%,97.5%
2020-03-07,1.291,0.129,1.063,1.2,1.278,1.373,1.565
2020-03-08,1.273,0.122,1.062,1.185,1.263,1.353,1.538
2020-03-09,1.256,0.115,1.058,1.169,1.248,1.335,1.503
2020-03-10,1.24,0.111,1.049,1.159,1.232,1.307,1.472
2020-03-11,1.219,0.103,1.036,1.143,1.213,1.288,1.426
2020-03-12,1.197,0.096,1.026,1.13,1.189,1.261,1.402
2020-03-13,1.173,0.094,1.007,1.106,1.168,1.233,1.378
2020-03-14,1.15,0.087,0.99,1.091,1.145,1.204,1.325
2020-03-15,1.123,0.081,0.965,1.069,1.122,1.176,1.294
2020-03-16,1.098,0.079,0.945,1.043,1.102,1.148,1.258
2020-03-17,1.071,0.076,0.928,1.02,1.07,1.12,1.222
2020-03-18,1.046,0.074,0.9,0.992,1.047,1.093,1.187
2020-03-19,1.024,0.071,0.884,0.979,1.019,1.074,1.166
2020-03-20,1.0,0.066,0.885,0.954,0.998,1.044,1.136
2020-03-21,0.977,0.061,0.863,0.933,0.977,1.016,1.098
2020-03-22,0.953,0.06,0.84,0.912,0.953,0.994,1.077
2020-03-23,0.931,0.06,0.816,0.89,0.926,0.971,1.055
2020-03-24,0.911,0.058,0.81,0.874,0.908,0.95,1.029
2020-03-25,0.89,0.057,0.783,0.851,0.886,0.929,1.002
2020-03-26,0.873,0.055,0.769,0.834,0.873,0.909,0.984
2020-03-27,0.856,0.055,0.752,0.819,0.854,0.893,0.966
2020-03-28,0.842,0.055,0.736,0.805,0.84,0.876,0.954
2020-03-29,0.828,0.055,0.727,0.792,0.825,0.864,0.945
2020-03-30,0.816,0.054,0.715,0.782,0.814,0.851,0.924
2020-03-31,0.806,0.053,0.706,0.77,0.803,0.84,0.912
2020-04-01,0.797,0.051,0.704,0.762,0.794,0.83,0.9
2020-04-02,0.789,0.051,0.698,0.751,0.788,0.821,0.896
2020-04-03,0.78,0.05,0.687,0.748,0.78,0.811,0.884
2020-04-04,0.772,0.049,0.679,0.739,0.772,0.805,0.867
2020-04-05,0.766,0.049,0.676,0.734,0.765,0.8,0.867
2020-04-06,0.761,0.049,0.667,0.728,0.761,0.793,0.86
2020-04-07,0.755,0.049,0.661,0.722,0.756,0.789,0.849
2020-04-08,0.752,0.05,0.655,0.719,0.752,0.785,0.851
2020-04-09,0.748,0.049,0.655,0.715,0.748,0.781,0.845
2020-04-10,0.745,0.05,0.652,0.71,0.744,0.779,0.847
2020-04-11,0.742,0.049,0.655,0.705,0.741,0.776,0.838
2020-04-12,0.738,0.05,0.645,0.705,0.738,0.771,0.84
2020-04-13,0.734,0.05,0.639,0.698,0.732,0.766,0.833
2020-04-14,0.73,0.05,0.639,0.695,0.727,0.765,0.832
2020-04-15,0.727,0.05,0.634,0.691,0.726,0.76,0.83
2020-04-16,0.724,0.053,0.62,0.687,0.723,0.758,0.828
2020-04-17,0.719,0.052,0.622,0.684,0.72,0.753,0.829
2020-04-18,0.715,0.052,0.616,0.68,0.712,0.746,0.824
2020-04-19,0.71,0.05,0.62,0.675,0.707,0.744,0.817
2020-04-20,0.706,0.049,0.618,0.673,0.703,0.738,0.809
2020-04-21,0.701,0.048,0.614,0.665,0.701,0.736,0.797
