,mean,std,2.5%,25%,median,75%,97.5%
2020-02-29,1.391,0.145,1.122,1.297,1.384,1.481,1.718
2020-03-01,1.378,0.135,1.132,1.287,1.369,1.461,1.66
2020-03-02,1.362,0.128,1.13,1.277,1.354,1.447,1.645
2020-03-03,1.349,0.119,1.131,1.268,1.35,1.426,1.592
2020-03-04,1.335,0.114,1.13,1.252,1.334,1.416,1.557
2020-03-05,1.318,0.106,1.122,1.239,1.32,1.388,1.528
2020-03-06,1.297,0.099,1.103,1.231,1.293,1.364,1.5
2020-03-07,1.276,0.095,1.099,1.215,1.27,1.338,1.478
2020-03-08,1.25,0.091,1.079,1.192,1.247,1.308,1.439
2020-03-09,1.222,0.086,1.061,1.164,1.217,1.274,1.407
2020-03-10,1.193,0.083,1.04,1.135,1.193,1.248,1.362
2020-03-11,1.166,0.079,1.018,1.111,1.162,1.224,1.321
2020-03-12,1.139,0.077,0.994,1.085,1.143,1.189,1.295
2020-03-13,1.112,0.074,0.972,1.06,1.112,1.162,1.255
2020-03-14,1.085,0.071,0.953,1.035,1.087,1.131,1.215
2020-03-15,1.058,0.068,0.923,1.011,1.058,1.104,1.19
2020-03-16,1.03,0.064,0.901,0.987,1.031,1.073,1.15
2020-03-17,1.004,0.064,0.89,0.958,1.002,1.05,1.13
2020-03-18,0.981,0.062,0.868,0.938,0.976,1.024,1.102
2020-03-19,0.956,0.062,0.843,0.915,0.954,1.0,1.08
2020-03-20,0.932,0.058,0.828,0.893,0.93,0.972,1.048
2020-03-21,0.91,0.055,0.806,0.872,0.906,0.949,1.021
2020-03-22,0.89,0.052,0.79,0.853,0.888,0.926,0.994
2020-03-23,0.869,0.051,0.77,0.833,0.869,0.901,0.979
2020-03-24,0.854,0.051,0.756,0.819,0.853,0.885,0.961
2020-03-25,0.837,0.051,0.745,0.802,0.836,0.873,0.938
2020-03-26,0.822,0.05,0.732,0.786,0.821,0.855,0.922
2020-03-27,0.808,0.05,0.716,0.772,0.807,0.838,0.91
2020-03-28,0.793,0.049,0.706,0.76,0.791,0.824,0.894
2020-03-29,0.781,0.05,0.685,0.745,0.779,0.813,0.881
2020-03-30,0.771,0.05,0.678,0.737,0.769,0.803,0.872
2020-03-31,0.761,0.049,0.671,0.727,0.759,0.792,0.863
2020-04-01,0.753,0.05,0.659,0.717,0.754,0.785,0.854
2020-04-02,0.746,0.05,0.657,0.711,0.744,0.779,0.85
2020-04-03,0.739,0.052,0.643,0.703,0.737,0.773,0.843
2020-04-04,0.736,0.052,0.642,0.701,0.733,0.771,0.845
2020-04-05,0.734,0.051,0.637,0.698,0.733,0.769,0.839
2020-04-06,0.731,0.05,0.639,0.696,0.731,0.767,0.829
2020-04-07,0.731,0.05,0.637,0.697,0.73,0.764,0.836
2020-04-08,0.731,0.05,0.633,0.697,0.73,0.762,0.833
2020-04-09,0.732,0.049,0.64,0.698,0.732,0.766,0.831
2020-04-10,0.733,0.046,0.641,0.701,0.733,0.762,0.829
2020-04-11,0.736,0.047,0.646,0.703,0.736,0.768,0.822
2020-04-12,0.74,0.048,0.649,0.709,0.738,0.771,0.841
2020-04-13,0.746,0.047,0.662,0.713,0.748,0.778,0.839
2020-04-14,0.752,0.047,0.66,0.72,0.75,0.782,0.844
2020-04-15,0.758,0.048,0.668,0.726,0.757,0.789,0.852
2020-04-16,0.766,0.049,0.68,0.732,0.763,0.798,0.86
2020-04-17,0.776,0.05,0.684,0.739,0.774,0.809,0.878
2020-04-18,0.786,0.05,0.696,0.749,0.783,0.82,0.884
2020-04-19,0.797,0.052,0.703,0.76,0.796,0.829,0.902
2020-04-20,0.809,0.054,0.7,0.772,0.807,0.843,0.919
2020-04-21,0.821,0.055,0.714,0.786,0.822,0.856,0.931
2020-04-22,0.833,0.055,0.732,0.795,0.834,0.869,0.949
2020-04-23,0.846,0.056,0.74,0.809,0.845,0.885,0.954
2020-04-24,0.86,0.056,0.75,0.823,0.861,0.894,0.973
2020-04-25,0.873,0.055,0.764,0.836,0.873,0.91,0.983
2020-04-26,0.887,0.058,0.784,0.845,0.885,0.927,1.001
2020-04-27,0.9,0.057,0.8,0.858,0.898,0.935,1.018
2020-04-28,0.914,0.058,0.803,0.873,0.913,0.953,1.038
