,mean,std,2.5%,25%,median,75%,97.5%
2020-03-03,1.26,0.122,1.042,1.176,1.254,1.336,1.524
2020-03-04,1.243,0.116,1.035,1.164,1.239,1.314,1.493
2020-03-05,1.229,0.108,1.035,1.158,1.223,1.295,1.448
2020-03-06,1.212,0.104,1.026,1.14,1.204,1.277,1.431
2020-03-07,1.193,0.097,1.022,1.128,1.186,1.254,1.398
2020-03-08,1.172,0.094,1.01,1.108,1.165,1.232,1.365
2020-03-09,1.149,0.088,0.991,1.088,1.144,1.204,1.341
2020-03-10,1.124,0.083,0.978,1.065,1.12,1.177,1.294
2020-03-11,1.099,0.075,0.978,1.042,1.096,1.147,1.243
2020-03-12,1.072,0.071,0.951,1.022,1.069,1.12,1.217
2020-03-13,1.044,0.069,0.926,0.996,1.039,1.085,1.181
2020-03-14,1.017,0.066,0.897,0.971,1.013,1.06,1.157
2020-03-15,0.992,0.066,0.876,0.946,0.988,1.034,1.143
2020-03-16,0.965,0.065,0.847,0.921,0.959,1.005,1.098
2020-03-17,0.938,0.063,0.824,0.894,0.933,0.98,1.069
2020-03-18,0.914,0.061,0.802,0.871,0.911,0.956,1.042
2020-03-19,0.892,0.06,0.784,0.852,0.889,0.932,1.019
2020-03-20,0.87,0.059,0.757,0.83,0.869,0.911,0.988
2020-03-21,0.849,0.054,0.747,0.81,0.849,0.883,0.96
2020-03-22,0.831,0.053,0.732,0.795,0.831,0.865,0.944
2020-03-23,0.813,0.053,0.71,0.78,0.811,0.845,0.926
2020-03-24,0.796,0.052,0.702,0.763,0.795,0.829,0.905
2020-03-25,0.781,0.051,0.687,0.745,0.78,0.814,0.88
2020-03-26,0.768,0.05,0.679,0.73,0.769,0.803,0.867
2020-03-27,0.757,0.049,0.662,0.724,0.755,0.791,0.848
2020-03-28,0.747,0.049,0.648,0.716,0.746,0.779,0.837
2020-03-29,0.739,0.048,0.646,0.705,0.737,0.771,0.836
2020-03-30,0.733,0.048,0.643,0.698,0.733,0.765,0.833
2020-03-31,0.726,0.049,0.634,0.694,0.725,0.759,0.824
2020-04-01,0.723,0.05,0.632,0.69,0.723,0.756,0.838
