,mean,std,2.5%,25%,median,75%,97.5%
2020-03-02,1.256,0.117,1.04,1.176,1.256,1.332,1.492
2020-03-03,1.244,0.109,1.046,1.169,1.247,1.312,1.48
2020-03-04,1.235,0.102,1.041,1.164,1.238,1.298,1.446
2020-03-05,1.221,0.096,1.035,1.16,1.22,1.281,1.412
2020-03-06,1.207,0.091,1.031,1.144,1.208,1.262,1.395
2020-03-07,1.191,0.085,1.025,1.136,1.19,1.246,1.358
2020-03-08,1.174,0.08,1.021,1.122,1.173,1.223,1.346
2020-03-09,1.156,0.076,1.012,1.107,1.156,1.201,1.317
2020-03-10,1.136,0.075,1.001,1.084,1.136,1.184,1.292
2020-03-11,1.117,0.072,0.982,1.068,1.113,1.165,1.263
2020-03-12,1.095,0.07,0.959,1.049,1.092,1.141,1.24
2020-03-13,1.07,0.066,0.941,1.027,1.068,1.114,1.211
2020-03-14,1.05,0.065,0.929,1.005,1.048,1.091,1.184
2020-03-15,1.027,0.062,0.904,0.99,1.028,1.067,1.157
2020-03-16,1.007,0.062,0.894,0.966,1.007,1.046,1.14
2020-03-17,0.984,0.059,0.869,0.945,0.984,1.023,1.111
2020-03-18,0.963,0.057,0.862,0.925,0.962,0.999,1.077
2020-03-19,0.942,0.055,0.837,0.904,0.939,0.978,1.049
2020-03-20,0.921,0.051,0.825,0.884,0.921,0.957,1.017
2020-03-21,0.903,0.052,0.805,0.87,0.901,0.935,1.012
2020-03-22,0.885,0.051,0.792,0.851,0.882,0.919,0.986
2020-03-23,0.868,0.051,0.778,0.832,0.865,0.899,0.975
2020-03-24,0.851,0.049,0.767,0.818,0.85,0.882,0.951
2020-03-25,0.836,0.049,0.745,0.801,0.836,0.869,0.929
2020-03-26,0.82,0.048,0.734,0.786,0.819,0.853,0.918
2020-03-27,0.805,0.048,0.716,0.774,0.803,0.835,0.902
2020-03-28,0.791,0.047,0.706,0.759,0.789,0.822,0.89
2020-03-29,0.78,0.051,0.687,0.745,0.779,0.812,0.882
2020-03-30,0.768,0.052,0.676,0.731,0.768,0.803,0.874
2020-03-31,0.76,0.051,0.667,0.724,0.761,0.794,0.868
2020-04-01,0.752,0.052,0.656,0.717,0.751,0.785,0.859
2020-04-02,0.744,0.051,0.649,0.709,0.741,0.775,0.849
2020-04-03,0.739,0.05,0.644,0.705,0.737,0.771,0.844
2020-04-04,0.732,0.05,0.634,0.698,0.732,0.764,0.836
2020-04-05,0.728,0.048,0.632,0.696,0.727,0.755,0.828
2020-04-06,0.726,0.048,0.629,0.692,0.726,0.758,0.816
2020-04-07,0.723,0.047,0.634,0.69,0.724,0.757,0.818
2020-04-08,0.723,0.045,0.638,0.693,0.722,0.751,0.812
2020-04-09,0.723,0.045,0.639,0.692,0.723,0.749,0.82
2020-04-10,0.722,0.046,0.634,0.691,0.722,0.753,0.819
2020-04-11,0.725,0.047,0.638,0.693,0.724,0.755,0.824
2020-04-12,0.728,0.047,0.646,0.696,0.727,0.757,0.824
2020-04-13,0.731,0.047,0.646,0.697,0.732,0.762,0.821
2020-04-14,0.734,0.047,0.646,0.699,0.735,0.767,0.832
2020-04-15,0.739,0.048,0.657,0.705,0.737,0.774,0.836
2020-04-16,0.742,0.048,0.656,0.709,0.739,0.776,0.837
2020-04-17,0.746,0.048,0.654,0.712,0.745,0.778,0.844
2020-04-18,0.752,0.05,0.659,0.719,0.752,0.784,0.852
2020-04-19,0.755,0.051,0.66,0.72,0.753,0.787,0.857
2020-04-20,0.761,0.05,0.663,0.727,0.759,0.793,0.854
2020-04-21,0.765,0.051,0.672,0.731,0.762,0.801,0.863
2020-04-22,0.772,0.051,0.674,0.735,0.772,0.806,0.873
2020-04-23,0.777,0.052,0.683,0.742,0.776,0.812,0.878
2020-04-24,0.783,0.053,0.686,0.747,0.78,0.819,0.89
2020-04-25,0.79,0.053,0.691,0.755,0.788,0.824,0.897
2020-04-26,0.795,0.055,0.69,0.759,0.794,0.831,0.913
2020-04-27,0.802,0.056,0.699,0.764,0.801,0.838,0.913
2020-04-28,0.804,0.054,0.7,0.769,0.802,0.841,0.918
2020-04-29,0.81,0.054,0.708,0.773,0.809,0.845,0.915
2020-04-30,0.815,0.053,0.713,0.778,0.813,0.851,0.917
2020-05-01,0.82,0.054,0.719,0.782,0.819,0.855,0.92
2020-05-02,0.824,0.055,0.722,0.787,0.823,0.86,0.939
2020-05-03,0.829,0.056,0.726,0.79,0.828,0.866,0.942
2020-05-04,0.832,0.057,0.726,0.792,0.831,0.869,0.951
2020-05-05,0.835,0.056,0.725,0.798,0.833,0.871,0.95
2020-05-06,0.841,0.057,0.738,0.801,0.839,0.876,0.951
2020-05-07,0.847,0.059,0.744,0.805,0.846,0.887,0.97
2020-05-08,0.851,0.059,0.742,0.812,0.848,0.889,0.98
2020-05-09,0.854,0.059,0.747,0.813,0.851,0.894,0.978
2020-05-10,0.861,0.06,0.757,0.82,0.858,0.901,0.985
2020-05-11,0.866,0.059,0.759,0.824,0.862,0.904,0.985
2020-05-12,0.87,0.06,0.761,0.828,0.868,0.908,0.999
2020-05-13,0.876,0.06,0.764,0.837,0.874,0.915,1.0
2020-05-14,0.881,0.058,0.777,0.84,0.878,0.917,1.007
2020-05-15,0.888,0.057,0.783,0.849,0.886,0.924,1.011
2020-05-16,0.895,0.059,0.789,0.853,0.891,0.935,1.009
2020-05-17,0.901,0.058,0.791,0.86,0.9,0.941,1.021
2020-05-18,0.908,0.057,0.803,0.87,0.904,0.945,1.024
2020-05-19,0.913,0.057,0.809,0.875,0.909,0.949,1.023
2020-05-20,0.919,0.056,0.812,0.881,0.918,0.957,1.031
2020-05-21,0.926,0.057,0.818,0.887,0.926,0.963,1.034
2020-05-22,0.933,0.057,0.831,0.894,0.933,0.97,1.047
2020-05-23,0.94,0.058,0.831,0.9,0.939,0.979,1.057
2020-05-24,0.946,0.058,0.833,0.905,0.945,0.987,1.058
2020-05-25,0.954,0.059,0.838,0.914,0.953,0.995,1.074
2020-05-26,0.963,0.061,0.838,0.923,0.962,1.004,1.085
2020-05-27,0.971,0.063,0.85,0.926,0.971,1.016,1.094
2020-05-28,0.979,0.064,0.86,0.937,0.98,1.023,1.101
2020-05-29,0.986,0.064,0.863,0.941,0.984,1.029,1.109
2020-05-30,0.995,0.066,0.872,0.947,0.995,1.041,1.127
2020-05-31,1.004,0.067,0.871,0.956,1.005,1.048,1.137
2020-06-01,1.01,0.066,0.887,0.966,1.01,1.054,1.14
2020-06-02,1.02,0.066,0.896,0.975,1.019,1.061,1.158
2020-06-03,1.028,0.068,0.905,0.982,1.023,1.071,1.17
2020-06-04,1.036,0.068,0.912,0.993,1.033,1.08,1.174
2020-06-05,1.045,0.066,0.924,1.0,1.042,1.085,1.189
2020-06-06,1.048,0.068,0.92,1.004,1.044,1.092,1.187
2020-06-07,1.054,0.066,0.921,1.011,1.051,1.093,1.196
