,mean,std,2.5%,25%,median,75%,97.5%
2020-03-06,1.047,0.11,0.852,0.97,1.038,1.116,1.279
2020-03-07,1.04,0.104,0.848,0.971,1.031,1.106,1.262
2020-03-08,1.033,0.098,0.852,0.965,1.03,1.093,1.249
2020-03-09,1.024,0.092,0.848,0.962,1.02,1.078,1.214
2020-03-10,1.016,0.087,0.856,0.954,1.012,1.07,1.191
2020-03-11,1.004,0.081,0.862,0.945,1.002,1.055,1.16
2020-03-12,0.992,0.077,0.846,0.934,0.992,1.045,1.138
2020-03-13,0.981,0.075,0.845,0.927,0.98,1.035,1.12
2020-03-14,0.968,0.071,0.836,0.916,0.968,1.014,1.112
2020-03-15,0.953,0.068,0.826,0.906,0.952,1.0,1.085
2020-03-16,0.94,0.068,0.808,0.893,0.937,0.984,1.08
2020-03-17,0.923,0.066,0.802,0.879,0.919,0.969,1.053
2020-03-18,0.908,0.066,0.777,0.865,0.905,0.954,1.032
2020-03-19,0.893,0.064,0.773,0.848,0.891,0.935,1.015
2020-03-20,0.879,0.062,0.767,0.834,0.875,0.922,1.006
2020-03-21,0.869,0.059,0.759,0.828,0.869,0.905,0.991
2020-03-22,0.854,0.058,0.745,0.814,0.85,0.891,0.976
2020-03-23,0.842,0.058,0.741,0.801,0.839,0.88,0.955
2020-03-24,0.831,0.057,0.728,0.789,0.83,0.871,0.946
2020-03-25,0.818,0.056,0.717,0.78,0.816,0.859,0.934
2020-03-26,0.807,0.055,0.709,0.769,0.806,0.846,0.912
2020-03-27,0.795,0.054,0.695,0.757,0.793,0.832,0.904
2020-03-28,0.785,0.052,0.682,0.753,0.785,0.821,0.882
2020-03-29,0.776,0.051,0.677,0.741,0.775,0.81,0.879
2020-03-30,0.768,0.05,0.67,0.734,0.769,0.801,0.868
2020-03-31,0.76,0.048,0.666,0.727,0.76,0.79,0.857
2020-04-01,0.753,0.049,0.663,0.718,0.75,0.787,0.849
2020-04-02,0.746,0.05,0.654,0.709,0.745,0.781,0.845
2020-04-03,0.739,0.049,0.649,0.705,0.737,0.771,0.84
2020-04-04,0.733,0.05,0.635,0.698,0.733,0.765,0.835
2020-04-05,0.727,0.049,0.634,0.696,0.728,0.757,0.829
2020-04-06,0.722,0.049,0.625,0.689,0.721,0.756,0.821
2020-04-07,0.717,0.049,0.632,0.68,0.718,0.749,0.822
2020-04-08,0.713,0.048,0.626,0.679,0.71,0.749,0.808
2020-04-09,0.711,0.05,0.622,0.675,0.709,0.745,0.809
2020-04-10,0.709,0.051,0.615,0.672,0.706,0.744,0.813
2020-04-11,0.708,0.05,0.615,0.672,0.708,0.744,0.803
2020-04-12,0.707,0.049,0.612,0.674,0.705,0.74,0.803
2020-04-13,0.707,0.049,0.618,0.671,0.705,0.739,0.811
2020-04-14,0.708,0.05,0.617,0.673,0.707,0.742,0.808
2020-04-15,0.711,0.052,0.614,0.676,0.709,0.744,0.82
2020-04-16,0.711,0.051,0.616,0.676,0.711,0.744,0.817
2020-04-17,0.712,0.052,0.616,0.676,0.711,0.746,0.814
2020-04-18,0.713,0.051,0.616,0.681,0.709,0.744,0.821
2020-04-19,0.714,0.051,0.617,0.68,0.711,0.749,0.816
2020-04-20,0.719,0.05,0.622,0.683,0.717,0.751,0.818
2020-04-21,0.722,0.051,0.629,0.688,0.722,0.757,0.827
2020-04-22,0.728,0.051,0.631,0.694,0.728,0.763,0.829
2020-04-23,0.733,0.051,0.637,0.699,0.732,0.767,0.836
2020-04-24,0.741,0.053,0.64,0.703,0.739,0.775,0.845
2020-04-25,0.749,0.052,0.655,0.713,0.749,0.781,0.854
2020-04-26,0.756,0.053,0.658,0.717,0.753,0.791,0.865
2020-04-27,0.765,0.053,0.668,0.731,0.764,0.801,0.865
2020-04-28,0.774,0.052,0.677,0.737,0.775,0.81,0.875
2020-04-29,0.784,0.054,0.677,0.746,0.783,0.822,0.891
2020-04-30,0.795,0.055,0.693,0.756,0.794,0.833,0.905
2020-05-01,0.807,0.056,0.697,0.766,0.806,0.842,0.92
2020-05-02,0.819,0.057,0.711,0.78,0.817,0.857,0.932
2020-05-03,0.834,0.057,0.728,0.792,0.832,0.873,0.952
2020-05-04,0.847,0.057,0.74,0.809,0.847,0.885,0.963
2020-05-05,0.861,0.059,0.753,0.819,0.859,0.897,0.982
2020-05-06,0.877,0.059,0.765,0.837,0.875,0.915,0.995
2020-05-07,0.89,0.061,0.78,0.851,0.89,0.928,1.014
2020-05-08,0.907,0.062,0.793,0.866,0.903,0.946,1.032
2020-05-09,0.92,0.066,0.801,0.873,0.921,0.961,1.054
2020-05-10,0.937,0.067,0.816,0.888,0.937,0.978,1.079
2020-05-11,0.952,0.068,0.827,0.905,0.947,0.995,1.102
2020-05-12,0.973,0.069,0.848,0.926,0.969,1.018,1.115
2020-05-13,0.99,0.07,0.859,0.94,0.985,1.035,1.132
2020-05-14,1.005,0.072,0.872,0.957,1.0,1.051,1.157
2020-05-15,1.021,0.073,0.887,0.972,1.019,1.067,1.175
2020-05-16,1.037,0.073,0.904,0.985,1.034,1.085,1.195
2020-05-17,1.052,0.076,0.915,0.998,1.047,1.097,1.211
2020-05-18,1.066,0.076,0.93,1.013,1.06,1.115,1.229
2020-05-19,1.08,0.079,0.937,1.025,1.076,1.132,1.241
2020-05-20,1.091,0.08,0.946,1.036,1.086,1.146,1.256
2020-05-21,1.099,0.079,0.952,1.042,1.095,1.153,1.261
2020-05-22,1.108,0.078,0.959,1.052,1.108,1.16,1.265
2020-05-23,1.113,0.08,0.963,1.057,1.108,1.164,1.276
2020-05-24,1.116,0.079,0.967,1.063,1.114,1.168,1.28
2020-05-25,1.116,0.076,0.973,1.065,1.115,1.167,1.273
2020-05-26,1.115,0.075,0.97,1.065,1.114,1.168,1.259
2020-05-27,1.109,0.077,0.962,1.058,1.107,1.16,1.26
2020-05-28,1.105,0.076,0.954,1.053,1.104,1.157,1.259
