,mean,std,2.5%,25%,median,75%,97.5%
2020-02-23,1.668,0.179,1.336,1.539,1.663,1.787,2.031
2020-02-24,1.662,0.173,1.338,1.532,1.66,1.784,1.999
2020-02-25,1.652,0.164,1.353,1.538,1.651,1.758,1.976
2020-02-26,1.64,0.158,1.347,1.537,1.633,1.752,1.947
2020-02-27,1.625,0.152,1.349,1.515,1.625,1.728,1.919
2020-02-28,1.61,0.142,1.34,1.51,1.61,1.702,1.904
2020-02-29,1.589,0.136,1.324,1.493,1.591,1.683,1.866
2020-03-01,1.57,0.129,1.344,1.478,1.571,1.657,1.818
2020-03-02,1.543,0.122,1.317,1.454,1.537,1.623,1.797
2020-03-03,1.514,0.116,1.292,1.437,1.511,1.59,1.743
2020-03-04,1.484,0.108,1.271,1.407,1.485,1.555,1.696
2020-03-05,1.448,0.104,1.251,1.38,1.445,1.512,1.661
2020-03-06,1.41,0.098,1.232,1.346,1.407,1.475,1.598
2020-03-07,1.372,0.091,1.205,1.314,1.372,1.429,1.545
2020-03-08,1.33,0.086,1.16,1.275,1.333,1.39,1.493
2020-03-09,1.29,0.081,1.135,1.234,1.29,1.347,1.438
2020-03-10,1.252,0.081,1.096,1.197,1.252,1.309,1.412
2020-03-11,1.212,0.077,1.063,1.159,1.209,1.267,1.36
2020-03-12,1.177,0.075,1.033,1.126,1.178,1.229,1.323
2020-03-13,1.143,0.07,1.009,1.095,1.14,1.191,1.282
2020-03-14,1.109,0.067,0.984,1.063,1.108,1.152,1.253
2020-03-15,1.076,0.065,0.957,1.03,1.074,1.12,1.213
2020-03-16,1.043,0.063,0.93,1.0,1.041,1.085,1.168
2020-03-17,1.011,0.063,0.901,0.965,1.007,1.053,1.139
2020-03-18,0.982,0.062,0.875,0.94,0.98,1.023,1.107
2020-03-19,0.956,0.062,0.842,0.913,0.952,0.996,1.081
2020-03-20,0.932,0.06,0.824,0.889,0.931,0.973,1.059
2020-03-21,0.911,0.059,0.801,0.871,0.908,0.951,1.032
2020-03-22,0.893,0.059,0.782,0.853,0.889,0.93,1.009
2020-03-23,0.874,0.056,0.764,0.838,0.875,0.909,0.989
2020-03-24,0.858,0.053,0.758,0.82,0.858,0.892,0.958
2020-03-25,0.842,0.052,0.745,0.806,0.841,0.876,0.943
2020-03-26,0.828,0.051,0.728,0.794,0.828,0.863,0.927
2020-03-27,0.816,0.051,0.718,0.783,0.815,0.851,0.917
2020-03-28,0.803,0.051,0.708,0.769,0.802,0.838,0.902
