,mean,std,2.5%,25%,median,75%,97.5%
2020-03-07,1.284,0.127,1.051,1.192,1.282,1.371,1.532
2020-03-08,1.27,0.119,1.051,1.186,1.266,1.353,1.494
2020-03-09,1.254,0.111,1.045,1.174,1.253,1.334,1.468
2020-03-10,1.24,0.106,1.049,1.165,1.236,1.317,1.443
2020-03-11,1.224,0.101,1.036,1.154,1.221,1.295,1.421
2020-03-12,1.206,0.094,1.023,1.145,1.204,1.268,1.388
2020-03-13,1.188,0.087,1.013,1.13,1.184,1.246,1.36
2020-03-14,1.167,0.085,1.002,1.106,1.163,1.221,1.344
2020-03-15,1.148,0.083,0.996,1.095,1.148,1.2,1.319
2020-03-16,1.13,0.077,0.984,1.078,1.128,1.182,1.281
2020-03-17,1.111,0.073,0.983,1.06,1.107,1.157,1.26
2020-03-18,1.097,0.07,0.964,1.048,1.092,1.144,1.246
2020-03-19,1.081,0.07,0.951,1.034,1.081,1.124,1.228
2020-03-20,1.067,0.069,0.929,1.021,1.064,1.112,1.209
2020-03-21,1.056,0.07,0.913,1.012,1.053,1.102,1.195
2020-03-22,1.044,0.067,0.92,1.001,1.042,1.09,1.174
2020-03-23,1.033,0.063,0.915,0.991,1.032,1.071,1.162
2020-03-24,1.024,0.064,0.902,0.984,1.021,1.065,1.156
2020-03-25,1.013,0.063,0.898,0.97,1.012,1.052,1.143
2020-03-26,1.005,0.061,0.887,0.963,1.005,1.045,1.138
2020-03-27,0.998,0.062,0.873,0.955,0.996,1.041,1.124
2020-03-28,0.99,0.061,0.868,0.952,0.991,1.03,1.109
2020-03-29,0.985,0.06,0.868,0.946,0.985,1.023,1.103
2020-03-30,0.976,0.059,0.865,0.936,0.974,1.018,1.092
2020-03-31,0.968,0.058,0.858,0.927,0.966,1.008,1.086
2020-04-01,0.962,0.059,0.849,0.92,0.96,1.001,1.078
2020-04-02,0.958,0.061,0.847,0.916,0.957,0.997,1.09
2020-04-03,0.953,0.062,0.842,0.909,0.954,0.994,1.082
2020-04-04,0.947,0.06,0.83,0.907,0.945,0.985,1.069
2020-04-05,0.941,0.062,0.831,0.898,0.942,0.981,1.066
2020-04-06,0.937,0.059,0.83,0.895,0.936,0.975,1.058
2020-04-07,0.929,0.06,0.821,0.886,0.927,0.968,1.048
2020-04-08,0.923,0.06,0.813,0.882,0.92,0.962,1.05
2020-04-09,0.915,0.06,0.807,0.875,0.914,0.953,1.039
2020-04-10,0.909,0.058,0.8,0.87,0.907,0.95,1.029
2020-04-11,0.902,0.059,0.791,0.86,0.901,0.94,1.025
2020-04-12,0.896,0.059,0.785,0.856,0.894,0.934,1.019
2020-04-13,0.888,0.058,0.78,0.85,0.886,0.926,1.014
2020-04-14,0.88,0.056,0.776,0.839,0.878,0.915,0.999
2020-04-15,0.873,0.055,0.777,0.835,0.871,0.911,0.989
2020-04-16,0.868,0.052,0.773,0.83,0.869,0.905,0.966
2020-04-17,0.863,0.053,0.763,0.826,0.864,0.9,0.963
2020-04-18,0.859,0.053,0.759,0.822,0.859,0.894,0.966
2020-04-19,0.854,0.055,0.751,0.815,0.853,0.889,0.969
2020-04-20,0.85,0.053,0.745,0.813,0.849,0.887,0.962
2020-04-21,0.848,0.054,0.746,0.808,0.848,0.885,0.956
2020-04-22,0.844,0.055,0.74,0.806,0.844,0.883,0.947
2020-04-23,0.842,0.054,0.739,0.805,0.841,0.88,0.943
2020-04-24,0.839,0.053,0.738,0.804,0.84,0.875,0.943
2020-04-25,0.838,0.053,0.729,0.803,0.839,0.871,0.948
2020-04-26,0.837,0.052,0.734,0.801,0.836,0.871,0.942
2020-04-27,0.835,0.051,0.734,0.803,0.834,0.869,0.934
2020-04-28,0.833,0.053,0.731,0.8,0.834,0.87,0.936
2020-04-29,0.833,0.053,0.734,0.798,0.833,0.865,0.94
2020-04-30,0.835,0.054,0.733,0.8,0.832,0.868,0.947
2020-05-01,0.832,0.054,0.733,0.793,0.831,0.868,0.942
2020-05-02,0.834,0.055,0.727,0.796,0.83,0.87,0.949
2020-05-03,0.834,0.056,0.73,0.795,0.829,0.87,0.952
2020-05-04,0.835,0.057,0.732,0.793,0.831,0.873,0.955
2020-05-05,0.834,0.057,0.737,0.793,0.83,0.872,0.958
2020-05-06,0.832,0.055,0.731,0.793,0.828,0.868,0.953
2020-05-07,0.831,0.055,0.731,0.793,0.83,0.865,0.946
2020-05-08,0.83,0.056,0.726,0.791,0.828,0.869,0.943
2020-05-09,0.827,0.055,0.726,0.787,0.824,0.863,0.944
2020-05-10,0.821,0.053,0.721,0.787,0.817,0.854,0.93
2020-05-11,0.816,0.053,0.72,0.778,0.816,0.848,0.926
2020-05-12,0.813,0.053,0.715,0.776,0.812,0.845,0.92
2020-05-13,0.809,0.052,0.709,0.774,0.806,0.842,0.912
2020-05-14,0.802,0.051,0.704,0.768,0.8,0.833,0.905
2020-05-15,0.797,0.051,0.702,0.762,0.796,0.827,0.902
2020-05-16,0.794,0.052,0.697,0.759,0.79,0.827,0.901
2020-05-17,0.789,0.052,0.694,0.754,0.787,0.826,0.894
2020-05-18,0.787,0.053,0.685,0.749,0.787,0.82,0.894
2020-05-19,0.782,0.053,0.682,0.744,0.782,0.818,0.888
2020-05-20,0.778,0.053,0.67,0.741,0.778,0.814,0.883
2020-05-21,0.774,0.053,0.665,0.739,0.777,0.808,0.877
2020-05-22,0.77,0.051,0.666,0.735,0.771,0.807,0.868
2020-05-23,0.766,0.051,0.667,0.73,0.767,0.798,0.867
2020-05-24,0.765,0.052,0.667,0.728,0.764,0.8,0.869
2020-05-25,0.762,0.053,0.661,0.723,0.761,0.799,0.866
2020-05-26,0.758,0.052,0.655,0.723,0.758,0.793,0.864
2020-05-27,0.756,0.054,0.655,0.72,0.757,0.789,0.866
2020-05-28,0.754,0.054,0.645,0.716,0.756,0.789,0.857
2020-05-29,0.752,0.054,0.648,0.718,0.749,0.787,0.858
2020-05-30,0.751,0.054,0.647,0.715,0.75,0.785,0.861
2020-05-31,0.75,0.052,0.648,0.716,0.747,0.783,0.854
2020-06-01,0.749,0.052,0.649,0.714,0.747,0.784,0.857
2020-06-02,0.75,0.051,0.653,0.717,0.748,0.784,0.855
2020-06-03,0.752,0.05,0.658,0.718,0.749,0.784,0.853
2020-06-04,0.755,0.05,0.661,0.721,0.753,0.789,0.854
2020-06-05,0.762,0.051,0.666,0.726,0.761,0.795,0.867
2020-06-06,0.768,0.051,0.676,0.732,0.768,0.8,0.875
2020-06-07,0.776,0.051,0.677,0.74,0.775,0.81,0.881
2020-06-08,0.785,0.053,0.681,0.751,0.783,0.819,0.886
2020-06-09,0.797,0.053,0.696,0.759,0.795,0.831,0.903
2020-06-10,0.807,0.054,0.698,0.768,0.81,0.84,0.91
2020-06-11,0.818,0.054,0.719,0.781,0.814,0.856,0.927
2020-06-12,0.832,0.056,0.733,0.793,0.829,0.869,0.942
2020-06-13,0.846,0.056,0.744,0.809,0.844,0.884,0.961
2020-06-14,0.861,0.059,0.754,0.819,0.858,0.899,0.974
2020-06-15,0.878,0.058,0.764,0.839,0.876,0.916,0.994
2020-06-16,0.896,0.061,0.78,0.857,0.895,0.934,1.022
2020-06-17,0.914,0.063,0.794,0.872,0.912,0.953,1.052
2020-06-18,0.934,0.063,0.813,0.893,0.929,0.971,1.067
