,mean,std,2.5%,25%,median,75%,97.5%
2020-03-07,1.285,0.131,1.038,1.194,1.278,1.364,1.561
2020-03-08,1.269,0.125,1.047,1.178,1.269,1.343,1.528
2020-03-09,1.253,0.116,1.044,1.171,1.251,1.324,1.498
2020-03-10,1.235,0.109,1.034,1.158,1.236,1.307,1.463
2020-03-11,1.214,0.102,1.033,1.144,1.213,1.283,1.418
2020-03-12,1.192,0.092,1.018,1.127,1.188,1.258,1.369
2020-03-13,1.171,0.088,1.001,1.108,1.169,1.237,1.339
2020-03-14,1.144,0.086,0.985,1.085,1.138,1.205,1.319
2020-03-15,1.119,0.082,0.967,1.06,1.116,1.179,1.283
2020-03-16,1.095,0.079,0.948,1.039,1.093,1.149,1.253
2020-03-17,1.072,0.075,0.931,1.018,1.067,1.122,1.228
2020-03-18,1.046,0.071,0.919,0.994,1.041,1.093,1.187
2020-03-19,1.021,0.068,0.9,0.973,1.016,1.063,1.162
2020-03-20,0.996,0.066,0.877,0.95,0.992,1.039,1.134
2020-03-21,0.974,0.062,0.863,0.934,0.974,1.012,1.1
2020-03-22,0.953,0.06,0.838,0.915,0.953,0.992,1.08
2020-03-23,0.931,0.058,0.822,0.891,0.93,0.968,1.049
2020-03-24,0.911,0.059,0.806,0.872,0.906,0.948,1.034
2020-03-25,0.892,0.058,0.786,0.853,0.888,0.93,1.012
2020-03-26,0.874,0.056,0.771,0.837,0.871,0.909,0.991
2020-03-27,0.856,0.056,0.75,0.818,0.853,0.893,0.971
2020-03-28,0.841,0.055,0.74,0.804,0.84,0.875,0.962
2020-03-29,0.827,0.055,0.733,0.79,0.825,0.858,0.943
2020-03-30,0.815,0.054,0.714,0.779,0.813,0.847,0.932
2020-03-31,0.805,0.052,0.708,0.771,0.801,0.838,0.912
2020-04-01,0.795,0.052,0.699,0.759,0.793,0.83,0.902
2020-04-02,0.786,0.049,0.693,0.752,0.783,0.817,0.888
2020-04-03,0.778,0.049,0.682,0.744,0.776,0.809,0.882
2020-04-04,0.772,0.049,0.68,0.738,0.772,0.801,0.868
2020-04-05,0.765,0.049,0.671,0.733,0.765,0.8,0.859
