,mean,std,2.5%,25%,median,75%,97.5%
2020-03-03,1.261,0.124,1.022,1.177,1.254,1.345,1.522
2020-03-04,1.246,0.119,1.032,1.166,1.237,1.321,1.488
2020-03-05,1.232,0.114,1.026,1.152,1.224,1.307,1.47
2020-03-06,1.214,0.106,1.019,1.141,1.205,1.282,1.433
2020-03-07,1.195,0.098,1.02,1.128,1.188,1.259,1.406
2020-03-08,1.173,0.097,1.004,1.105,1.165,1.234,1.401
2020-03-09,1.149,0.093,0.984,1.084,1.142,1.204,1.354
2020-03-10,1.122,0.088,0.958,1.065,1.119,1.176,1.311
2020-03-11,1.097,0.084,0.94,1.04,1.097,1.149,1.267
2020-03-12,1.072,0.078,0.917,1.016,1.073,1.124,1.229
2020-03-13,1.047,0.076,0.905,0.995,1.049,1.097,1.192
2020-03-14,1.021,0.072,0.881,0.975,1.024,1.066,1.159
2020-03-15,0.994,0.068,0.86,0.952,0.992,1.038,1.137
2020-03-16,0.969,0.064,0.843,0.926,0.967,1.008,1.101
2020-03-17,0.944,0.063,0.825,0.903,0.939,0.985,1.075
2020-03-18,0.919,0.06,0.807,0.876,0.914,0.959,1.039
2020-03-19,0.895,0.058,0.787,0.856,0.893,0.935,1.006
2020-03-20,0.872,0.055,0.771,0.833,0.87,0.907,0.988
2020-03-21,0.853,0.056,0.749,0.813,0.851,0.89,0.973
2020-03-22,0.833,0.054,0.734,0.798,0.829,0.867,0.947
2020-03-23,0.814,0.053,0.721,0.777,0.81,0.847,0.93
2020-03-24,0.798,0.051,0.706,0.762,0.797,0.831,0.904
2020-03-25,0.784,0.05,0.689,0.75,0.781,0.817,0.888
2020-03-26,0.77,0.049,0.679,0.737,0.768,0.803,0.868
2020-03-27,0.759,0.05,0.666,0.723,0.758,0.794,0.854
2020-03-28,0.749,0.049,0.655,0.716,0.747,0.781,0.847
2020-03-29,0.74,0.048,0.651,0.707,0.74,0.771,0.84
2020-03-30,0.734,0.047,0.648,0.702,0.732,0.765,0.832
2020-03-31,0.73,0.048,0.64,0.695,0.728,0.764,0.827
2020-04-01,0.724,0.047,0.633,0.692,0.722,0.754,0.821
2020-04-02,0.723,0.049,0.629,0.689,0.721,0.756,0.82
2020-04-03,0.721,0.049,0.633,0.686,0.72,0.753,0.822
2020-04-04,0.721,0.049,0.633,0.688,0.719,0.751,0.823
2020-04-05,0.723,0.048,0.632,0.691,0.721,0.755,0.823
2020-04-06,0.725,0.048,0.631,0.696,0.724,0.755,0.822
2020-04-07,0.728,0.049,0.635,0.695,0.726,0.762,0.826
2020-04-08,0.731,0.05,0.634,0.698,0.728,0.764,0.834
2020-04-09,0.734,0.05,0.641,0.701,0.732,0.766,0.84
2020-04-10,0.739,0.05,0.643,0.705,0.738,0.773,0.832
2020-04-11,0.746,0.051,0.648,0.71,0.746,0.779,0.855
2020-04-12,0.752,0.051,0.655,0.718,0.75,0.784,0.861
2020-04-13,0.758,0.051,0.659,0.724,0.758,0.791,0.868
2020-04-14,0.763,0.05,0.667,0.729,0.762,0.794,0.868
2020-04-15,0.768,0.049,0.672,0.737,0.766,0.799,0.869
2020-04-16,0.774,0.05,0.676,0.742,0.773,0.803,0.878
2020-04-17,0.777,0.051,0.683,0.743,0.775,0.811,0.891
2020-04-18,0.782,0.052,0.687,0.746,0.78,0.818,0.886
2020-04-19,0.787,0.053,0.692,0.748,0.786,0.818,0.899
2020-04-20,0.79,0.055,0.69,0.752,0.787,0.825,0.908
2020-04-21,0.792,0.056,0.696,0.752,0.788,0.828,0.913
2020-04-22,0.794,0.055,0.692,0.758,0.79,0.833,0.903
2020-04-23,0.796,0.055,0.693,0.755,0.794,0.833,0.905
2020-04-24,0.797,0.055,0.695,0.76,0.794,0.835,0.91
2020-04-25,0.797,0.056,0.694,0.757,0.796,0.835,0.908
2020-04-26,0.797,0.056,0.695,0.759,0.794,0.832,0.905
2020-04-27,0.798,0.056,0.693,0.761,0.798,0.836,0.914
2020-04-28,0.799,0.055,0.698,0.759,0.798,0.837,0.906
2020-04-29,0.797,0.056,0.692,0.759,0.798,0.833,0.91
2020-04-30,0.796,0.056,0.689,0.758,0.796,0.834,0.914
2020-05-01,0.797,0.056,0.69,0.758,0.794,0.831,0.914
2020-05-02,0.796,0.055,0.69,0.76,0.792,0.834,0.911
2020-05-03,0.793,0.055,0.693,0.757,0.791,0.829,0.904
2020-05-04,0.794,0.055,0.689,0.755,0.794,0.832,0.905
2020-05-05,0.792,0.053,0.692,0.756,0.792,0.826,0.896
2020-05-06,0.791,0.053,0.697,0.756,0.789,0.826,0.899
2020-05-07,0.791,0.052,0.693,0.754,0.789,0.823,0.896
2020-05-08,0.79,0.052,0.694,0.755,0.789,0.822,0.894
2020-05-09,0.791,0.053,0.694,0.755,0.789,0.825,0.9
2020-05-10,0.792,0.052,0.695,0.759,0.791,0.823,0.906
2020-05-11,0.791,0.053,0.684,0.755,0.791,0.824,0.899
2020-05-12,0.794,0.054,0.689,0.76,0.791,0.829,0.912
2020-05-13,0.796,0.053,0.696,0.76,0.796,0.83,0.916
2020-05-14,0.797,0.054,0.7,0.763,0.795,0.831,0.917
2020-05-15,0.801,0.055,0.699,0.764,0.8,0.835,0.915
2020-05-16,0.806,0.055,0.704,0.769,0.805,0.845,0.91
