,mean,std,2.5%,25%,median,75%,97.5%
2020-03-02,1.788,0.159,1.49,1.679,1.781,1.89,2.113
2020-03-03,1.744,0.146,1.478,1.642,1.744,1.84,2.035
2020-03-04,1.698,0.137,1.439,1.602,1.695,1.792,1.965
2020-03-05,1.65,0.128,1.406,1.561,1.646,1.732,1.908
2020-03-06,1.596,0.116,1.378,1.523,1.589,1.673,1.821
2020-03-07,1.536,0.108,1.333,1.465,1.53,1.612,1.743
2020-03-08,1.474,0.1,1.278,1.406,1.47,1.543,1.665
2020-03-09,1.413,0.093,1.242,1.347,1.413,1.475,1.592
2020-03-10,1.348,0.086,1.179,1.291,1.348,1.404,1.526
2020-03-11,1.285,0.079,1.136,1.234,1.283,1.334,1.443
2020-03-12,1.227,0.076,1.088,1.171,1.226,1.276,1.392
2020-03-13,1.171,0.072,1.04,1.121,1.169,1.216,1.318
2020-03-14,1.122,0.068,0.988,1.078,1.12,1.167,1.26
2020-03-15,1.076,0.066,0.955,1.029,1.074,1.12,1.214
2020-03-16,1.031,0.065,0.912,0.985,1.03,1.074,1.169
2020-03-17,0.99,0.062,0.879,0.944,0.988,1.032,1.115
2020-03-18,0.951,0.061,0.839,0.906,0.95,0.991,1.077
2020-03-19,0.915,0.058,0.802,0.876,0.915,0.953,1.033
2020-03-20,0.882,0.055,0.78,0.844,0.88,0.919,0.991
2020-03-21,0.852,0.053,0.755,0.814,0.849,0.888,0.964
2020-03-22,0.821,0.053,0.721,0.784,0.818,0.855,0.93
2020-03-23,0.796,0.051,0.702,0.76,0.795,0.83,0.899
2020-03-24,0.77,0.048,0.68,0.736,0.769,0.801,0.865
2020-03-25,0.747,0.047,0.658,0.713,0.745,0.779,0.839
2020-03-26,0.725,0.046,0.637,0.692,0.725,0.757,0.814
2020-03-27,0.706,0.046,0.62,0.673,0.706,0.738,0.802
2020-03-28,0.686,0.046,0.602,0.654,0.683,0.716,0.786
2020-03-29,0.669,0.045,0.588,0.639,0.667,0.698,0.765
2020-03-30,0.653,0.044,0.574,0.621,0.649,0.682,0.753
2020-03-31,0.638,0.042,0.561,0.609,0.635,0.667,0.725
2020-04-01,0.626,0.042,0.545,0.596,0.625,0.655,0.711
2020-04-02,0.614,0.042,0.536,0.585,0.61,0.643,0.697
2020-04-03,0.603,0.041,0.53,0.574,0.602,0.631,0.687
2020-04-04,0.594,0.04,0.519,0.565,0.591,0.622,0.673
2020-04-05,0.586,0.039,0.51,0.557,0.586,0.612,0.666
2020-04-06,0.578,0.038,0.505,0.552,0.578,0.602,0.654
2020-04-07,0.572,0.038,0.5,0.546,0.572,0.599,0.647
2020-04-08,0.567,0.037,0.499,0.539,0.566,0.592,0.639
2020-04-09,0.562,0.037,0.489,0.536,0.56,0.586,0.633
2020-04-10,0.558,0.037,0.487,0.533,0.558,0.581,0.639
