,mean,std,2.5%,25%,median,75%,97.5%
2020-02-29,1.38,0.141,1.136,1.279,1.373,1.464,1.661
2020-03-01,1.366,0.134,1.133,1.272,1.351,1.457,1.655
2020-03-02,1.354,0.129,1.118,1.266,1.349,1.442,1.634
2020-03-03,1.341,0.121,1.13,1.255,1.335,1.419,1.589
2020-03-04,1.326,0.117,1.115,1.244,1.318,1.405,1.568
2020-03-05,1.309,0.109,1.113,1.227,1.303,1.384,1.519
2020-03-06,1.289,0.102,1.098,1.22,1.283,1.359,1.492
2020-03-07,1.266,0.096,1.077,1.202,1.267,1.332,1.455
2020-03-08,1.243,0.091,1.063,1.184,1.242,1.301,1.439
2020-03-09,1.216,0.087,1.053,1.16,1.216,1.274,1.397
2020-03-10,1.19,0.084,1.023,1.131,1.188,1.248,1.355
2020-03-11,1.163,0.08,1.01,1.108,1.161,1.219,1.312
2020-03-12,1.134,0.076,0.989,1.082,1.133,1.186,1.275
2020-03-13,1.105,0.072,0.97,1.055,1.107,1.15,1.253
2020-03-14,1.077,0.069,0.944,1.03,1.074,1.124,1.214
2020-03-15,1.051,0.066,0.925,1.003,1.051,1.095,1.187
2020-03-16,1.024,0.064,0.905,0.979,1.019,1.066,1.153
2020-03-17,1.0,0.061,0.885,0.954,0.999,1.042,1.121
2020-03-18,0.976,0.06,0.866,0.932,0.972,1.019,1.096
2020-03-19,0.955,0.059,0.842,0.914,0.952,0.994,1.077
2020-03-20,0.933,0.057,0.831,0.89,0.933,0.97,1.045
2020-03-21,0.912,0.056,0.807,0.872,0.913,0.952,1.016
2020-03-22,0.894,0.055,0.785,0.856,0.892,0.93,1.0
2020-03-23,0.874,0.054,0.773,0.836,0.87,0.911,0.979
2020-03-24,0.858,0.053,0.762,0.822,0.855,0.893,0.961
2020-03-25,0.842,0.054,0.742,0.806,0.84,0.875,0.953
2020-03-26,0.826,0.052,0.734,0.788,0.823,0.859,0.939
2020-03-27,0.812,0.053,0.714,0.776,0.807,0.845,0.928
