,mean,std,2.5%,25%,median,75%,97.5%
2020-03-06,1.046,0.115,0.848,0.971,1.036,1.118,1.295
2020-03-07,1.038,0.11,0.851,0.963,1.025,1.115,1.275
2020-03-08,1.029,0.105,0.849,0.955,1.023,1.097,1.253
2020-03-09,1.022,0.099,0.85,0.951,1.014,1.087,1.223
2020-03-10,1.014,0.095,0.85,0.945,1.006,1.073,1.223
2020-03-11,1.003,0.092,0.845,0.937,0.999,1.061,1.191
2020-03-12,0.992,0.085,0.84,0.93,0.985,1.048,1.168
2020-03-13,0.98,0.08,0.836,0.924,0.972,1.031,1.153
2020-03-14,0.966,0.075,0.835,0.912,0.961,1.013,1.123
2020-03-15,0.951,0.072,0.815,0.903,0.945,0.994,1.104
2020-03-16,0.938,0.069,0.811,0.893,0.933,0.983,1.09
2020-03-17,0.923,0.065,0.804,0.877,0.919,0.964,1.065
2020-03-18,0.909,0.064,0.792,0.863,0.905,0.951,1.044
2020-03-19,0.894,0.061,0.783,0.852,0.892,0.939,1.018
2020-03-20,0.88,0.059,0.77,0.839,0.881,0.921,0.994
2020-03-21,0.866,0.058,0.754,0.825,0.866,0.904,0.987
2020-03-22,0.854,0.057,0.75,0.815,0.854,0.892,0.97
2020-03-23,0.843,0.055,0.738,0.806,0.841,0.879,0.96
2020-03-24,0.832,0.054,0.73,0.797,0.829,0.867,0.939
2020-03-25,0.82,0.055,0.713,0.781,0.82,0.854,0.93
2020-03-26,0.809,0.056,0.707,0.773,0.808,0.843,0.929
2020-03-27,0.8,0.056,0.694,0.761,0.798,0.837,0.906
2020-03-28,0.787,0.055,0.688,0.748,0.786,0.827,0.897
2020-03-29,0.777,0.053,0.67,0.741,0.775,0.813,0.881
2020-03-30,0.768,0.054,0.659,0.734,0.769,0.803,0.874
2020-03-31,0.761,0.053,0.658,0.726,0.76,0.793,0.872
2020-04-01,0.754,0.053,0.653,0.72,0.753,0.786,0.864
2020-04-02,0.748,0.053,0.64,0.716,0.746,0.781,0.855
2020-04-03,0.741,0.053,0.642,0.704,0.74,0.776,0.856
2020-04-04,0.736,0.052,0.642,0.7,0.736,0.771,0.838
2020-04-05,0.731,0.051,0.631,0.697,0.728,0.765,0.835
2020-04-06,0.726,0.052,0.636,0.687,0.722,0.759,0.832
2020-04-07,0.722,0.051,0.627,0.69,0.72,0.751,0.822
2020-04-08,0.717,0.051,0.626,0.681,0.714,0.752,0.825
2020-04-09,0.714,0.05,0.628,0.68,0.71,0.746,0.82
2020-04-10,0.711,0.05,0.616,0.677,0.706,0.743,0.816
2020-04-11,0.709,0.051,0.617,0.674,0.708,0.743,0.815
2020-04-12,0.708,0.052,0.615,0.672,0.708,0.745,0.814
2020-04-13,0.709,0.052,0.612,0.672,0.708,0.744,0.814
2020-04-14,0.71,0.052,0.616,0.674,0.707,0.747,0.811
2020-04-15,0.711,0.052,0.618,0.673,0.707,0.748,0.814
2020-04-16,0.712,0.051,0.621,0.675,0.711,0.746,0.817
2020-04-17,0.714,0.051,0.617,0.679,0.711,0.75,0.812
2020-04-18,0.716,0.05,0.619,0.681,0.715,0.75,0.813
2020-04-19,0.719,0.05,0.626,0.685,0.718,0.752,0.823
2020-04-20,0.723,0.051,0.628,0.688,0.72,0.757,0.828
2020-04-21,0.728,0.05,0.636,0.695,0.726,0.763,0.826
2020-04-22,0.733,0.052,0.637,0.7,0.733,0.769,0.836
2020-04-23,0.738,0.051,0.64,0.703,0.738,0.771,0.839
2020-04-24,0.745,0.052,0.646,0.709,0.744,0.777,0.85
2020-04-25,0.749,0.052,0.648,0.713,0.747,0.785,0.857
2020-04-26,0.757,0.052,0.655,0.72,0.756,0.79,0.861
2020-04-27,0.766,0.053,0.667,0.73,0.763,0.801,0.871
2020-04-28,0.773,0.053,0.672,0.736,0.771,0.807,0.885
2020-04-29,0.782,0.053,0.685,0.743,0.78,0.818,0.892
2020-04-30,0.793,0.054,0.698,0.752,0.793,0.83,0.903
2020-05-01,0.805,0.054,0.708,0.765,0.8,0.843,0.914
2020-05-02,0.815,0.055,0.715,0.776,0.811,0.852,0.924
2020-05-03,0.826,0.055,0.729,0.788,0.825,0.863,0.933
2020-05-04,0.84,0.057,0.738,0.799,0.837,0.881,0.955
2020-05-05,0.853,0.058,0.748,0.812,0.848,0.892,0.969
2020-05-06,0.869,0.057,0.763,0.831,0.868,0.905,0.985
2020-05-07,0.882,0.058,0.763,0.846,0.879,0.918,0.998
2020-05-08,0.9,0.06,0.782,0.862,0.899,0.938,1.016
2020-05-09,0.916,0.062,0.795,0.877,0.914,0.953,1.045
2020-05-10,0.932,0.063,0.809,0.892,0.932,0.974,1.057
2020-05-11,0.948,0.064,0.831,0.904,0.948,0.988,1.077
2020-05-12,0.966,0.065,0.846,0.923,0.965,1.008,1.096
2020-05-13,0.984,0.066,0.86,0.939,0.981,1.028,1.119
2020-05-14,1.002,0.069,0.879,0.952,1.001,1.045,1.151
2020-05-15,1.019,0.07,0.896,0.974,1.015,1.063,1.168
2020-05-16,1.034,0.071,0.906,0.984,1.033,1.079,1.183
2020-05-17,1.05,0.071,0.924,1.001,1.048,1.094,1.201
2020-05-18,1.062,0.071,0.931,1.012,1.061,1.11,1.205
2020-05-19,1.074,0.072,0.939,1.023,1.074,1.123,1.219
2020-05-20,1.084,0.072,0.947,1.032,1.085,1.133,1.222
2020-05-21,1.095,0.075,0.959,1.042,1.092,1.146,1.243
2020-05-22,1.103,0.077,0.964,1.046,1.102,1.157,1.257
2020-05-23,1.11,0.076,0.966,1.057,1.111,1.16,1.26
2020-05-24,1.113,0.077,0.972,1.06,1.111,1.161,1.272
2020-05-25,1.114,0.08,0.971,1.06,1.11,1.166,1.278
2020-05-26,1.113,0.079,0.972,1.059,1.108,1.167,1.274
2020-05-27,1.109,0.077,0.958,1.059,1.105,1.16,1.257
2020-05-28,1.104,0.08,0.948,1.049,1.099,1.157,1.276
2020-05-29,1.096,0.079,0.94,1.041,1.094,1.145,1.258
2020-05-30,1.085,0.079,0.931,1.033,1.081,1.136,1.248
