,mean,std,2.5%,25%,median,75%,97.5%
2020-03-07,0.935,0.094,0.758,0.864,0.935,1.0,1.124
2020-03-08,0.927,0.09,0.756,0.865,0.918,0.989,1.106
2020-03-09,0.919,0.087,0.756,0.861,0.913,0.98,1.104
2020-03-10,0.91,0.084,0.759,0.851,0.904,0.97,1.088
2020-03-11,0.9,0.078,0.759,0.844,0.895,0.952,1.053
2020-03-12,0.89,0.072,0.757,0.838,0.888,0.936,1.028
2020-03-13,0.879,0.069,0.752,0.833,0.875,0.92,1.016
2020-03-14,0.869,0.067,0.753,0.821,0.865,0.91,1.014
2020-03-15,0.861,0.065,0.742,0.817,0.857,0.899,1.004
2020-03-16,0.848,0.064,0.734,0.806,0.845,0.889,0.988
2020-03-17,0.837,0.063,0.723,0.795,0.835,0.876,0.968
2020-03-18,0.825,0.062,0.707,0.782,0.823,0.866,0.955
2020-03-19,0.815,0.062,0.699,0.771,0.812,0.858,0.942
2020-03-20,0.803,0.059,0.69,0.762,0.799,0.844,0.923
2020-03-21,0.792,0.056,0.687,0.753,0.788,0.829,0.913
2020-03-22,0.782,0.054,0.676,0.744,0.78,0.818,0.895
2020-03-23,0.773,0.051,0.678,0.739,0.774,0.807,0.869
2020-03-24,0.765,0.052,0.669,0.729,0.761,0.802,0.874
2020-03-25,0.757,0.051,0.667,0.718,0.756,0.791,0.859
2020-03-26,0.749,0.051,0.655,0.712,0.748,0.783,0.86
2020-03-27,0.745,0.052,0.648,0.711,0.743,0.778,0.854
2020-03-28,0.74,0.051,0.64,0.705,0.738,0.775,0.84
2020-03-29,0.736,0.048,0.645,0.702,0.736,0.769,0.827
2020-03-30,0.732,0.048,0.645,0.698,0.73,0.763,0.829
2020-03-31,0.729,0.049,0.636,0.697,0.727,0.763,0.825
2020-04-01,0.727,0.051,0.629,0.692,0.725,0.762,0.831
2020-04-02,0.726,0.052,0.63,0.691,0.723,0.761,0.829
2020-04-03,0.726,0.052,0.627,0.692,0.723,0.761,0.827
2020-04-04,0.727,0.052,0.63,0.692,0.723,0.759,0.832
2020-04-05,0.728,0.052,0.63,0.694,0.724,0.76,0.837
2020-04-06,0.728,0.053,0.631,0.692,0.726,0.762,0.836
2020-04-07,0.729,0.055,0.631,0.689,0.728,0.765,0.833
2020-04-08,0.73,0.054,0.635,0.691,0.728,0.765,0.84
2020-04-09,0.731,0.054,0.632,0.696,0.729,0.768,0.845
2020-04-10,0.734,0.054,0.633,0.696,0.734,0.768,0.851
2020-04-11,0.737,0.054,0.635,0.7,0.736,0.771,0.847
2020-04-12,0.738,0.054,0.642,0.701,0.737,0.771,0.858
2020-04-13,0.741,0.055,0.641,0.702,0.74,0.777,0.859
2020-04-14,0.743,0.054,0.641,0.705,0.741,0.775,0.862
2020-04-15,0.745,0.055,0.645,0.708,0.743,0.781,0.85
2020-04-16,0.748,0.054,0.644,0.713,0.746,0.786,0.86
2020-04-17,0.749,0.053,0.651,0.712,0.746,0.784,0.856
2020-04-18,0.751,0.052,0.654,0.714,0.749,0.788,0.858
2020-04-19,0.753,0.052,0.657,0.716,0.752,0.786,0.86
2020-04-20,0.754,0.053,0.657,0.718,0.754,0.788,0.87
2020-04-21,0.756,0.054,0.659,0.719,0.754,0.793,0.869
2020-04-22,0.76,0.055,0.662,0.724,0.759,0.796,0.869
2020-04-23,0.763,0.057,0.662,0.723,0.761,0.799,0.876
2020-04-24,0.766,0.057,0.664,0.725,0.764,0.802,0.884
2020-04-25,0.766,0.056,0.668,0.727,0.765,0.801,0.881
2020-04-26,0.771,0.057,0.674,0.73,0.768,0.808,0.889
2020-04-27,0.773,0.058,0.669,0.734,0.77,0.81,0.896
2020-04-28,0.775,0.058,0.664,0.733,0.774,0.814,0.893
2020-04-29,0.78,0.059,0.67,0.741,0.779,0.816,0.9
2020-04-30,0.782,0.059,0.671,0.74,0.78,0.822,0.898
2020-05-01,0.787,0.059,0.674,0.746,0.784,0.826,0.907
2020-05-02,0.792,0.056,0.688,0.753,0.789,0.832,0.904
2020-05-03,0.797,0.056,0.695,0.756,0.795,0.834,0.912
2020-05-04,0.8,0.058,0.697,0.762,0.795,0.838,0.928
2020-05-05,0.804,0.059,0.697,0.764,0.802,0.841,0.931
2020-05-06,0.811,0.058,0.704,0.772,0.808,0.848,0.922
2020-05-07,0.816,0.059,0.703,0.776,0.817,0.855,0.939
2020-05-08,0.821,0.061,0.705,0.78,0.82,0.861,0.947
2020-05-09,0.827,0.06,0.714,0.785,0.826,0.866,0.95
2020-05-10,0.834,0.062,0.717,0.793,0.832,0.874,0.962
2020-05-11,0.839,0.061,0.723,0.797,0.838,0.882,0.961
2020-05-12,0.848,0.062,0.724,0.805,0.849,0.889,0.968
2020-05-13,0.857,0.065,0.731,0.815,0.858,0.899,0.99
2020-05-14,0.864,0.065,0.732,0.818,0.865,0.91,0.995
2020-05-15,0.873,0.067,0.747,0.826,0.871,0.915,1.009
2020-05-16,0.88,0.067,0.756,0.836,0.876,0.924,1.015
2020-05-17,0.889,0.069,0.759,0.844,0.887,0.933,1.027
2020-05-18,0.894,0.071,0.755,0.844,0.891,0.943,1.028
2020-05-19,0.899,0.071,0.763,0.848,0.897,0.95,1.03
2020-05-20,0.905,0.07,0.776,0.855,0.905,0.953,1.038
2020-05-21,0.911,0.07,0.788,0.859,0.906,0.962,1.051
2020-05-22,0.918,0.069,0.785,0.872,0.917,0.964,1.054
2020-05-23,0.923,0.071,0.79,0.876,0.921,0.969,1.067
2020-05-24,0.927,0.071,0.794,0.88,0.928,0.973,1.074
2020-05-25,0.931,0.071,0.788,0.885,0.931,0.973,1.08
2020-05-26,0.934,0.072,0.797,0.886,0.935,0.978,1.08
2020-05-27,0.935,0.072,0.802,0.889,0.934,0.978,1.084
2020-05-28,0.937,0.074,0.8,0.886,0.936,0.983,1.084
2020-05-29,0.941,0.072,0.802,0.892,0.941,0.989,1.083
2020-05-30,0.945,0.07,0.809,0.894,0.946,0.991,1.076
2020-05-31,0.947,0.071,0.818,0.897,0.945,0.997,1.098
2020-06-01,0.95,0.071,0.815,0.9,0.95,1.0,1.095
2020-06-02,0.955,0.074,0.816,0.906,0.95,1.004,1.101
2020-06-03,0.962,0.075,0.823,0.911,0.96,1.008,1.113
2020-06-04,0.964,0.075,0.814,0.915,0.963,1.009,1.118
2020-06-05,0.968,0.073,0.823,0.92,0.966,1.018,1.111
2020-06-06,0.973,0.073,0.838,0.922,0.968,1.02,1.129
2020-06-07,0.98,0.076,0.839,0.93,0.977,1.03,1.139
2020-06-08,0.988,0.077,0.852,0.934,0.987,1.037,1.15
2020-06-09,0.997,0.078,0.856,0.944,0.994,1.048,1.15
2020-06-10,1.007,0.076,0.866,0.95,1.004,1.059,1.17
2020-06-11,1.016,0.077,0.877,0.961,1.01,1.068,1.17
2020-06-12,1.025,0.077,0.885,0.969,1.026,1.076,1.174
2020-06-13,1.036,0.078,0.897,0.985,1.036,1.086,1.2
