,mean,std,2.5%,25%,median,75%,97.5%
2020-02-23,1.897,0.187,1.574,1.757,1.889,2.021,2.272
2020-02-24,1.886,0.178,1.557,1.76,1.876,2.003,2.253
2020-02-25,1.872,0.167,1.568,1.751,1.865,1.981,2.214
2020-02-26,1.852,0.155,1.564,1.745,1.847,1.959,2.166
2020-02-27,1.828,0.145,1.568,1.727,1.823,1.929,2.1
2020-02-28,1.802,0.134,1.554,1.71,1.8,1.894,2.075
2020-02-29,1.771,0.13,1.529,1.681,1.767,1.855,2.021
2020-03-01,1.732,0.125,1.498,1.647,1.725,1.818,1.988
2020-03-02,1.687,0.115,1.477,1.603,1.691,1.762,1.914
2020-03-03,1.642,0.111,1.435,1.566,1.637,1.714,1.867
2020-03-04,1.597,0.108,1.394,1.525,1.596,1.667,1.821
2020-03-05,1.549,0.1,1.357,1.479,1.546,1.614,1.766
2020-03-06,1.501,0.094,1.327,1.439,1.496,1.559,1.692
2020-03-07,1.455,0.089,1.281,1.394,1.452,1.512,1.635
2020-03-08,1.406,0.083,1.239,1.349,1.406,1.461,1.576
2020-03-09,1.359,0.079,1.217,1.301,1.355,1.408,1.517
2020-03-10,1.316,0.076,1.179,1.263,1.312,1.366,1.473
2020-03-11,1.273,0.074,1.136,1.221,1.27,1.322,1.433
2020-03-12,1.232,0.072,1.098,1.179,1.229,1.281,1.375
2020-03-13,1.191,0.07,1.055,1.142,1.191,1.237,1.328
2020-03-14,1.155,0.068,1.027,1.105,1.154,1.199,1.297
2020-03-15,1.117,0.065,0.995,1.073,1.115,1.163,1.247
2020-03-16,1.081,0.063,0.955,1.039,1.078,1.123,1.203
2020-03-17,1.047,0.06,0.941,1.005,1.045,1.086,1.169
2020-03-18,1.015,0.06,0.9,0.973,1.015,1.056,1.135
2020-03-19,0.983,0.057,0.874,0.946,0.981,1.019,1.103
2020-03-20,0.956,0.057,0.841,0.918,0.955,0.995,1.068
2020-03-21,0.928,0.057,0.815,0.888,0.93,0.966,1.042
2020-03-22,0.901,0.056,0.795,0.861,0.902,0.937,1.014
2020-03-23,0.877,0.055,0.772,0.838,0.877,0.914,0.987
2020-03-24,0.854,0.055,0.742,0.818,0.855,0.89,0.966
2020-03-25,0.834,0.055,0.726,0.796,0.833,0.87,0.941
2020-03-26,0.813,0.052,0.711,0.776,0.812,0.849,0.918
2020-03-27,0.795,0.051,0.694,0.761,0.795,0.828,0.891
2020-03-28,0.777,0.049,0.68,0.743,0.776,0.809,0.871
2020-03-29,0.76,0.046,0.67,0.729,0.759,0.79,0.849
2020-03-30,0.743,0.046,0.656,0.71,0.742,0.775,0.832
2020-03-31,0.728,0.045,0.648,0.694,0.729,0.761,0.818
2020-04-01,0.716,0.044,0.637,0.683,0.716,0.746,0.8
2020-04-02,0.705,0.043,0.628,0.674,0.703,0.733,0.792
2020-04-03,0.693,0.042,0.613,0.664,0.693,0.722,0.773
2020-04-04,0.683,0.042,0.598,0.655,0.68,0.713,0.76
2020-04-05,0.674,0.043,0.592,0.645,0.671,0.703,0.761
2020-04-06,0.666,0.043,0.589,0.637,0.664,0.696,0.751
2020-04-07,0.662,0.043,0.587,0.633,0.661,0.689,0.75
2020-04-08,0.656,0.043,0.576,0.628,0.653,0.684,0.745
2020-04-09,0.653,0.042,0.576,0.626,0.65,0.678,0.738
2020-04-10,0.65,0.042,0.574,0.62,0.648,0.676,0.741
2020-04-11,0.648,0.043,0.573,0.618,0.646,0.677,0.742
2020-04-12,0.647,0.043,0.571,0.617,0.647,0.674,0.74
2020-04-13,0.645,0.041,0.571,0.616,0.644,0.67,0.73
2020-04-14,0.646,0.041,0.571,0.616,0.643,0.672,0.729
2020-04-15,0.646,0.042,0.566,0.617,0.644,0.674,0.727
2020-04-16,0.648,0.042,0.571,0.619,0.646,0.675,0.733
2020-04-17,0.65,0.043,0.571,0.621,0.649,0.677,0.74
2020-04-18,0.654,0.042,0.573,0.625,0.654,0.683,0.741
2020-04-19,0.658,0.044,0.58,0.627,0.658,0.687,0.745
2020-04-20,0.662,0.044,0.577,0.631,0.661,0.693,0.75
2020-04-21,0.666,0.045,0.586,0.636,0.664,0.698,0.757
2020-04-22,0.672,0.046,0.586,0.641,0.669,0.703,0.764
2020-04-23,0.677,0.046,0.592,0.646,0.674,0.71,0.767
2020-04-24,0.684,0.046,0.599,0.652,0.681,0.714,0.776
2020-04-25,0.689,0.047,0.604,0.657,0.687,0.721,0.781
2020-04-26,0.694,0.047,0.614,0.659,0.691,0.728,0.79
2020-04-27,0.701,0.047,0.612,0.67,0.699,0.735,0.791
2020-04-28,0.708,0.048,0.617,0.676,0.709,0.741,0.803
2020-04-29,0.713,0.049,0.621,0.678,0.711,0.747,0.81
2020-04-30,0.721,0.048,0.63,0.687,0.718,0.752,0.815
2020-05-01,0.729,0.048,0.641,0.695,0.729,0.757,0.832
2020-05-02,0.739,0.049,0.65,0.704,0.74,0.768,0.84
2020-05-03,0.746,0.049,0.655,0.711,0.745,0.777,0.847
2020-05-04,0.755,0.049,0.663,0.721,0.752,0.787,0.863
2020-05-05,0.763,0.048,0.673,0.732,0.76,0.794,0.867
2020-05-06,0.773,0.047,0.687,0.74,0.769,0.803,0.871
2020-05-07,0.781,0.049,0.688,0.748,0.778,0.811,0.887
2020-05-08,0.789,0.051,0.688,0.754,0.787,0.823,0.896
