,mean,std,2.5%,25%,median,75%,97.5%
2020-03-02,1.259,0.114,1.051,1.181,1.252,1.333,1.484
2020-03-03,1.246,0.11,1.046,1.169,1.242,1.318,1.469
2020-03-04,1.234,0.102,1.04,1.164,1.226,1.3,1.441
2020-03-05,1.222,0.096,1.054,1.152,1.218,1.286,1.413
2020-03-06,1.208,0.09,1.033,1.144,1.201,1.271,1.396
2020-03-07,1.193,0.085,1.033,1.134,1.185,1.247,1.367
2020-03-08,1.175,0.079,1.024,1.12,1.174,1.228,1.334
2020-03-09,1.157,0.076,1.015,1.102,1.156,1.203,1.31
2020-03-10,1.135,0.073,1.003,1.088,1.134,1.178,1.287
2020-03-11,1.114,0.072,0.986,1.064,1.114,1.157,1.259
2020-03-12,1.097,0.07,0.97,1.046,1.098,1.143,1.238
2020-03-13,1.075,0.07,0.953,1.025,1.072,1.123,1.222
2020-03-14,1.051,0.065,0.933,1.006,1.051,1.093,1.19
2020-03-15,1.03,0.064,0.908,0.986,1.032,1.072,1.159
2020-03-16,1.009,0.063,0.889,0.968,1.006,1.046,1.149
2020-03-17,0.985,0.06,0.874,0.942,0.984,1.026,1.103
2020-03-18,0.963,0.06,0.854,0.92,0.962,1.004,1.091
2020-03-19,0.943,0.059,0.832,0.902,0.939,0.982,1.069
2020-03-20,0.921,0.057,0.813,0.883,0.92,0.961,1.037
2020-03-21,0.902,0.056,0.793,0.863,0.901,0.937,1.009
2020-03-22,0.883,0.054,0.779,0.843,0.882,0.92,0.987
2020-03-23,0.865,0.053,0.768,0.831,0.865,0.902,0.97
2020-03-24,0.849,0.053,0.748,0.813,0.848,0.884,0.955
2020-03-25,0.836,0.054,0.735,0.801,0.836,0.871,0.943
2020-03-26,0.819,0.052,0.721,0.783,0.816,0.855,0.917
2020-03-27,0.804,0.05,0.708,0.771,0.802,0.837,0.9
2020-03-28,0.792,0.05,0.698,0.757,0.787,0.826,0.886
2020-03-29,0.78,0.049,0.689,0.746,0.779,0.812,0.872
2020-03-30,0.771,0.05,0.677,0.736,0.77,0.805,0.865
2020-03-31,0.761,0.049,0.669,0.732,0.759,0.793,0.859
