,mean,std,2.5%,25%,median,75%,97.5%
2020-03-07,1.264,0.125,1.035,1.174,1.262,1.346,1.526
2020-03-08,1.253,0.118,1.033,1.171,1.25,1.329,1.5
2020-03-09,1.242,0.109,1.027,1.169,1.245,1.312,1.467
2020-03-10,1.23,0.106,1.018,1.156,1.228,1.301,1.439
2020-03-11,1.214,0.102,1.021,1.144,1.21,1.284,1.414
2020-03-12,1.2,0.098,1.016,1.134,1.195,1.261,1.403
2020-03-13,1.184,0.09,1.017,1.12,1.179,1.246,1.367
2020-03-14,1.17,0.088,1.009,1.107,1.164,1.233,1.345
2020-03-15,1.153,0.085,1.001,1.095,1.149,1.209,1.326
2020-03-16,1.135,0.083,0.994,1.076,1.131,1.186,1.315
2020-03-17,1.116,0.08,0.972,1.059,1.114,1.168,1.287
2020-03-18,1.095,0.077,0.956,1.041,1.094,1.146,1.252
2020-03-19,1.074,0.072,0.941,1.021,1.069,1.124,1.216
2020-03-20,1.053,0.07,0.924,1.003,1.053,1.1,1.194
2020-03-21,1.034,0.069,0.905,0.985,1.033,1.079,1.178
2020-03-22,1.013,0.066,0.89,0.966,1.011,1.057,1.147
2020-03-23,0.992,0.065,0.872,0.947,0.987,1.037,1.121
2020-03-24,0.972,0.062,0.859,0.929,0.969,1.013,1.102
2020-03-25,0.955,0.061,0.846,0.912,0.954,0.992,1.077
2020-03-26,0.936,0.059,0.83,0.893,0.936,0.972,1.059
2020-03-27,0.919,0.058,0.806,0.879,0.92,0.955,1.034
2020-03-28,0.901,0.059,0.791,0.861,0.9,0.939,1.019
2020-03-29,0.883,0.057,0.776,0.845,0.881,0.922,1.002
2020-03-30,0.866,0.055,0.75,0.83,0.865,0.904,0.97
2020-03-31,0.849,0.056,0.738,0.811,0.847,0.886,0.964
2020-04-01,0.834,0.056,0.727,0.793,0.833,0.871,0.95
2020-04-02,0.819,0.056,0.719,0.78,0.819,0.856,0.929
2020-04-03,0.804,0.055,0.696,0.765,0.804,0.84,0.919
2020-04-04,0.789,0.054,0.69,0.752,0.79,0.824,0.901
2020-04-05,0.775,0.053,0.678,0.738,0.773,0.808,0.885
2020-04-06,0.759,0.051,0.662,0.725,0.756,0.795,0.86
2020-04-07,0.748,0.051,0.647,0.713,0.747,0.782,0.844
2020-04-08,0.735,0.052,0.637,0.698,0.733,0.768,0.84
2020-04-09,0.723,0.05,0.629,0.686,0.722,0.755,0.819
2020-04-10,0.714,0.05,0.618,0.681,0.712,0.748,0.815
2020-04-11,0.704,0.049,0.61,0.672,0.702,0.737,0.801
2020-04-12,0.695,0.048,0.604,0.663,0.692,0.726,0.802
2020-04-13,0.686,0.046,0.6,0.655,0.683,0.717,0.785
2020-04-14,0.681,0.047,0.591,0.651,0.678,0.713,0.777
2020-04-15,0.674,0.048,0.587,0.639,0.671,0.707,0.77
2020-04-16,0.67,0.047,0.581,0.638,0.668,0.701,0.764
2020-04-17,0.667,0.047,0.582,0.635,0.664,0.698,0.758
2020-04-18,0.663,0.045,0.579,0.633,0.66,0.691,0.76
2020-04-19,0.663,0.045,0.579,0.632,0.662,0.691,0.753
2020-04-20,0.662,0.047,0.573,0.63,0.661,0.691,0.759
2020-04-21,0.661,0.046,0.574,0.629,0.658,0.693,0.753
2020-04-22,0.66,0.046,0.569,0.629,0.659,0.69,0.752
2020-04-23,0.662,0.045,0.572,0.631,0.661,0.692,0.751
2020-04-24,0.665,0.045,0.583,0.631,0.664,0.695,0.757
2020-04-25,0.669,0.045,0.588,0.637,0.668,0.699,0.757
