,mean,std,2.5%,25%,median,75%,97.5%
2020-03-01,1.48,0.14,1.233,1.381,1.475,1.576,1.752
2020-03-02,1.465,0.132,1.233,1.367,1.456,1.564,1.745
2020-03-03,1.452,0.124,1.227,1.368,1.446,1.535,1.717
2020-03-04,1.432,0.115,1.235,1.348,1.428,1.507,1.666
2020-03-05,1.412,0.105,1.218,1.336,1.408,1.477,1.632
2020-03-06,1.389,0.098,1.214,1.319,1.387,1.455,1.59
2020-03-07,1.365,0.095,1.196,1.3,1.36,1.427,1.565
2020-03-08,1.338,0.09,1.167,1.272,1.337,1.395,1.523
2020-03-09,1.309,0.087,1.143,1.246,1.31,1.366,1.489
2020-03-10,1.279,0.082,1.133,1.223,1.278,1.333,1.451
2020-03-11,1.248,0.079,1.102,1.193,1.246,1.299,1.411
2020-03-12,1.218,0.079,1.069,1.164,1.216,1.27,1.391
2020-03-13,1.187,0.075,1.048,1.135,1.185,1.234,1.344
2020-03-14,1.154,0.07,1.026,1.107,1.154,1.201,1.291
2020-03-15,1.123,0.07,0.988,1.078,1.124,1.168,1.255
2020-03-16,1.091,0.068,0.966,1.043,1.09,1.14,1.222
2020-03-17,1.063,0.065,0.94,1.017,1.062,1.107,1.193
2020-03-18,1.035,0.065,0.917,0.992,1.033,1.077,1.165
2020-03-19,1.008,0.064,0.89,0.965,1.006,1.052,1.137
2020-03-20,0.985,0.062,0.871,0.94,0.982,1.027,1.107
2020-03-21,0.961,0.06,0.856,0.918,0.957,1.003,1.086
2020-03-22,0.941,0.06,0.83,0.9,0.938,0.981,1.067
2020-03-23,0.921,0.059,0.811,0.879,0.918,0.96,1.037
2020-03-24,0.902,0.058,0.796,0.86,0.902,0.942,1.017
2020-03-25,0.883,0.056,0.779,0.842,0.881,0.919,0.992
2020-03-26,0.865,0.055,0.758,0.828,0.866,0.902,0.969
2020-03-27,0.849,0.055,0.744,0.81,0.847,0.887,0.958
2020-03-28,0.834,0.053,0.732,0.798,0.832,0.872,0.939
2020-03-29,0.822,0.053,0.724,0.786,0.822,0.855,0.922
2020-03-30,0.811,0.053,0.712,0.771,0.809,0.848,0.911
2020-03-31,0.801,0.053,0.705,0.764,0.799,0.838,0.902
2020-04-01,0.793,0.052,0.697,0.757,0.788,0.83,0.895
2020-04-02,0.785,0.051,0.689,0.749,0.782,0.82,0.884
2020-04-03,0.779,0.05,0.689,0.743,0.779,0.813,0.88
2020-04-04,0.775,0.049,0.675,0.741,0.774,0.808,0.87
2020-04-05,0.772,0.048,0.679,0.737,0.773,0.803,0.87
2020-04-06,0.768,0.048,0.671,0.734,0.769,0.803,0.861
2020-04-07,0.767,0.048,0.679,0.734,0.765,0.802,0.859
2020-04-08,0.765,0.046,0.672,0.732,0.765,0.794,0.859
2020-04-09,0.765,0.049,0.677,0.732,0.765,0.795,0.864
2020-04-10,0.763,0.049,0.673,0.731,0.761,0.795,0.862
2020-04-11,0.764,0.049,0.666,0.732,0.762,0.798,0.862
2020-04-12,0.765,0.049,0.67,0.73,0.764,0.796,0.864
2020-04-13,0.767,0.049,0.676,0.73,0.763,0.799,0.871
2020-04-14,0.77,0.05,0.679,0.736,0.768,0.804,0.872
2020-04-15,0.773,0.05,0.685,0.736,0.771,0.806,0.879
2020-04-16,0.777,0.05,0.689,0.741,0.774,0.81,0.878
2020-04-17,0.779,0.049,0.689,0.744,0.779,0.811,0.88
2020-04-18,0.781,0.049,0.692,0.743,0.782,0.814,0.877
2020-04-19,0.786,0.05,0.693,0.753,0.784,0.82,0.887
2020-04-20,0.792,0.051,0.7,0.757,0.791,0.825,0.897
2020-04-21,0.796,0.054,0.694,0.762,0.795,0.831,0.912
2020-04-22,0.801,0.054,0.698,0.765,0.797,0.835,0.914
2020-04-23,0.806,0.054,0.703,0.769,0.803,0.841,0.918
2020-04-24,0.811,0.053,0.711,0.775,0.809,0.846,0.917
2020-04-25,0.817,0.054,0.717,0.779,0.815,0.853,0.927
2020-04-26,0.821,0.054,0.717,0.784,0.819,0.856,0.933
2020-04-27,0.827,0.054,0.731,0.792,0.824,0.863,0.938
2020-04-28,0.831,0.053,0.736,0.796,0.829,0.867,0.941
2020-04-29,0.836,0.054,0.735,0.798,0.833,0.874,0.944
2020-04-30,0.84,0.053,0.735,0.802,0.84,0.876,0.944
2020-05-01,0.843,0.052,0.744,0.809,0.841,0.875,0.952
2020-05-02,0.845,0.054,0.746,0.809,0.844,0.882,0.951
2020-05-03,0.847,0.055,0.745,0.81,0.846,0.883,0.958
2020-05-04,0.848,0.057,0.741,0.809,0.849,0.887,0.962
2020-05-05,0.848,0.057,0.74,0.809,0.846,0.885,0.963
2020-05-06,0.847,0.055,0.749,0.81,0.843,0.882,0.969
2020-05-07,0.845,0.055,0.748,0.807,0.842,0.881,0.967
2020-05-08,0.844,0.056,0.738,0.805,0.842,0.88,0.961
2020-05-09,0.842,0.056,0.738,0.806,0.839,0.88,0.96
2020-05-10,0.842,0.055,0.741,0.805,0.839,0.878,0.957
2020-05-11,0.842,0.054,0.744,0.806,0.838,0.876,0.96
2020-05-12,0.843,0.055,0.742,0.807,0.84,0.88,0.958
2020-05-13,0.843,0.056,0.742,0.806,0.843,0.88,0.96
2020-05-14,0.846,0.055,0.741,0.808,0.845,0.878,0.962
2020-05-15,0.847,0.056,0.743,0.808,0.845,0.883,0.962
2020-05-16,0.851,0.057,0.742,0.813,0.849,0.886,0.968
2020-05-17,0.855,0.057,0.747,0.818,0.851,0.892,0.968
2020-05-18,0.858,0.056,0.752,0.823,0.856,0.892,0.981
2020-05-19,0.864,0.056,0.764,0.824,0.861,0.899,0.979
2020-05-20,0.871,0.055,0.77,0.834,0.868,0.907,0.985
2020-05-21,0.878,0.055,0.775,0.841,0.877,0.912,0.989
2020-05-22,0.884,0.054,0.782,0.845,0.884,0.918,0.997
2020-05-23,0.892,0.057,0.788,0.853,0.892,0.931,1.004
2020-05-24,0.9,0.057,0.793,0.86,0.898,0.938,1.012
2020-05-25,0.909,0.058,0.802,0.868,0.907,0.949,1.023
2020-05-26,0.916,0.059,0.81,0.875,0.912,0.959,1.038
2020-05-27,0.924,0.059,0.82,0.882,0.919,0.961,1.055
2020-05-28,0.929,0.058,0.825,0.889,0.924,0.964,1.057
2020-05-29,0.935,0.059,0.824,0.894,0.934,0.972,1.057
2020-05-30,0.939,0.058,0.831,0.899,0.937,0.976,1.056
2020-05-31,0.944,0.059,0.832,0.905,0.942,0.982,1.064
2020-06-01,0.951,0.059,0.837,0.911,0.948,0.991,1.071
2020-06-02,0.955,0.058,0.846,0.915,0.955,0.994,1.074
2020-06-03,0.961,0.058,0.851,0.924,0.96,0.998,1.078
2020-06-04,0.965,0.059,0.855,0.923,0.963,1.005,1.086
2020-06-05,0.968,0.059,0.852,0.929,0.967,1.008,1.084
2020-06-06,0.973,0.059,0.863,0.933,0.972,1.01,1.095
2020-06-07,0.976,0.061,0.861,0.934,0.973,1.018,1.104
2020-06-08,0.979,0.061,0.861,0.938,0.975,1.018,1.113
2020-06-09,0.982,0.063,0.86,0.94,0.982,1.022,1.112
2020-06-10,0.986,0.064,0.87,0.942,0.986,1.027,1.115
2020-06-11,0.991,0.063,0.874,0.949,0.988,1.032,1.124
2020-06-12,0.998,0.062,0.89,0.955,0.995,1.037,1.124
2020-06-13,1.004,0.063,0.888,0.96,1.003,1.044,1.137
2020-06-14,1.008,0.064,0.887,0.964,1.005,1.052,1.133
2020-06-15,1.014,0.064,0.896,0.969,1.015,1.059,1.136
2020-06-16,1.019,0.063,0.895,0.979,1.017,1.059,1.151
2020-06-17,1.025,0.062,0.906,0.984,1.023,1.065,1.149
2020-06-18,1.032,0.062,0.913,0.989,1.031,1.075,1.158
2020-06-19,1.04,0.063,0.922,0.997,1.04,1.081,1.165
2020-06-20,1.049,0.061,0.939,1.007,1.049,1.087,1.173
2020-06-21,1.058,0.063,0.941,1.015,1.056,1.101,1.195
2020-06-22,1.064,0.064,0.948,1.021,1.062,1.104,1.196
2020-06-23,1.075,0.063,0.956,1.031,1.073,1.117,1.206
2020-06-24,1.083,0.068,0.961,1.038,1.08,1.129,1.221
2020-06-25,1.09,0.068,0.964,1.045,1.086,1.136,1.219
2020-06-26,1.096,0.068,0.966,1.05,1.097,1.141,1.226
2020-06-27,1.104,0.069,0.972,1.058,1.105,1.147,1.243
2020-06-28,1.11,0.07,0.977,1.063,1.108,1.155,1.251
2020-06-29,1.118,0.072,0.981,1.07,1.114,1.163,1.266
2020-06-30,1.127,0.072,0.983,1.082,1.126,1.175,1.277
2020-07-01,1.134,0.073,1.001,1.083,1.132,1.181,1.28
2020-07-02,1.144,0.072,1.015,1.094,1.141,1.189,1.291
2020-07-03,1.152,0.07,1.024,1.103,1.151,1.201,1.289
2020-07-04,1.159,0.071,1.027,1.112,1.156,1.204,1.306
2020-07-05,1.166,0.07,1.033,1.118,1.163,1.21,1.31
2020-07-06,1.171,0.068,1.041,1.124,1.172,1.214,1.306
2020-07-07,1.176,0.07,1.049,1.128,1.175,1.224,1.314
2020-07-08,1.18,0.069,1.05,1.132,1.181,1.228,1.32
2020-07-09,1.185,0.07,1.058,1.135,1.184,1.234,1.331
2020-07-10,1.19,0.069,1.061,1.141,1.191,1.239,1.332
2020-07-11,1.188,0.07,1.054,1.141,1.189,1.232,1.333
2020-07-12,1.188,0.072,1.057,1.139,1.184,1.235,1.352
2020-07-13,1.186,0.071,1.045,1.14,1.185,1.229,1.336
2020-07-14,1.184,0.072,1.044,1.138,1.181,1.232,1.33
2020-07-15,1.183,0.07,1.046,1.134,1.182,1.229,1.312
2020-07-16,1.177,0.07,1.039,1.13,1.177,1.223,1.309
2020-07-17,1.171,0.069,1.038,1.125,1.169,1.217,1.304
2020-07-18,1.166,0.072,1.036,1.121,1.163,1.213,1.324
2020-07-19,1.16,0.073,1.019,1.115,1.159,1.206,1.31
2020-07-20,1.153,0.072,1.017,1.104,1.151,1.198,1.289
2020-07-21,1.146,0.071,1.019,1.096,1.146,1.195,1.285
2020-07-22,1.136,0.068,1.006,1.087,1.137,1.186,1.266
2020-07-23,1.126,0.069,1.002,1.077,1.124,1.174,1.259
2020-07-24,1.118,0.068,0.992,1.07,1.116,1.165,1.256
2020-07-25,1.109,0.068,0.979,1.061,1.108,1.154,1.24
2020-07-26,1.098,0.066,0.97,1.052,1.098,1.143,1.229
2020-07-27,1.09,0.063,0.971,1.046,1.087,1.133,1.215
2020-07-28,1.079,0.062,0.962,1.037,1.078,1.119,1.196
2020-07-29,1.069,0.064,0.938,1.026,1.068,1.112,1.198
2020-07-30,1.06,0.063,0.933,1.016,1.062,1.102,1.185
2020-07-31,1.05,0.061,0.93,1.008,1.049,1.091,1.171
2020-08-01,1.042,0.062,0.919,1.0,1.044,1.082,1.164
2020-08-02,1.033,0.063,0.914,0.988,1.032,1.075,1.158
2020-08-03,1.023,0.064,0.907,0.979,1.022,1.066,1.151
2020-08-04,1.015,0.061,0.909,0.97,1.013,1.057,1.137
2020-08-05,1.004,0.062,0.888,0.961,1.003,1.043,1.139
