,mean,std,2.5%,25%,median,75%,97.5%
2020-02-25,1.907,0.207,1.531,1.761,1.904,2.045,2.323
2020-02-26,1.896,0.197,1.539,1.755,1.892,2.031,2.278
2020-02-27,1.881,0.189,1.54,1.746,1.874,2.004,2.263
2020-02-28,1.869,0.179,1.551,1.748,1.856,1.985,2.226
2020-02-29,1.851,0.173,1.535,1.737,1.838,1.96,2.21
2020-03-01,1.833,0.163,1.52,1.722,1.828,1.942,2.163
2020-03-02,1.812,0.157,1.521,1.698,1.812,1.916,2.131
2020-03-03,1.779,0.144,1.514,1.678,1.775,1.877,2.066
2020-03-04,1.75,0.137,1.497,1.653,1.751,1.845,2.025
2020-03-05,1.715,0.128,1.471,1.629,1.713,1.802,1.962
2020-03-06,1.673,0.12,1.436,1.59,1.672,1.749,1.911
2020-03-07,1.629,0.113,1.4,1.555,1.63,1.706,1.857
2020-03-08,1.584,0.109,1.375,1.508,1.586,1.657,1.797
2020-03-09,1.538,0.103,1.347,1.466,1.537,1.605,1.738
2020-03-10,1.488,0.098,1.309,1.416,1.489,1.557,1.682
2020-03-11,1.44,0.097,1.257,1.37,1.435,1.506,1.638
2020-03-12,1.389,0.092,1.226,1.322,1.389,1.453,1.562
2020-03-13,1.339,0.085,1.187,1.279,1.334,1.399,1.51
2020-03-14,1.288,0.083,1.141,1.23,1.287,1.344,1.455
2020-03-15,1.237,0.081,1.096,1.177,1.233,1.292,1.395
2020-03-16,1.185,0.078,1.043,1.132,1.181,1.237,1.343
2020-03-17,1.14,0.075,1.008,1.087,1.138,1.182,1.288
2020-03-18,1.094,0.07,0.968,1.043,1.092,1.141,1.236
2020-03-19,1.054,0.069,0.926,1.01,1.054,1.098,1.193
2020-03-20,1.017,0.067,0.891,0.972,1.016,1.06,1.152
2020-03-21,0.981,0.066,0.862,0.934,0.977,1.025,1.116
2020-03-22,0.948,0.064,0.835,0.905,0.948,0.988,1.077
2020-03-23,0.919,0.06,0.807,0.878,0.919,0.958,1.039
2020-03-24,0.887,0.057,0.781,0.848,0.885,0.924,1.007
2020-03-25,0.861,0.055,0.753,0.825,0.86,0.895,0.975
