,mean,std,2.5%,25%,median,75%,97.5%
2020-02-29,1.439,0.144,1.191,1.334,1.43,1.537,1.755
2020-03-01,1.427,0.136,1.199,1.331,1.421,1.515,1.715
2020-03-02,1.416,0.129,1.188,1.324,1.402,1.501,1.683
2020-03-03,1.405,0.123,1.191,1.319,1.398,1.483,1.652
2020-03-04,1.39,0.114,1.188,1.309,1.385,1.46,1.628
2020-03-05,1.371,0.105,1.188,1.298,1.366,1.44,1.58
2020-03-06,1.346,0.1,1.158,1.278,1.34,1.411,1.553
2020-03-07,1.322,0.095,1.138,1.255,1.318,1.384,1.515
2020-03-08,1.293,0.09,1.122,1.227,1.292,1.355,1.469
2020-03-09,1.259,0.085,1.093,1.2,1.256,1.317,1.431
2020-03-10,1.229,0.082,1.081,1.169,1.229,1.286,1.395
2020-03-11,1.194,0.081,1.044,1.137,1.193,1.251,1.351
2020-03-12,1.158,0.078,1.018,1.106,1.154,1.209,1.316
2020-03-13,1.124,0.075,0.989,1.073,1.12,1.171,1.282
2020-03-14,1.089,0.068,0.965,1.041,1.086,1.131,1.237
2020-03-15,1.055,0.065,0.927,1.013,1.053,1.101,1.177
2020-03-16,1.022,0.064,0.902,0.977,1.02,1.066,1.142
2020-03-17,0.989,0.062,0.874,0.946,0.986,1.03,1.113
2020-03-18,0.958,0.059,0.847,0.916,0.956,1.001,1.073
2020-03-19,0.929,0.055,0.825,0.892,0.928,0.968,1.036
2020-03-20,0.903,0.055,0.803,0.866,0.901,0.938,1.019
2020-03-21,0.878,0.051,0.786,0.842,0.875,0.911,0.982
2020-03-22,0.856,0.051,0.765,0.816,0.851,0.892,0.958
2020-03-23,0.836,0.05,0.742,0.801,0.833,0.87,0.936
2020-03-24,0.818,0.049,0.731,0.782,0.816,0.851,0.92
2020-03-25,0.802,0.048,0.718,0.768,0.8,0.83,0.901
2020-03-26,0.786,0.046,0.701,0.754,0.786,0.817,0.88
2020-03-27,0.774,0.046,0.685,0.742,0.774,0.803,0.867
2020-03-28,0.764,0.047,0.681,0.73,0.763,0.796,0.857
2020-03-29,0.755,0.046,0.668,0.723,0.754,0.785,0.851
2020-03-30,0.749,0.046,0.668,0.716,0.746,0.777,0.845
2020-03-31,0.742,0.046,0.658,0.709,0.741,0.771,0.836
2020-04-01,0.738,0.046,0.654,0.705,0.735,0.767,0.834
2020-04-02,0.734,0.046,0.649,0.702,0.733,0.765,0.834
2020-04-03,0.731,0.046,0.647,0.701,0.728,0.761,0.829
2020-04-04,0.729,0.046,0.641,0.695,0.727,0.761,0.822
2020-04-05,0.727,0.046,0.643,0.693,0.725,0.758,0.82
2020-04-06,0.726,0.046,0.642,0.694,0.725,0.754,0.822
2020-04-07,0.727,0.047,0.64,0.696,0.725,0.755,0.821
2020-04-08,0.727,0.046,0.635,0.697,0.726,0.758,0.82
2020-04-09,0.727,0.046,0.639,0.697,0.727,0.756,0.817
2020-04-10,0.727,0.047,0.634,0.694,0.725,0.758,0.821
2020-04-11,0.729,0.047,0.642,0.695,0.73,0.76,0.827
2020-04-12,0.731,0.048,0.643,0.697,0.73,0.762,0.828
2020-04-13,0.734,0.049,0.644,0.7,0.732,0.766,0.832
2020-04-14,0.738,0.049,0.65,0.706,0.735,0.768,0.832
2020-04-15,0.741,0.05,0.651,0.708,0.739,0.775,0.841
2020-04-16,0.746,0.051,0.656,0.711,0.742,0.78,0.854
2020-04-17,0.752,0.051,0.657,0.717,0.749,0.784,0.863
2020-04-18,0.757,0.05,0.662,0.723,0.755,0.788,0.865
2020-04-19,0.765,0.052,0.67,0.73,0.762,0.797,0.875
2020-04-20,0.771,0.052,0.675,0.735,0.769,0.803,0.88
2020-04-21,0.779,0.052,0.679,0.744,0.777,0.812,0.889
2020-04-22,0.787,0.052,0.688,0.754,0.784,0.821,0.893
2020-04-23,0.796,0.052,0.694,0.761,0.794,0.827,0.901
2020-04-24,0.805,0.051,0.708,0.771,0.805,0.839,0.908
2020-04-25,0.816,0.051,0.726,0.78,0.814,0.85,0.919
2020-04-26,0.828,0.054,0.731,0.79,0.829,0.864,0.942
2020-04-27,0.843,0.054,0.747,0.804,0.843,0.878,0.959
2020-04-28,0.857,0.055,0.752,0.821,0.855,0.893,0.967
2020-04-29,0.872,0.056,0.768,0.832,0.871,0.908,0.981
2020-04-30,0.888,0.059,0.784,0.845,0.884,0.927,1.002
2020-05-01,0.905,0.059,0.796,0.862,0.902,0.944,1.027
2020-05-02,0.923,0.059,0.816,0.882,0.922,0.963,1.036
2020-05-03,0.941,0.061,0.829,0.899,0.94,0.98,1.068
2020-05-04,0.959,0.064,0.841,0.916,0.956,1.0,1.086
2020-05-05,0.978,0.065,0.86,0.932,0.974,1.019,1.114
2020-05-06,0.996,0.064,0.875,0.953,0.993,1.04,1.133
2020-05-07,1.016,0.067,0.895,0.97,1.015,1.058,1.16
2020-05-08,1.035,0.068,0.916,0.986,1.036,1.076,1.179
2020-05-09,1.056,0.071,0.932,1.007,1.053,1.104,1.203
2020-05-10,1.076,0.071,0.947,1.026,1.071,1.122,1.221
2020-05-11,1.092,0.068,0.976,1.041,1.089,1.137,1.228
2020-05-12,1.11,0.07,0.978,1.059,1.106,1.154,1.254
2020-05-13,1.126,0.073,0.994,1.078,1.123,1.173,1.275
2020-05-14,1.143,0.073,1.005,1.092,1.14,1.19,1.285
2020-05-15,1.157,0.074,1.017,1.106,1.155,1.204,1.299
2020-05-16,1.168,0.074,1.03,1.117,1.167,1.214,1.326
2020-05-17,1.178,0.074,1.045,1.126,1.174,1.227,1.326
2020-05-18,1.186,0.075,1.054,1.132,1.184,1.234,1.341
2020-05-19,1.19,0.074,1.045,1.14,1.192,1.239,1.337
2020-05-20,1.191,0.075,1.048,1.14,1.189,1.239,1.334
2020-05-21,1.193,0.074,1.053,1.145,1.192,1.237,1.35
2020-05-22,1.19,0.074,1.053,1.141,1.189,1.239,1.341
2020-05-23,1.185,0.074,1.039,1.139,1.185,1.232,1.339
2020-05-24,1.177,0.071,1.046,1.125,1.176,1.225,1.316
2020-05-25,1.168,0.073,1.032,1.116,1.169,1.219,1.32
2020-05-26,1.157,0.073,1.019,1.108,1.159,1.205,1.312
2020-05-27,1.146,0.073,1.0,1.096,1.145,1.199,1.286
2020-05-28,1.13,0.073,0.994,1.077,1.126,1.18,1.27
2020-05-29,1.112,0.073,0.966,1.063,1.112,1.16,1.264
2020-05-30,1.093,0.072,0.955,1.044,1.09,1.139,1.238
2020-05-31,1.075,0.073,0.935,1.026,1.076,1.12,1.229
2020-06-01,1.051,0.071,0.921,0.999,1.05,1.094,1.199
2020-06-02,1.026,0.068,0.907,0.979,1.024,1.069,1.167
2020-06-03,1.004,0.067,0.876,0.959,1.002,1.045,1.143
2020-06-04,0.985,0.065,0.863,0.94,0.984,1.026,1.122
2020-06-05,0.964,0.061,0.854,0.919,0.963,1.004,1.092
2020-06-06,0.941,0.058,0.831,0.899,0.942,0.981,1.061
2020-06-07,0.924,0.057,0.82,0.883,0.92,0.963,1.038
2020-06-08,0.905,0.058,0.799,0.864,0.901,0.943,1.031
2020-06-09,0.887,0.059,0.783,0.847,0.883,0.925,1.008
2020-06-10,0.873,0.057,0.768,0.834,0.87,0.912,0.99
2020-06-11,0.86,0.058,0.752,0.821,0.856,0.895,0.99
2020-06-12,0.851,0.056,0.746,0.815,0.85,0.888,0.976
2020-06-13,0.844,0.056,0.733,0.809,0.841,0.879,0.956
2020-06-14,0.838,0.054,0.736,0.802,0.837,0.873,0.947
2020-06-15,0.837,0.055,0.727,0.799,0.838,0.873,0.94
2020-06-16,0.837,0.054,0.731,0.797,0.833,0.874,0.951
2020-06-17,0.839,0.053,0.736,0.802,0.834,0.873,0.95
2020-06-18,0.841,0.054,0.74,0.804,0.838,0.876,0.958
2020-06-19,0.845,0.053,0.742,0.809,0.844,0.879,0.953
2020-06-20,0.85,0.056,0.748,0.812,0.848,0.885,0.962
2020-06-21,0.857,0.056,0.753,0.82,0.856,0.893,0.972
2020-06-22,0.868,0.057,0.766,0.827,0.866,0.904,0.99
2020-06-23,0.88,0.057,0.776,0.841,0.877,0.914,0.996
2020-06-24,0.893,0.056,0.79,0.856,0.892,0.925,1.012
2020-06-25,0.904,0.055,0.803,0.866,0.901,0.938,1.024
2020-06-26,0.92,0.055,0.811,0.882,0.921,0.955,1.03
2020-06-27,0.933,0.055,0.831,0.898,0.932,0.971,1.04
2020-06-28,0.951,0.057,0.845,0.912,0.951,0.986,1.058
2020-06-29,0.967,0.057,0.861,0.929,0.965,1.008,1.081
2020-06-30,0.986,0.058,0.877,0.943,0.987,1.025,1.101
2020-07-01,1.005,0.058,0.901,0.965,1.004,1.044,1.127
2020-07-02,1.025,0.063,0.91,0.978,1.025,1.065,1.154
2020-07-03,1.045,0.064,0.921,0.999,1.045,1.089,1.172
2020-07-04,1.064,0.067,0.936,1.018,1.06,1.109,1.195
2020-07-05,1.08,0.068,0.954,1.031,1.079,1.127,1.211
2020-07-06,1.095,0.07,0.967,1.049,1.095,1.141,1.236
2020-07-07,1.109,0.071,0.98,1.061,1.103,1.158,1.25
2020-07-08,1.125,0.069,1.004,1.077,1.122,1.172,1.258
2020-07-09,1.138,0.071,1.003,1.086,1.138,1.182,1.289
2020-07-10,1.145,0.072,1.005,1.096,1.141,1.193,1.289
2020-07-11,1.151,0.072,1.017,1.102,1.148,1.199,1.298
2020-07-12,1.153,0.072,1.02,1.105,1.149,1.2,1.305
2020-07-13,1.156,0.075,1.011,1.106,1.152,1.201,1.319
2020-07-14,1.156,0.074,1.013,1.106,1.15,1.206,1.303
2020-07-15,1.155,0.074,1.009,1.106,1.149,1.207,1.292
2020-07-16,1.152,0.074,1.01,1.102,1.153,1.2,1.296
2020-07-17,1.147,0.072,1.005,1.099,1.147,1.195,1.283
2020-07-18,1.141,0.071,1.0,1.094,1.138,1.189,1.283
2020-07-19,1.13,0.07,1.001,1.081,1.128,1.179,1.264
2020-07-20,1.122,0.07,0.99,1.074,1.123,1.169,1.257
2020-07-21,1.112,0.068,0.986,1.064,1.109,1.158,1.243
2020-07-22,1.102,0.067,0.965,1.056,1.101,1.145,1.235
2020-07-23,1.09,0.066,0.965,1.044,1.089,1.134,1.218
2020-07-24,1.079,0.067,0.948,1.034,1.077,1.125,1.211
2020-07-25,1.071,0.067,0.949,1.026,1.069,1.114,1.208
2020-07-26,1.063,0.066,0.938,1.02,1.061,1.107,1.198
2020-07-27,1.052,0.067,0.928,1.005,1.051,1.098,1.182
2020-07-28,1.042,0.067,0.919,0.995,1.041,1.085,1.175
2020-07-29,1.034,0.065,0.911,0.991,1.034,1.075,1.163
2020-07-30,1.027,0.066,0.896,0.984,1.026,1.071,1.157
2020-07-31,1.019,0.066,0.894,0.975,1.017,1.062,1.149
2020-08-01,1.014,0.065,0.891,0.971,1.009,1.056,1.143
2020-08-02,1.01,0.064,0.892,0.965,1.01,1.051,1.141
2020-08-03,1.009,0.064,0.893,0.966,1.006,1.049,1.142
2020-08-04,1.006,0.065,0.889,0.958,1.003,1.052,1.143
2020-08-05,1.006,0.065,0.892,0.959,1.004,1.048,1.132
2020-08-06,1.006,0.064,0.886,0.964,1.002,1.045,1.144
2020-08-07,1.007,0.065,0.885,0.962,1.006,1.05,1.144
2020-08-08,1.011,0.064,0.888,0.967,1.008,1.053,1.145
2020-08-09,1.017,0.066,0.889,0.972,1.016,1.058,1.153
2020-08-10,1.022,0.065,0.899,0.977,1.02,1.065,1.147
2020-08-11,1.027,0.065,0.906,0.982,1.024,1.073,1.157
2020-08-12,1.033,0.067,0.909,0.986,1.033,1.077,1.165
2020-08-13,1.039,0.069,0.915,0.988,1.037,1.083,1.177
